.HEADER
..NAMES
Time,V U1.W14
.DATA
2.57458e-008,0.5401
2.57825e-008,0.4625
2.58192e-008,0.4094
2.58559e-008,0.3744
2.58926e-008,0.3514
2.59292e-008,0.3365
2.59659e-008,0.3269
2.60026e-008,0.3202
2.60393e-008,0.3148
2.60759e-008,0.3096
2.61126e-008,0.3047
2.61493e-008,0.3006
2.61859e-008,0.2978
2.62226e-008,0.2968
2.62593e-008,0.2978
2.62960e-008,0.3006
2.63326e-008,0.3051
2.63693e-008,0.3119
2.64060e-008,0.3230
2.64427e-008,0.3406
2.64794e-008,0.3644
2.65160e-008,0.3899
2.65527e-008,0.4105
2.65894e-008,0.4208
2.66261e-008,0.4191
2.66627e-008,0.4092
2.66994e-008,0.3987
2.67361e-008,0.3937
2.67727e-008,0.3963
2.68094e-008,0.4041
2.68461e-008,0.4120
2.68828e-008,0.4156
2.69194e-008,0.4140
2.69561e-008,0.4087
2.69928e-008,0.4029
2.70295e-008,0.3993
2.70662e-008,0.3990
2.71028e-008,0.4012
2.71395e-008,0.4046
2.71762e-008,0.4077
2.72129e-008,0.4100
2.72495e-008,0.4114
2.72862e-008,0.4115
2.73229e-008,0.4096
2.73595e-008,0.4053
2.73962e-008,0.3989
2.74329e-008,0.3916
2.74696e-008,0.3845
2.75062e-008,0.3782
2.75429e-008,0.3720
2.75796e-008,0.3650
2.76163e-008,0.3560
2.76530e-008,0.3453
2.76896e-008,0.3343
2.77263e-008,0.3250
2.77630e-008,0.3195
2.77997e-008,0.3189
2.78363e-008,0.3224
2.78730e-008,0.3279
2.79097e-008,0.3327
2.79463e-008,0.3346
2.79830e-008,0.3334
2.80197e-008,0.3299
2.80564e-008,0.3257
2.80930e-008,0.3223
2.81297e-008,0.3202
2.81664e-008,0.3196
2.82031e-008,0.3201
2.82398e-008,0.3220
2.82764e-008,0.3289
2.83131e-008,0.3489
2.83498e-008,0.3965
2.83865e-008,0.4835
2.84231e-008,0.5981
2.84598e-008,0.7230
2.84965e-008,0.8213
2.85331e-008,0.8937
2.85698e-008,0.9498
2.86065e-008,0.9964
2.86432e-008,1.0350
2.86798e-008,1.0642
2.87165e-008,1.0839
2.87532e-008,1.0958
2.87899e-008,1.1024
2.88266e-008,1.1067
2.88632e-008,1.1111
2.88999e-008,1.1159
2.89366e-008,1.1210
2.89733e-008,1.1256
2.90099e-008,1.1282
2.90466e-008,1.1277
2.90833e-008,1.1236
2.91199e-008,1.1170
2.91566e-008,1.1064
2.91933e-008,1.0927
2.92300e-008,1.0771
2.92666e-008,1.0527
2.93033e-008,1.0088
2.93400e-008,0.9251
2.93767e-008,0.7968
2.94133e-008,0.6607
2.94500e-008,0.5458
2.94867e-008,0.4544
2.95234e-008,0.3803
2.95601e-008,0.3208
2.95967e-008,0.2755
2.96334e-008,0.2449
2.96701e-008,0.2280
2.97068e-008,0.2212
2.97434e-008,0.2200
2.97801e-008,0.2194
2.98168e-008,0.2167
2.98534e-008,0.2114
2.98901e-008,0.2043
2.99268e-008,0.1974
2.99635e-008,0.1923
3.00002e-008,0.1908
