.HEADER
..NAMES
Time,V U1.AD12
.DATA
2.05747e-008,1.1036
2.06114e-008,1.1039
2.06480e-008,1.1013
2.06847e-008,1.0986
2.07214e-008,1.0966
2.07580e-008,1.0977
2.07947e-008,1.1027
2.08314e-008,1.1023
2.08681e-008,1.0827
2.09047e-008,1.0220
2.09414e-008,0.9126
2.09781e-008,0.7814
2.10148e-008,0.6526
2.10515e-008,0.5433
2.10881e-008,0.4629
2.11248e-008,0.4101
2.11615e-008,0.3770
2.11982e-008,0.3547
2.12348e-008,0.3397
2.12715e-008,0.3287
2.13082e-008,0.3204
2.13448e-008,0.3139
2.13815e-008,0.3085
2.14182e-008,0.3037
2.14549e-008,0.2995
2.14915e-008,0.2958
2.15282e-008,0.2932
2.15649e-008,0.2928
2.16016e-008,0.2958
2.16383e-008,0.3041
2.16749e-008,0.3175
2.17116e-008,0.3342
2.17483e-008,0.3533
2.17850e-008,0.3752
2.18216e-008,0.3982
2.18583e-008,0.4168
2.18950e-008,0.4260
2.19316e-008,0.4233
2.19683e-008,0.4111
2.20050e-008,0.3964
2.20417e-008,0.3866
2.20783e-008,0.3858
2.21150e-008,0.3935
2.21517e-008,0.4048
2.21884e-008,0.4138
2.22251e-008,0.4161
2.22617e-008,0.4118
2.22984e-008,0.4040
2.23351e-008,0.3974
2.23718e-008,0.3951
2.24084e-008,0.3975
2.24451e-008,0.4031
2.24818e-008,0.4093
2.25184e-008,0.4138
2.25551e-008,0.4143
2.25918e-008,0.4107
2.26285e-008,0.4076
2.26651e-008,0.4129
2.27018e-008,0.4399
2.27385e-008,0.5075
2.27752e-008,0.6104
2.28119e-008,0.7307
2.28485e-008,0.8375
2.28852e-008,0.9094
2.29219e-008,0.9574
2.29586e-008,0.9919
2.29952e-008,1.0187
2.30319e-008,1.0418
2.30686e-008,1.0612
2.31052e-008,1.0775
2.31419e-008,1.0924
2.31786e-008,1.1064
2.32153e-008,1.1184
2.32519e-008,1.1270
2.32886e-008,1.1310
2.33253e-008,1.1303
2.33620e-008,1.1256
2.33987e-008,1.1184
2.34353e-008,1.1094
2.34720e-008,1.0993
2.35087e-008,1.0879
2.35454e-008,1.0756
2.35820e-008,1.0644
2.36187e-008,1.0518
2.36554e-008,1.0250
2.36920e-008,0.9686
2.37287e-008,0.8633
2.37654e-008,0.7270
2.38021e-008,0.6008
2.38387e-008,0.4979
2.38754e-008,0.4166
2.39121e-008,0.3534
2.39488e-008,0.3054
2.39855e-008,0.2694
2.40221e-008,0.2468
2.40588e-008,0.2355
2.40955e-008,0.2320
2.41322e-008,0.2308
2.41688e-008,0.2282
2.42055e-008,0.2229
2.42422e-008,0.2160
2.42788e-008,0.2098
2.43155e-008,0.2057
2.43522e-008,0.2046
2.43889e-008,0.2080
2.44255e-008,0.2179
2.44622e-008,0.2353
2.44989e-008,0.2578
2.45356e-008,0.2824
2.45723e-008,0.3103
2.46089e-008,0.3429
2.46456e-008,0.3752
2.46823e-008,0.3985
2.47190e-008,0.4069
2.47556e-008,0.4019
2.47923e-008,0.3907
2.48290e-008,0.3825
2.48657e-008,0.3828
2.49023e-008,0.3910
2.49390e-008,0.4021
2.49757e-008,0.4096
2.50123e-008,0.4090
2.50490e-008,0.4011
2.50857e-008,0.3912
2.51224e-008,0.3855
2.51590e-008,0.3873
2.51957e-008,0.3955
2.52324e-008,0.4062
2.52691e-008,0.4155
2.53058e-008,0.4207
2.53424e-008,0.4202
2.53791e-008,0.4141
2.54158e-008,0.4047
2.54525e-008,0.3951
2.54891e-008,0.3872
2.55258e-008,0.3804
2.55625e-008,0.3734
2.55991e-008,0.3654
2.56358e-008,0.3569
2.56725e-008,0.3486
2.57092e-008,0.3410
2.57458e-008,0.3339
2.57825e-008,0.3270
2.58192e-008,0.3210
2.58559e-008,0.3167
2.58926e-008,0.3157
2.59292e-008,0.3188
2.59659e-008,0.3255
2.60026e-008,0.3336
2.60393e-008,0.3397
2.60759e-008,0.3411
2.61126e-008,0.3371
2.61493e-008,0.3293
2.61859e-008,0.3206
2.62226e-008,0.3138
2.62593e-008,0.3110
2.62960e-008,0.3125
2.63326e-008,0.3170
2.63693e-008,0.3231
2.64060e-008,0.3334
2.64427e-008,0.3562
2.64794e-008,0.4081
2.65160e-008,0.4981
2.65527e-008,0.6154
2.65894e-008,0.7401
2.66261e-008,0.8367
2.66627e-008,0.9073
2.66994e-008,0.9597
2.67361e-008,1.0006
2.67727e-008,1.0332
2.68094e-008,1.0596
2.68461e-008,1.0788
2.68828e-008,1.0912
2.69194e-008,1.0989
2.69561e-008,1.1036
2.69928e-008,1.1071
2.70295e-008,1.1105
2.70662e-008,1.1145
2.71028e-008,1.1188
