.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
2.79283e-008,0.4012
2.79669e-008,0.4462
2.80055e-008,0.5217
2.80440e-008,0.6469
2.80826e-008,0.7976
2.81212e-008,0.9184
2.81598e-008,1.0027
2.81983e-008,1.0534
2.82369e-008,1.0700
2.82755e-008,1.0728
2.83140e-008,1.0779
2.83526e-008,1.1091
2.83912e-008,1.1195
2.84298e-008,1.1173
2.84683e-008,1.0948
2.85069e-008,1.0091
2.85455e-008,0.8753
2.85841e-008,0.7378
2.86226e-008,0.6049
2.86612e-008,0.4932
2.86998e-008,0.4248
2.87384e-008,0.3926
2.87770e-008,0.3807
2.88155e-008,0.3745
2.88541e-008,0.3920
2.88927e-008,0.4288
2.89313e-008,0.4930
2.89698e-008,0.6023
2.90084e-008,0.7517
2.90470e-008,0.8844
2.90855e-008,0.9796
2.91241e-008,1.0412
2.91627e-008,1.0676
2.92013e-008,1.0717
2.92398e-008,1.0763
2.92784e-008,1.1031
2.93170e-008,1.1159
2.93556e-008,1.1191
2.93941e-008,1.1061
2.94327e-008,1.0442
2.94713e-008,0.9201
2.95099e-008,0.7802
2.95485e-008,0.6461
2.95870e-008,0.5249
2.96256e-008,0.4416
2.96642e-008,0.4003
2.97028e-008,0.3822
2.97413e-008,0.3728
2.97799e-008,0.3845
2.98185e-008,0.4144
2.98570e-008,0.4697
2.98956e-008,0.5621
2.99342e-008,0.7029
2.99728e-008,0.8463
3.00113e-008,0.9532
3.00499e-008,1.0252
3.00885e-008,1.0628
3.01271e-008,1.0710
3.01657e-008,1.0743
3.02042e-008,1.0950
3.02428e-008,1.1126
3.02814e-008,1.1198
3.03199e-008,1.1119
3.03585e-008,1.0717
3.03971e-008,0.9633
3.04357e-008,0.8240
3.04743e-008,0.6881
3.05128e-008,0.5601
3.05514e-008,0.4627
3.05900e-008,0.4101
3.06285e-008,0.3859
3.06671e-008,0.3752
3.07057e-008,0.3787
3.07443e-008,0.4026
3.07829e-008,0.4493
3.08214e-008,0.5271
3.08600e-008,0.6546
3.08986e-008,0.8047
3.09372e-008,0.9234
3.09757e-008,1.0062
3.10143e-008,1.0551
3.10529e-008,1.0702
3.10914e-008,1.0730
3.11300e-008,1.0780
3.11686e-008,1.1090
3.12072e-008,1.1192
3.12458e-008,1.1167
3.12843e-008,1.0922
3.13229e-008,1.0035
3.13615e-008,0.8682
3.14000e-008,0.7306
3.14386e-008,0.5985
3.14772e-008,0.4887
3.15158e-008,0.4225
3.15544e-008,0.3914
3.15929e-008,0.3804
3.16315e-008,0.3754
3.16701e-008,0.3937
3.17087e-008,0.4315
3.17472e-008,0.4975
3.17858e-008,0.6089
3.18244e-008,0.7590
3.18629e-008,0.8903
3.19015e-008,0.9835
3.19401e-008,1.0432
3.19787e-008,1.0682
3.20173e-008,1.0720
3.20558e-008,1.0767
3.20944e-008,1.1050
3.21330e-008,1.1172
3.21715e-008,1.1191
3.22101e-008,1.1052
3.22487e-008,1.0386
3.22873e-008,0.9127
3.23259e-008,0.7735
3.23644e-008,0.6393
3.24030e-008,0.5194
3.24416e-008,0.4386
3.24801e-008,0.3988
3.25187e-008,0.3818
3.25573e-008,0.3735
3.25959e-008,0.3860
3.26344e-008,0.4168
3.26730e-008,0.4734
3.27116e-008,0.5681
3.27502e-008,0.7107
3.27888e-008,0.8529
3.28273e-008,0.9577
3.28659e-008,1.0280
3.29045e-008,1.0639
3.29430e-008,1.0712
3.29816e-008,1.0747
3.30202e-008,1.0984
3.30588e-008,1.1141
3.30974e-008,1.1201
3.31359e-008,1.1114
3.31745e-008,1.0674
3.32131e-008,0.9562
3.32516e-008,0.8171
3.32902e-008,0.6814
3.33288e-008,0.5540
3.33674e-008,0.4589
3.34060e-008,0.4083
3.34445e-008,0.3853
3.34831e-008,0.3758
3.35217e-008,0.3801
3.35603e-008,0.4046
3.35988e-008,0.4525
3.36374e-008,0.5323
3.36760e-008,0.6621
3.37145e-008,0.8118
3.37531e-008,0.9285
3.37917e-008,1.0095
3.38303e-008,1.0566
3.38689e-008,1.0704
3.39074e-008,1.0734
3.39460e-008,1.0835
3.39846e-008,1.1104
3.40231e-008,1.1199
3.40617e-008,1.1162
3.41003e-008,1.0894
3.41389e-008,0.9968
3.41775e-008,0.8610
3.42160e-008,0.7240
3.42546e-008,0.5920
3.42932e-008,0.4840
3.43318e-008,0.4204
3.43703e-008,0.3904
3.44089e-008,0.3805
3.44475e-008,0.3756
3.44860e-008,0.3948
3.45246e-008,0.4341
3.45632e-008,0.5017
3.46018e-008,0.6163
3.46404e-008,0.7669
3.46789e-008,0.8958
3.47175e-008,0.9876
3.47561e-008,1.0455
3.47946e-008,1.0685
3.48332e-008,1.0720
3.48718e-008,1.0769
