.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
3.15929e-008,0.3575
3.16315e-008,0.2971
3.16701e-008,0.2815
3.17087e-008,0.2964
3.17472e-008,0.2993
3.17858e-008,0.3173
3.18244e-008,0.3685
3.18629e-008,0.4711
3.19015e-008,0.6280
3.19401e-008,0.8193
3.19787e-008,0.9873
3.20173e-008,1.1046
3.20558e-008,1.1743
3.20944e-008,1.2032
3.21330e-008,1.2010
3.21715e-008,1.1829
3.22101e-008,1.1924
3.22487e-008,1.2027
3.22873e-008,1.1907
3.23259e-008,1.1421
3.23644e-008,1.0270
3.24030e-008,0.8537
3.24416e-008,0.6738
3.24801e-008,0.5088
3.25187e-008,0.3864
3.25573e-008,0.3111
3.25959e-008,0.2818
3.26344e-008,0.2902
3.26730e-008,0.3008
3.27116e-008,0.3092
3.27502e-008,0.3481
3.27888e-008,0.4324
3.28273e-008,0.5733
3.28659e-008,0.7575
3.29045e-008,0.9396
3.29430e-008,1.0727
3.29816e-008,1.1570
3.30202e-008,1.1981
3.30588e-008,1.2040
3.30974e-008,1.1893
3.31359e-008,1.1833
3.31745e-008,1.2020
3.32131e-008,1.1974
3.32516e-008,1.1633
3.32902e-008,1.0716
3.33288e-008,0.9119
3.33674e-008,0.7298
3.34060e-008,0.5571
3.34445e-008,0.4198
3.34831e-008,0.3300
3.35217e-008,0.2865
3.35603e-008,0.2847
3.35988e-008,0.3036
3.36374e-008,0.3034
3.36760e-008,0.3319
3.37145e-008,0.3996
3.37531e-008,0.5231
3.37917e-008,0.6960
3.38303e-008,0.8870
3.38689e-008,1.0361
3.39074e-008,1.1354
3.39460e-008,1.1893
3.39846e-008,1.2052
3.40231e-008,1.1952
3.40617e-008,1.1752
3.41003e-008,1.1994
3.41389e-008,1.2013
3.41775e-008,1.1786
3.42160e-008,1.1086
3.42546e-008,0.9678
3.42932e-008,0.7864
3.43318e-008,0.6097
3.43703e-008,0.4580
3.44089e-008,0.3535
3.44475e-008,0.2953
3.44860e-008,0.2817
3.45246e-008,0.2974
3.45632e-008,0.3002
3.46018e-008,0.3193
3.46404e-008,0.3725
3.46789e-008,0.4779
3.47175e-008,0.6372
3.47561e-008,0.8293
3.47946e-008,0.9944
3.48332e-008,1.1092
3.48718e-008,1.1768
3.49104e-008,1.2037
3.49490e-008,1.2002
3.49875e-008,1.1818
3.50261e-008,1.1916
3.50647e-008,1.2022
3.51032e-008,1.1892
3.51418e-008,1.1380
3.51804e-008,1.0193
3.52190e-008,0.8443
3.52575e-008,0.6653
3.52961e-008,0.5016
3.53347e-008,0.3813
3.53733e-008,0.3084
3.54119e-008,0.2816
3.54504e-008,0.2912
3.54890e-008,0.2995
3.55276e-008,0.3100
3.55661e-008,0.3510
3.56047e-008,0.4384
3.56433e-008,0.5819
3.56819e-008,0.7676
3.57205e-008,0.9475
3.57590e-008,1.0782
3.57976e-008,1.1600
3.58362e-008,1.1990
3.58747e-008,1.2036
3.59133e-008,1.1882
3.59519e-008,1.1826
3.59905e-008,1.2017
3.60290e-008,1.1964
3.60676e-008,1.1602
3.61062e-008,1.0648
3.61448e-008,0.9024
3.61834e-008,0.7207
3.62219e-008,0.5495
3.62605e-008,0.4140
3.62991e-008,0.3265
3.63376e-008,0.2854
3.63762e-008,0.2857
3.64148e-008,0.3010
3.64534e-008,0.3037
3.64920e-008,0.3339
3.65305e-008,0.4044
3.65691e-008,0.5310
3.66077e-008,0.7058
3.66462e-008,0.8959
3.66848e-008,1.0425
3.67234e-008,1.1391
3.67620e-008,1.1910
3.68006e-008,1.2052
3.68391e-008,1.1943
3.68777e-008,1.1742
3.69163e-008,1.1991
3.69549e-008,1.2006
3.69934e-008,1.1764
3.70320e-008,1.1030
3.70706e-008,0.9589
3.71091e-008,0.7769
3.71477e-008,0.6015
3.71863e-008,0.4515
3.72249e-008,0.3492
3.72635e-008,0.2933
3.73020e-008,0.2821
3.73406e-008,0.2985
3.73792e-008,0.3000
3.74177e-008,0.3208
3.74563e-008,0.3763
3.74949e-008,0.4848
3.75335e-008,0.6465
3.75721e-008,0.8389
3.76106e-008,1.0016
3.76492e-008,1.1137
3.76878e-008,1.1790
3.77263e-008,1.2042
3.77649e-008,1.1996
3.78035e-008,1.1808
3.78421e-008,1.1945
3.78806e-008,1.2026
3.79192e-008,1.1878
3.79578e-008,1.1338
3.79964e-008,1.0113
3.80350e-008,0.8346
3.80735e-008,0.6559
3.81121e-008,0.4940
3.81507e-008,0.3765
3.81892e-008,0.3061
3.82278e-008,0.2812
3.82664e-008,0.2920
3.83050e-008,0.3005
3.83436e-008,0.3116
3.83821e-008,0.3543
3.84207e-008,0.4443
3.84593e-008,0.5905
3.84978e-008,0.7777
3.85364e-008,0.9554
3.85750e-008,1.0834
3.86136e-008,1.1630
3.86521e-008,1.2001
3.86907e-008,1.2031
3.87293e-008,1.1871
3.87679e-008,1.1870
3.88065e-008,1.2025
3.88450e-008,1.1956
3.88836e-008,1.1571
3.89222e-008,1.0579
3.89607e-008,0.8933
3.89993e-008,0.7116
3.90379e-008,0.5410
3.90765e-008,0.4084
3.91151e-008,0.3235
3.91536e-008,0.2844
3.91922e-008,0.2864
3.92308e-008,0.3021
3.92693e-008,0.3049
3.93079e-008,0.3367
3.93465e-008,0.4095
3.93851e-008,0.5389
3.94237e-008,0.7156
3.94622e-008,0.9048
3.95008e-008,1.0484
3.95394e-008,1.1428
3.95780e-008,1.1926
3.96165e-008,1.2051
3.96551e-008,1.1934
3.96937e-008,1.1732
3.97322e-008,1.2005
3.97708e-008,1.2004
3.98094e-008,1.1742
3.98480e-008,1.0974
3.98866e-008,0.9502
3.99251e-008,0.7679
3.99637e-008,0.5924
4.00023e-008,0.4450
4.00408e-008,0.3454
4.00794e-008,0.2918
4.01180e-008,0.2824
4.01566e-008,0.2994
4.01952e-008,0.3009
4.02337e-008,0.3230
4.02723e-008,0.3806
4.03109e-008,0.4920
4.03494e-008,0.6558
4.03880e-008,0.8486
4.04266e-008,1.0084
4.04652e-008,1.1182
4.05037e-008,1.1812
4.05423e-008,1.2045
4.05809e-008,1.1987
4.06195e-008,1.1797
4.06581e-008,1.1938
4.06966e-008,1.2020
4.07352e-008,1.1861
4.07738e-008,1.1293
4.08123e-008,1.0032
4.08509e-008,0.8253
4.08895e-008,0.6475
4.09281e-008,0.4869
4.09667e-008,0.3716
4.10052e-008,0.3038
4.10438e-008,0.2813
4.10824e-008,0.2931
