.HEADER
..NAMES
Time,V U1.AE7
.DATA
3.56047e-008,0.3141
3.56433e-008,0.3149
3.56819e-008,0.3217
3.57205e-008,0.3454
3.57590e-008,0.4049
3.57976e-008,0.5130
3.58362e-008,0.6607
3.58747e-008,0.8158
3.59133e-008,0.9293
3.59519e-008,1.0038
3.59905e-008,1.0513
3.60290e-008,1.0847
3.60676e-008,1.1142
3.61062e-008,1.1427
3.61448e-008,1.1645
3.61834e-008,1.1785
3.62219e-008,1.1855
3.62605e-008,1.1871
3.62991e-008,1.1818
3.63376e-008,1.1731
3.63762e-008,1.1626
3.64148e-008,1.1519
3.64534e-008,1.1444
3.64920e-008,1.1445
3.65305e-008,1.1515
3.65691e-008,1.1598
3.66077e-008,1.1746
3.66462e-008,1.1849
3.66848e-008,1.1787
3.67234e-008,1.1306
3.67620e-008,1.0187
3.68006e-008,0.8664
3.68391e-008,0.7175
3.68777e-008,0.5830
3.69163e-008,0.4787
3.69549e-008,0.4090
3.69934e-008,0.3663
3.70320e-008,0.3399
3.70706e-008,0.3240
3.71091e-008,0.3120
3.71477e-008,0.3005
3.71863e-008,0.2920
3.72249e-008,0.2913
3.72635e-008,0.2971
3.73020e-008,0.3080
3.73406e-008,0.3245
3.73792e-008,0.3428
3.74177e-008,0.3550
3.74563e-008,0.3582
3.74949e-008,0.3559
3.75335e-008,0.3495
3.75721e-008,0.3395
3.76106e-008,0.3290
3.76492e-008,0.3220
3.76878e-008,0.3184
3.77263e-008,0.3166
3.77649e-008,0.3160
3.78035e-008,0.3165
3.78421e-008,0.3164
3.78806e-008,0.3163
3.79192e-008,0.3162
3.79578e-008,0.3157
3.79964e-008,0.3145
3.80350e-008,0.3132
3.80735e-008,0.3128
3.81121e-008,0.3128
3.81507e-008,0.3128
3.81892e-008,0.3131
3.82278e-008,0.3138
3.82664e-008,0.3144
3.83050e-008,0.3144
3.83436e-008,0.3143
3.83821e-008,0.3142
3.84207e-008,0.3142
3.84593e-008,0.3140
3.84978e-008,0.3139
3.85364e-008,0.3139
3.85750e-008,0.3138
3.86136e-008,0.3139
3.86521e-008,0.3140
3.86907e-008,0.3141
3.87293e-008,0.3140
3.87679e-008,0.3141
3.88065e-008,0.3141
3.88450e-008,0.3141
3.88836e-008,0.3140
3.89222e-008,0.3140
3.89607e-008,0.3140
3.89993e-008,0.3141
3.90379e-008,0.3140
3.90765e-008,0.3140
3.91151e-008,0.3141
3.91536e-008,0.3141
3.91922e-008,0.3141
3.92308e-008,0.3141
3.92693e-008,0.3141
3.93079e-008,0.3141
3.93465e-008,0.3141
3.93851e-008,0.3141
3.94237e-008,0.3192
3.94622e-008,0.3369
3.95008e-008,0.3849
3.95394e-008,0.4803
3.95780e-008,0.6192
3.96165e-008,0.7784
3.96551e-008,0.9037
3.96937e-008,0.9877
3.97322e-008,1.0405
3.97708e-008,1.0767
3.98094e-008,1.1063
3.98480e-008,1.1359
3.98866e-008,1.1599
3.99251e-008,1.1757
3.99637e-008,1.1843
4.00023e-008,1.1874
4.00408e-008,1.1839
4.00794e-008,1.1756
4.01180e-008,1.1657
4.01566e-008,1.1547
4.01952e-008,1.1460
4.02337e-008,1.1437
4.02723e-008,1.1495
4.03109e-008,1.1578
4.03494e-008,1.1710
4.03880e-008,1.1832
4.04266e-008,1.1832
4.04652e-008,1.1495
4.05037e-008,1.0545
4.05423e-008,0.9078
4.05809e-008,0.7564
4.06195e-008,0.6165
4.06581e-008,0.5030
4.06966e-008,0.4248
4.07352e-008,0.3758
4.07738e-008,0.3456
4.08123e-008,0.3155
4.08509e-008,0.3057
4.08895e-008,0.3241
4.09281e-008,0.3814
4.09667e-008,0.4904
4.10052e-008,0.6506
4.10438e-008,0.8120
4.10824e-008,0.9396
4.11209e-008,1.0371
4.11595e-008,1.1040
