.HEADER
..NAMES
Time,V U4.P3
.DATA
2.38021e-008,1.0882
2.38387e-008,1.0873
2.38754e-008,1.0875
2.39121e-008,1.0885
2.39488e-008,1.0898
2.39855e-008,1.0910
2.40221e-008,1.0922
2.40588e-008,1.0931
2.40955e-008,1.0942
2.41322e-008,1.0951
2.41688e-008,1.0935
2.42055e-008,1.0841
2.42422e-008,1.0589
2.42788e-008,1.0118
2.43155e-008,0.9418
2.43522e-008,0.8513
2.43889e-008,0.7478
2.44255e-008,0.6434
2.44622e-008,0.5507
2.44989e-008,0.4786
2.45356e-008,0.4334
2.45723e-008,0.4164
2.46089e-008,0.4230
2.46456e-008,0.4435
2.46823e-008,0.4666
2.47190e-008,0.4818
2.47556e-008,0.4838
2.47923e-008,0.4728
2.48290e-008,0.4530
2.48657e-008,0.4306
2.49023e-008,0.4108
2.49390e-008,0.3967
2.49757e-008,0.3879
2.50123e-008,0.3830
2.50490e-008,0.3810
2.50857e-008,0.3836
2.51224e-008,0.3971
2.51590e-008,0.4296
2.51957e-008,0.4864
2.52324e-008,0.5669
2.52691e-008,0.6642
2.53058e-008,0.7684
2.53424e-008,0.8664
2.53791e-008,0.9448
2.54158e-008,0.9949
2.54525e-008,1.0141
2.54891e-008,1.0045
2.55258e-008,0.9751
2.55625e-008,0.9401
2.55991e-008,0.9139
2.56358e-008,0.9056
2.56725e-008,0.9169
2.57092e-008,0.9419
2.57458e-008,0.9720
2.57825e-008,0.9995
2.58192e-008,1.0199
2.58559e-008,1.0317
2.58926e-008,1.0370
2.59292e-008,1.0394
2.59659e-008,1.0428
2.60026e-008,1.0502
2.60393e-008,1.0629
2.60759e-008,1.0795
2.61126e-008,1.0957
2.61493e-008,1.1068
2.61859e-008,1.1094
2.62226e-008,1.1033
2.62593e-008,1.0915
2.62960e-008,1.0786
2.63326e-008,1.0695
2.63693e-008,1.0674
2.64060e-008,1.0729
2.64427e-008,1.0841
2.64794e-008,1.0976
2.65160e-008,1.1092
2.65527e-008,1.1160
2.65894e-008,1.1165
2.66261e-008,1.1115
2.66627e-008,1.1034
2.66994e-008,1.0952
2.67361e-008,1.0895
2.67727e-008,1.0876
2.68094e-008,1.0897
2.68461e-008,1.0942
2.68828e-008,1.0989
2.69194e-008,1.1017
