.HEADER
..NAMES
Time,V U3.J3
.DATA
3.82520e-008,0.3193
3.82887e-008,0.3244
3.83254e-008,0.3359
3.83620e-008,0.3585
3.83987e-008,0.3976
3.84354e-008,0.4569
3.84721e-008,0.5357
3.85088e-008,0.6278
3.85454e-008,0.7226
3.85821e-008,0.8083
3.86188e-008,0.8752
3.86555e-008,0.9186
3.86921e-008,0.9401
3.87288e-008,0.9464
3.87655e-008,0.9466
3.88021e-008,0.9492
3.88388e-008,0.9594
3.88755e-008,0.9778
3.89122e-008,1.0012
3.89489e-008,1.0246
3.89855e-008,1.0434
3.90222e-008,1.0551
3.90589e-008,1.0601
3.90955e-008,1.0606
3.91322e-008,1.0601
