.HEADER
..NAMES
Time,V U5.K9
.DATA
3.79953e-008,0.3280
3.80320e-008,0.3256
3.80686e-008,0.3238
3.81053e-008,0.3233
3.81420e-008,0.3242
3.81787e-008,0.3261
3.82154e-008,0.3281
3.82520e-008,0.3296
3.82887e-008,0.3301
3.83254e-008,0.3297
3.83620e-008,0.3285
3.83987e-008,0.3271
3.84354e-008,0.3260
3.84721e-008,0.3256
3.85088e-008,0.3261
3.85454e-008,0.3271
3.85821e-008,0.3283
3.86188e-008,0.3291
3.86555e-008,0.3293
3.86921e-008,0.3287
3.87288e-008,0.3277
3.87655e-008,0.3266
3.88021e-008,0.3259
3.88388e-008,0.3258
3.88755e-008,0.3264
3.89122e-008,0.3274
3.89489e-008,0.3283
3.89855e-008,0.3293
3.90222e-008,0.3323
3.90589e-008,0.3423
3.90955e-008,0.3681
3.91322e-008,0.4187
