.HEADER
..NAMES
Time,V U4.B8
.DATA
2.49966e-008,1.1418
2.50352e-008,1.1525
2.50737e-008,1.1630
2.51123e-008,1.1710
2.51509e-008,1.1729
2.51895e-008,1.1715
2.52281e-008,1.1715
2.52666e-008,1.1726
2.53052e-008,1.1747
2.53438e-008,1.1812
2.53824e-008,1.1839
2.54209e-008,1.1689
2.54595e-008,1.1188
2.54981e-008,1.0177
2.55367e-008,0.8904
2.55752e-008,0.7740
2.56138e-008,0.6681
2.56524e-008,0.5729
2.56909e-008,0.4977
2.57295e-008,0.4472
2.57681e-008,0.4122
2.58067e-008,0.3776
2.58452e-008,0.3679
2.58838e-008,0.3974
2.59224e-008,0.4590
2.59610e-008,0.5535
2.59995e-008,0.6683
2.60381e-008,0.7774
2.60767e-008,0.8622
2.61153e-008,0.9330
2.61539e-008,0.9923
2.61924e-008,1.0397
2.62310e-008,1.0774
2.62696e-008,1.1250
2.63082e-008,1.1559
2.63467e-008,1.1513
2.63853e-008,1.1301
2.64239e-008,1.0652
2.64625e-008,0.9561
2.65010e-008,0.8343
2.65396e-008,0.7182
2.65782e-008,0.6105
2.66167e-008,0.5236
2.66553e-008,0.4643
2.66939e-008,0.4248
2.67325e-008,0.3889
2.67710e-008,0.3697
2.68096e-008,0.3856
2.68482e-008,0.4306
2.68868e-008,0.5158
2.69254e-008,0.6301
2.69639e-008,0.7458
2.70025e-008,0.8351
2.70411e-008,0.9077
2.70797e-008,0.9715
2.71182e-008,1.0238
2.71568e-008,1.0648
2.71954e-008,1.1088
2.72340e-008,1.1506
2.72725e-008,1.1551
2.73111e-008,1.1402
2.73497e-008,1.0900
2.73882e-008,0.9931
2.74268e-008,0.8735
2.74654e-008,0.7554
2.75040e-008,0.6425
2.75425e-008,0.5474
2.75811e-008,0.4802
2.76197e-008,0.4363
2.76583e-008,0.4048
2.76968e-008,0.3836
2.77354e-008,0.3695
2.77740e-008,0.3561
2.78126e-008,0.3477
2.78512e-008,0.3406
2.78897e-008,0.3305
2.79283e-008,0.3219
2.79669e-008,0.3182
2.80055e-008,0.3166
2.80440e-008,0.3163
2.80826e-008,0.3191
2.81212e-008,0.3227
2.81598e-008,0.3240
2.81983e-008,0.3242
2.82369e-008,0.3240
2.82755e-008,0.3231
2.83140e-008,0.3228
2.83526e-008,0.3226
2.83912e-008,0.3215
2.84298e-008,0.3205
2.84683e-008,0.3205
2.85069e-008,0.3209
2.85455e-008,0.3210
2.85841e-008,0.3214
2.86226e-008,0.3218
2.86612e-008,0.3215
2.86998e-008,0.3210
2.87384e-008,0.3208
2.87770e-008,0.3207
2.88155e-008,0.3208
2.88541e-008,0.3209
2.88927e-008,0.3208
2.89313e-008,0.3206
2.89698e-008,0.3207
2.90084e-008,0.3209
2.90470e-008,0.3210
2.90855e-008,0.3242
2.91241e-008,0.3372
2.91627e-008,0.3729
2.92013e-008,0.4474
2.92398e-008,0.5605
2.92784e-008,0.6922
2.93170e-008,0.8047
2.93556e-008,0.8801
2.93941e-008,0.9417
2.94327e-008,0.9967
2.94713e-008,1.0421
2.95099e-008,1.0746
2.95485e-008,1.0974
2.95870e-008,1.1134
2.96256e-008,1.1234
2.96642e-008,1.1321
2.97028e-008,1.1437
2.97413e-008,1.1579
2.97799e-008,1.1702
2.98185e-008,1.1738
2.98570e-008,1.1703
2.98956e-008,1.1684
2.99342e-008,1.1700
2.99728e-008,1.1721
3.00113e-008,1.1729
3.00499e-008,1.1735
3.00885e-008,1.1739
3.01271e-008,1.1735
3.01657e-008,1.1735
3.02042e-008,1.1748
3.02428e-008,1.1769
3.02814e-008,1.1783
3.03199e-008,1.1777
3.03585e-008,1.1759
3.03971e-008,1.1755
3.04357e-008,1.1764
3.04743e-008,1.1783
3.05128e-008,1.1831
3.05514e-008,1.1834
3.05900e-008,1.1628
3.06285e-008,1.0987
3.06671e-008,0.9850
3.07057e-008,0.8579
3.07443e-008,0.7452
3.07829e-008,0.6416
3.08214e-008,0.5515
3.08600e-008,0.4830
3.08986e-008,0.4377
3.09372e-008,0.4066
3.09757e-008,0.3828
3.10143e-008,0.3672
3.10529e-008,0.3583
3.10914e-008,0.3519
3.11300e-008,0.3420
3.11686e-008,0.3285
3.12072e-008,0.3199
3.12458e-008,0.3187
3.12843e-008,0.3187
3.13229e-008,0.3184
3.13615e-008,0.3198
3.14000e-008,0.3229
3.14386e-008,0.3281
3.14772e-008,0.3446
3.15158e-008,0.3885
3.15544e-008,0.4728
3.15929e-008,0.5910
3.16315e-008,0.7196
3.16701e-008,0.8219
3.17087e-008,0.8928
3.17472e-008,0.9550
3.17858e-008,1.0087
3.18244e-008,1.0510
3.18629e-008,1.0841
3.19015e-008,1.1323
3.19401e-008,1.1600
3.19787e-008,1.1497
3.20173e-008,1.1221
3.20558e-008,1.0532
3.20944e-008,0.9442
3.21330e-008,0.8225
3.21715e-008,0.7036
3.22101e-008,0.5959
3.22487e-008,0.5132
3.22873e-008,0.4582
3.23259e-008,0.4202
3.23644e-008,0.3845
3.24030e-008,0.3698
3.24416e-008,0.3895
3.24801e-008,0.4372
3.25187e-008,0.5257
3.25573e-008,0.6428
3.25959e-008,0.7576
3.26344e-008,0.8434
3.26730e-008,0.9140
3.27116e-008,0.9767
3.27502e-008,1.0286
3.27888e-008,1.0689
3.28273e-008,1.1141
3.28659e-008,1.1527
3.29045e-008,1.1542
3.29430e-008,1.1373
3.29816e-008,1.0817
3.30202e-008,0.9809
3.30588e-008,0.8613
3.30974e-008,0.7438
3.31359e-008,0.6315
3.31745e-008,0.5388
3.32131e-008,0.4746
3.32516e-008,0.4327
3.32902e-008,0.4021
3.33288e-008,0.3819
3.33674e-008,0.3680
3.34060e-008,0.3549
3.34445e-008,0.3470
3.34831e-008,0.3395
3.35217e-008,0.3293
3.35603e-008,0.3214
3.35988e-008,0.3180
3.36374e-008,0.3163
3.36760e-008,0.3163
3.37145e-008,0.3195
3.37531e-008,0.3235
3.37917e-008,0.3302
3.38303e-008,0.3518
3.38689e-008,0.4031
3.39074e-008,0.4941
3.39460e-008,0.6170
3.39846e-008,0.7448
3.40231e-008,0.8396
3.40617e-008,0.9063
3.41003e-008,0.9662
3.41389e-008,1.0179
3.41775e-008,1.0579
3.42160e-008,1.0925
3.42546e-008,1.1414
3.42932e-008,1.1600
3.43318e-008,1.1461
3.43703e-008,1.1114
3.44089e-008,1.0323
3.44475e-008,0.9185
3.44860e-008,0.7976
3.45246e-008,0.6799
3.45632e-008,0.5760
3.46018e-008,0.4991
3.46404e-008,0.4492
3.46789e-008,0.4142
3.47175e-008,0.3891
3.47561e-008,0.3746
3.47946e-008,0.3611
3.48332e-008,0.3495
3.48718e-008,0.3429
3.49104e-008,0.3345
3.49490e-008,0.3251
3.49875e-008,0.3191
3.50261e-008,0.3165
3.50647e-008,0.3156
3.51032e-008,0.3177
3.51418e-008,0.3217
3.51804e-008,0.3260
3.52190e-008,0.3387
3.52575e-008,0.3742
3.52961e-008,0.4460
3.53347e-008,0.5555
3.53733e-008,0.6860
3.54119e-008,0.7999
3.54504e-008,0.8762
3.54890e-008,0.9383
3.55276e-008,0.9944
3.55661e-008,1.0406
3.56047e-008,1.0739
3.56433e-008,1.0975
3.56819e-008,1.1135
3.57205e-008,1.1232
3.57590e-008,1.1320
3.57976e-008,1.1432
3.58362e-008,1.1570
3.58747e-008,1.1696
3.59133e-008,1.1739
3.59519e-008,1.1706
3.59905e-008,1.1685
