.HEADER
..NAMES
Time,V U5.P7
.DATA
2.96701e-008,0.4189
2.97068e-008,0.4278
2.97434e-008,0.4713
2.97801e-008,0.5569
2.98168e-008,0.6766
2.98534e-008,0.8055
2.98901e-008,0.9150
2.99268e-008,0.9812
2.99635e-008,0.9948
3.00002e-008,0.9678
3.00368e-008,0.9269
3.00735e-008,0.8966
3.01102e-008,0.8914
3.01469e-008,0.9114
3.01835e-008,0.9462
3.02202e-008,0.9821
3.02569e-008,1.0076
3.02935e-008,1.0165
3.03302e-008,1.0103
3.03669e-008,0.9953
3.04036e-008,0.9794
3.04403e-008,0.9688
3.04769e-008,0.9674
3.05136e-008,0.9762
3.05503e-008,0.9941
3.05869e-008,1.0174
3.06236e-008,1.0378
3.06603e-008,1.0436
3.06970e-008,1.0191
3.07336e-008,0.9533
3.07703e-008,0.8514
3.08070e-008,0.7292
3.08437e-008,0.6089
3.08804e-008,0.5164
3.09170e-008,0.4667
3.09537e-008,0.4559
3.09904e-008,0.4685
3.10270e-008,0.4851
3.10637e-008,0.4910
3.11004e-008,0.4821
3.11371e-008,0.4626
3.11738e-008,0.4408
3.12104e-008,0.4257
3.12471e-008,0.4214
3.12838e-008,0.4265
3.13205e-008,0.4362
3.13571e-008,0.4444
3.13938e-008,0.4476
3.14305e-008,0.4446
3.14671e-008,0.4351
3.15038e-008,0.4223
3.15405e-008,0.4144
3.15772e-008,0.4238
3.16139e-008,0.4658
3.16505e-008,0.5483
3.16872e-008,0.6652
3.17239e-008,0.7935
3.17605e-008,0.9051
3.17972e-008,0.9759
3.18339e-008,0.9946
3.18706e-008,0.9711
3.19072e-008,0.9309
3.19439e-008,0.8994
3.19806e-008,0.8919
3.20173e-008,0.9101
3.20540e-008,0.9437
3.20906e-008,0.9792
3.21273e-008,1.0048
3.21640e-008,1.0143
3.22006e-008,1.0087
3.22373e-008,0.9944
3.22740e-008,0.9792
3.23107e-008,0.9695
3.23474e-008,0.9686
3.23840e-008,0.9771
3.24207e-008,0.9939
3.24574e-008,1.0156
3.24941e-008,1.0352
3.25307e-008,1.0423
3.25674e-008,1.0225
3.26041e-008,0.9633
3.26407e-008,0.8671
3.26774e-008,0.7484
3.27141e-008,0.6276
3.27508e-008,0.5304
3.27875e-008,0.4741
3.28241e-008,0.4576
3.28608e-008,0.4669
3.28975e-008,0.4830
3.29341e-008,0.4901
3.29708e-008,0.4828
3.30075e-008,0.4643
3.30442e-008,0.4426
3.30808e-008,0.4266
3.31175e-008,0.4212
3.31542e-008,0.4257
3.31909e-008,0.4353
3.32276e-008,0.4441
3.32642e-008,0.4479
3.33009e-008,0.4456
3.33376e-008,0.4369
3.33742e-008,0.4241
3.34109e-008,0.4146
3.34476e-008,0.4202
3.34843e-008,0.4560
3.35210e-008,0.5320
3.35576e-008,0.6445
3.35943e-008,0.7730
3.36310e-008,0.8894
3.36677e-008,0.9684
3.37043e-008,0.9959
3.37410e-008,0.9778
3.37777e-008,0.9383
3.38143e-008,0.9036
3.38510e-008,0.8912
3.38877e-008,0.9052
3.39244e-008,0.9370
3.39611e-008,0.9731
3.39977e-008,1.0012
3.40344e-008,1.0138
3.40711e-008,1.0107
3.41077e-008,0.9975
3.41444e-008,0.9820
3.41811e-008,0.9709
3.42178e-008,0.9682
3.42545e-008,0.9749
3.42911e-008,0.9902
