.HEADER
..NAMES
Time,V U3.R2
.DATA
2.91199e-008,0.5792
2.91566e-008,0.6697
2.91933e-008,0.7595
2.92300e-008,0.8373
2.92666e-008,0.8950
2.93033e-008,0.9303
2.93400e-008,0.9468
2.93767e-008,0.9497
2.94133e-008,0.9452
2.94500e-008,0.9406
2.94867e-008,0.9426
2.95234e-008,0.9551
2.95601e-008,0.9775
2.95967e-008,1.0055
2.96334e-008,1.0326
2.96701e-008,1.0539
2.97068e-008,1.0674
2.97434e-008,1.0733
2.97801e-008,1.0732
2.98168e-008,1.0701
2.98534e-008,1.0675
2.98901e-008,1.0670
2.99268e-008,1.0652
2.99635e-008,1.0550
3.00002e-008,1.0296
3.00368e-008,0.9850
3.00735e-008,0.9193
3.01102e-008,0.8323
3.01469e-008,0.7311
3.01835e-008,0.6307
3.02202e-008,0.5460
3.02569e-008,0.4855
3.02935e-008,0.4515
3.03302e-008,0.4426
3.03669e-008,0.4527
3.04036e-008,0.4713
3.04403e-008,0.4870
3.04769e-008,0.4904
3.05136e-008,0.4775
3.05503e-008,0.4507
3.05869e-008,0.4179
3.06236e-008,0.3873
3.06603e-008,0.3641
3.06970e-008,0.3511
3.07336e-008,0.3491
3.07703e-008,0.3558
3.08070e-008,0.3674
3.08437e-008,0.3826
3.08804e-008,0.4035
3.09170e-008,0.4344
3.09537e-008,0.4785
3.09904e-008,0.5381
3.10270e-008,0.6146
3.10637e-008,0.7047
3.11004e-008,0.7974
3.11371e-008,0.8780
3.11738e-008,0.9364
3.12104e-008,0.9699
3.12471e-008,0.9799
3.12838e-008,0.9712
3.13205e-008,0.9529
3.13571e-008,0.9365
3.13938e-008,0.9316
3.14305e-008,0.9432
3.14671e-008,0.9695
3.15038e-008,1.0031
3.15405e-008,1.0349
3.15772e-008,1.0588
3.16139e-008,1.0716
3.16505e-008,1.0733
3.16872e-008,1.0666
3.17239e-008,1.0572
3.17605e-008,1.0508
3.17972e-008,1.0480
3.18339e-008,1.0438
3.18706e-008,1.0306
3.19072e-008,1.0019
3.19439e-008,0.9523
3.19806e-008,0.8786
3.20173e-008,0.7836
3.20540e-008,0.6799
3.20906e-008,0.5837
3.21273e-008,0.5073
3.21640e-008,0.4574
3.22006e-008,0.4359
3.22373e-008,0.4389
3.22740e-008,0.4568
3.23107e-008,0.4772
3.23474e-008,0.4890
3.23840e-008,0.4850
3.24207e-008,0.4647
3.24574e-008,0.4339
3.24941e-008,0.4011
3.25307e-008,0.3732
3.25674e-008,0.3547
