.HEADER
..NAMES
Time,V U2.N3
.DATA
3.79220e-008,0.3968
3.79586e-008,0.3535
3.79953e-008,0.3329
3.80320e-008,0.3320
3.80686e-008,0.3448
3.81053e-008,0.3637
3.81420e-008,0.3809
3.81787e-008,0.3902
3.82154e-008,0.3894
3.82520e-008,0.3794
3.82887e-008,0.3638
3.83254e-008,0.3469
3.83620e-008,0.3334
3.83987e-008,0.3277
3.84354e-008,0.3341
3.84721e-008,0.3561
3.85088e-008,0.3951
3.85454e-008,0.4504
3.85821e-008,0.5200
3.86188e-008,0.6017
3.86555e-008,0.6923
3.86921e-008,0.7859
3.87288e-008,0.8753
3.87655e-008,0.9532
3.88021e-008,1.0134
3.88388e-008,1.0523
3.88755e-008,1.0704
3.89122e-008,1.0709
3.89489e-008,1.0586
3.89855e-008,1.0401
3.90222e-008,1.0227
3.90589e-008,1.0128
3.90955e-008,1.0139
3.91322e-008,1.0255
