.HEADER
..NAMES
Time,V U5.L7
.DATA
3.42911e-008,0.4249
3.43278e-008,0.4199
3.43645e-008,0.4147
3.44012e-008,0.4091
3.44378e-008,0.4037
3.44745e-008,0.3989
3.45112e-008,0.3942
3.45478e-008,0.3877
3.45845e-008,0.3774
3.46212e-008,0.3629
3.46579e-008,0.3463
3.46946e-008,0.3315
3.47312e-008,0.3221
3.47679e-008,0.3197
3.48046e-008,0.3228
3.48412e-008,0.3280
3.48779e-008,0.3317
3.49146e-008,0.3317
3.49513e-008,0.3278
3.49879e-008,0.3219
3.50246e-008,0.3168
3.50613e-008,0.3144
3.50980e-008,0.3153
3.51347e-008,0.3185
3.51713e-008,0.3219
3.52080e-008,0.3240
3.52447e-008,0.3263
3.52813e-008,0.3336
3.53180e-008,0.3555
3.53547e-008,0.4038
3.53914e-008,0.4833
3.54281e-008,0.5883
3.54647e-008,0.7003
3.55014e-008,0.7972
3.55381e-008,0.8647
3.55748e-008,0.9008
3.56114e-008,0.9140
3.56481e-008,0.9184
3.56848e-008,0.9246
3.57214e-008,0.9360
3.57581e-008,0.9513
3.57948e-008,0.9667
3.58315e-008,0.9782
3.58682e-008,0.9838
3.59048e-008,0.9840
3.59415e-008,0.9815
3.59782e-008,0.9794
3.60148e-008,0.9797
3.60515e-008,0.9831
3.60882e-008,0.9889
3.61249e-008,0.9956
3.61615e-008,1.0028
3.61982e-008,1.0110
3.62349e-008,1.0192
3.62716e-008,1.0209
3.63083e-008,1.0043
3.63449e-008,0.9560
3.63816e-008,0.8741
3.64183e-008,0.7714
3.64549e-008,0.6667
3.64916e-008,0.5790
3.65283e-008,0.5201
3.65650e-008,0.4887
3.66017e-008,0.4749
3.66383e-008,0.4690
3.66750e-008,0.4646
3.67117e-008,0.4586
3.67484e-008,0.4514
3.67850e-008,0.4456
3.68217e-008,0.4432
3.68584e-008,0.4439
3.68950e-008,0.4458
3.69317e-008,0.4467
3.69684e-008,0.4451
3.70051e-008,0.4411
3.70418e-008,0.4362
3.70784e-008,0.4317
3.71151e-008,0.4277
3.71518e-008,0.4256
3.71884e-008,0.4308
3.72251e-008,0.4563
3.72618e-008,0.5145
3.72985e-008,0.6070
3.73351e-008,0.7173
3.73718e-008,0.8187
3.74085e-008,0.8902
3.74452e-008,0.9248
3.74819e-008,0.9308
3.75185e-008,0.9263
3.75552e-008,0.9267
3.75919e-008,0.9369
3.76285e-008,0.9538
3.76652e-008,0.9710
3.77019e-008,0.9823
3.77386e-008,0.9848
3.77753e-008,0.9798
3.78119e-008,0.9723
3.78486e-008,0.9676
3.78853e-008,0.9685
3.79220e-008,0.9745
3.79586e-008,0.9823
3.79953e-008,0.9889
3.80320e-008,0.9932
3.80686e-008,0.9980
3.81053e-008,1.0058
3.81420e-008,1.0134
3.81787e-008,1.0092
3.82154e-008,0.9771
3.82520e-008,0.9093
