.HEADER
..NAMES
Time,V U3.R3
.DATA
2.65527e-008,0.3298
2.65894e-008,0.3307
2.66261e-008,0.3316
2.66627e-008,0.3321
2.66994e-008,0.3322
2.67361e-008,0.3319
2.67727e-008,0.3312
2.68094e-008,0.3303
2.68461e-008,0.3297
2.68828e-008,0.3294
2.69194e-008,0.3295
2.69561e-008,0.3300
2.69928e-008,0.3309
2.70295e-008,0.3331
2.70662e-008,0.3385
2.71028e-008,0.3511
2.71395e-008,0.3752
2.71762e-008,0.4141
2.72129e-008,0.4689
2.72495e-008,0.5381
2.72862e-008,0.6191
2.73229e-008,0.7071
2.73595e-008,0.7937
2.73962e-008,0.8697
2.74329e-008,0.9287
2.74696e-008,0.9672
2.75062e-008,0.9847
2.75429e-008,0.9850
2.75796e-008,0.9763
2.76163e-008,0.9673
2.76530e-008,0.9650
2.76896e-008,0.9732
2.77263e-008,0.9923
2.77630e-008,1.0195
2.77997e-008,1.0501
2.78363e-008,1.0784
2.78730e-008,1.0987
2.79097e-008,1.1075
2.79463e-008,1.1049
2.79830e-008,1.0942
2.80197e-008,1.0791
2.80564e-008,1.0615
2.80930e-008,1.0398
2.81297e-008,1.0104
2.81664e-008,0.9703
2.82031e-008,0.9168
2.82398e-008,0.8460
2.82764e-008,0.7589
2.83131e-008,0.6637
2.83498e-008,0.5710
2.83865e-008,0.4901
2.84231e-008,0.4308
2.84598e-008,0.4000
2.84965e-008,0.3974
2.85331e-008,0.4156
2.85698e-008,0.4432
2.86065e-008,0.4675
2.86432e-008,0.4782
2.86798e-008,0.4704
2.87165e-008,0.4443
2.87532e-008,0.4049
2.87899e-008,0.3610
2.88266e-008,0.3235
2.88632e-008,0.3009
2.88999e-008,0.2967
2.89366e-008,0.3093
2.89733e-008,0.3328
2.90099e-008,0.3585
2.90466e-008,0.3772
2.90833e-008,0.3834
2.91199e-008,0.3760
2.91566e-008,0.3582
2.91933e-008,0.3358
2.92300e-008,0.3155
2.92666e-008,0.3028
2.93033e-008,0.3004
2.93400e-008,0.3079
2.93767e-008,0.3220
2.94133e-008,0.3374
2.94500e-008,0.3487
2.94867e-008,0.3522
2.95234e-008,0.3468
2.95601e-008,0.3346
2.95967e-008,0.3196
2.96334e-008,0.3067
2.96701e-008,0.2996
2.97068e-008,0.3001
2.97434e-008,0.3074
2.97801e-008,0.3189
2.98168e-008,0.3314
2.98534e-008,0.3433
2.98901e-008,0.3556
2.99268e-008,0.3728
2.99635e-008,0.4000
3.00002e-008,0.4412
3.00368e-008,0.4988
3.00735e-008,0.5725
3.01102e-008,0.6597
3.01469e-008,0.7529
3.01835e-008,0.8414
3.02202e-008,0.9144
3.02569e-008,0.9652
3.02935e-008,0.9910
3.03302e-008,0.9939
3.03669e-008,0.9815
3.04036e-008,0.9649
3.04403e-008,0.9541
3.04769e-008,0.9556
