.HEADER
..NAMES
Time,V U5.T3
.DATA
3.26407e-008,0.3941
3.26774e-008,0.3930
3.27141e-008,0.3875
3.27508e-008,0.3758
3.27875e-008,0.3590
3.28241e-008,0.3402
3.28608e-008,0.3236
3.28975e-008,0.3132
3.29341e-008,0.3112
3.29708e-008,0.3168
3.30075e-008,0.3258
3.30442e-008,0.3334
3.30808e-008,0.3360
3.31175e-008,0.3330
3.31542e-008,0.3260
3.31909e-008,0.3180
3.32276e-008,0.3117
3.32642e-008,0.3092
3.33009e-008,0.3110
3.33376e-008,0.3162
3.33742e-008,0.3248
3.34109e-008,0.3387
3.34476e-008,0.3645
3.34843e-008,0.4123
3.35210e-008,0.4859
3.35576e-008,0.5803
3.35943e-008,0.6817
3.36310e-008,0.7746
3.36677e-008,0.8485
3.37043e-008,0.8980
3.37410e-008,0.9225
3.37777e-008,0.9297
3.38143e-008,0.9308
3.38510e-008,0.9340
3.38877e-008,0.9420
3.39244e-008,0.9534
3.39611e-008,0.9653
3.39977e-008,0.9752
3.40344e-008,0.9818
3.40711e-008,0.9850
3.41077e-008,0.9856
3.41444e-008,0.9850
3.41811e-008,0.9847
3.42178e-008,0.9855
3.42545e-008,0.9883
3.42911e-008,0.9936
3.43278e-008,1.0015
3.43645e-008,1.0103
3.44012e-008,1.0179
3.44378e-008,1.0233
3.44745e-008,1.0272
3.45112e-008,1.0318
3.45478e-008,1.0392
3.45845e-008,1.0504
3.46212e-008,1.0649
3.46579e-008,1.0800
3.46946e-008,1.0924
3.47312e-008,1.0998
3.47679e-008,1.1013
3.48046e-008,1.0978
3.48412e-008,1.0920
3.48779e-008,1.0875
3.49146e-008,1.0870
3.49513e-008,1.0904
3.49879e-008,1.0961
3.50246e-008,1.1015
3.50613e-008,1.1052
3.50980e-008,1.1065
3.51347e-008,1.1054
3.51713e-008,1.1028
3.52080e-008,1.0997
3.52447e-008,1.0976
3.52813e-008,1.0974
3.53180e-008,1.0960
3.53547e-008,1.0855
3.53914e-008,1.0533
3.54281e-008,0.9899
3.54647e-008,0.8987
3.55014e-008,0.7918
3.55381e-008,0.6824
3.55748e-008,0.5862
3.56114e-008,0.5179
3.56481e-008,0.4818
3.56848e-008,0.4711
3.57214e-008,0.4736
3.57581e-008,0.4779
3.57948e-008,0.4764
3.58315e-008,0.4672
3.58682e-008,0.4535
3.59048e-008,0.4398
3.59415e-008,0.4305
3.59782e-008,0.4275
3.60148e-008,0.4297
3.60515e-008,0.4340
3.60882e-008,0.4377
3.61249e-008,0.4386
3.61615e-008,0.4357
3.61982e-008,0.4303
3.62349e-008,0.4289
3.62716e-008,0.4434
3.63083e-008,0.4880
3.63449e-008,0.5675
3.63816e-008,0.6721
3.64183e-008,0.7795
3.64549e-008,0.8697
3.64916e-008,0.9302
3.65283e-008,0.9563
3.65650e-008,0.9523
3.66017e-008,0.9343
3.66383e-008,0.9200
3.66750e-008,0.9203
3.67117e-008,0.9355
3.67484e-008,0.9586
3.67850e-008,0.9797
3.68217e-008,0.9917
3.68584e-008,0.9927
3.68950e-008,0.9853
3.69317e-008,0.9744
3.69684e-008,0.9656
3.70051e-008,0.9625
3.70418e-008,0.9661
3.70784e-008,0.9755
3.71151e-008,0.9887
3.71518e-008,1.0031
3.71884e-008,1.0151
3.72251e-008,1.0223
3.72618e-008,1.0248
3.72985e-008,1.0257
3.73351e-008,1.0289
3.73718e-008,1.0376
3.74085e-008,1.0528
3.74452e-008,1.0723
3.74819e-008,1.0915
3.75185e-008,1.1052
3.75552e-008,1.1103
3.75919e-008,1.1063
3.76285e-008,1.0957
3.76652e-008,1.0840
3.77019e-008,1.0770
3.77386e-008,1.0779
3.77753e-008,1.0859
3.78119e-008,1.0967
3.78486e-008,1.1060
3.78853e-008,1.1108
3.79220e-008,1.1103
3.79586e-008,1.1056
3.79953e-008,1.0991
3.80320e-008,1.0935
3.80686e-008,1.0912
3.81053e-008,1.0926
3.81420e-008,1.0924
3.81787e-008,1.0802
3.82154e-008,1.0416
3.82520e-008,0.9696
3.82887e-008,0.8715
3.83254e-008,0.7606
3.83620e-008,0.6517
3.83987e-008,0.5612
3.84354e-008,0.5023
3.84721e-008,0.4758
3.85088e-008,0.4721
3.85454e-008,0.4779
3.85821e-008,0.4819
3.86188e-008,0.4776
3.86555e-008,0.4653
3.86921e-008,0.4492
3.87288e-008,0.4348
3.87655e-008,0.4265
3.88021e-008,0.4257
