.HEADER
..NAMES
Time,V U5.N2
.DATA
2.36554e-008,0.9667
2.36920e-008,0.9765
2.37287e-008,0.9832
2.37654e-008,0.9867
2.38021e-008,0.9875
2.38387e-008,0.9869
2.38754e-008,0.9860
2.39121e-008,0.9861
2.39488e-008,0.9886
2.39855e-008,0.9941
2.40221e-008,1.0025
2.40588e-008,1.0120
2.40955e-008,1.0205
2.41322e-008,1.0268
2.41688e-008,1.0313
2.42055e-008,1.0359
2.42422e-008,1.0428
2.42788e-008,1.0533
2.43155e-008,1.0669
2.43522e-008,1.0814
2.43889e-008,1.0940
2.44255e-008,1.1023
2.44622e-008,1.1049
2.44989e-008,1.1022
2.45356e-008,1.0964
2.45723e-008,1.0912
2.46089e-008,1.0893
2.46456e-008,1.0915
2.46823e-008,1.0965
2.47190e-008,1.1021
2.47556e-008,1.1066
2.47923e-008,1.1089
2.48290e-008,1.1088
2.48657e-008,1.1066
2.49023e-008,1.1034
2.49390e-008,1.1009
2.49757e-008,1.0992
2.50123e-008,1.0946
2.50490e-008,1.0779
2.50857e-008,1.0370
2.51224e-008,0.9657
2.51590e-008,0.8696
2.51957e-008,0.7609
2.52324e-008,0.6532
2.52691e-008,0.5620
2.53058e-008,0.4999
2.53424e-008,0.4693
2.53791e-008,0.4625
2.54158e-008,0.4679
2.54525e-008,0.4741
2.54891e-008,0.4741
2.55258e-008,0.4664
2.55625e-008,0.4537
2.55991e-008,0.4406
2.56358e-008,0.4311
2.56725e-008,0.4272
2.57092e-008,0.4284
2.57458e-008,0.4326
2.57825e-008,0.4370
2.58192e-008,0.4392
2.58559e-008,0.4380
2.58926e-008,0.4352
2.59292e-008,0.4383
2.59659e-008,0.4603
2.60026e-008,0.5137
2.60393e-008,0.6005
2.60759e-008,0.7078
2.61126e-008,0.8136
2.61493e-008,0.8995
2.61859e-008,0.9538
2.62226e-008,0.9726
2.62593e-008,0.9625
2.62960e-008,0.9401
2.63326e-008,0.9231
2.63693e-008,0.9216
2.64060e-008,0.9358
2.64427e-008,0.9585
2.64794e-008,0.9799
2.65160e-008,0.9926
2.65527e-008,0.9943
2.65894e-008,0.9871
2.66261e-008,0.9757
2.66627e-008,0.9653
2.66994e-008,0.9599
2.67361e-008,0.9613
2.67727e-008,0.9696
2.68094e-008,0.9830
2.68461e-008,0.9982
2.68828e-008,1.0112
2.69194e-008,1.0192
2.69561e-008,1.0224
2.69928e-008,1.0239
2.70295e-008,1.0277
2.70662e-008,1.0370
2.71028e-008,1.0528
2.71395e-008,1.0735
2.71762e-008,1.0943
2.72129e-008,1.1094
2.72495e-008,1.1152
2.72862e-008,1.1107
2.73229e-008,1.0990
2.73595e-008,1.0857
2.73962e-008,1.0769
2.74329e-008,1.0765
2.74696e-008,1.0838
2.75062e-008,1.0954
2.75429e-008,1.1066
2.75796e-008,1.1137
2.76163e-008,1.1150
2.76530e-008,1.1108
2.76896e-008,1.1032
2.77263e-008,1.0950
2.77630e-008,1.0889
2.77997e-008,1.0865
2.78363e-008,1.0882
2.78730e-008,1.0926
2.79097e-008,1.0974
2.79463e-008,1.1003
2.79830e-008,1.1002
2.80197e-008,1.0974
2.80564e-008,1.0927
2.80930e-008,1.0878
2.81297e-008,1.0847
2.81664e-008,1.0854
2.82031e-008,1.0898
2.82398e-008,1.0963
2.82764e-008,1.1019
2.83131e-008,1.1044
2.83498e-008,1.1031
2.83865e-008,1.0986
2.84231e-008,1.0929
2.84598e-008,1.0881
2.84965e-008,1.0859
2.85331e-008,1.0868
2.85698e-008,1.0901
2.86065e-008,1.0940
2.86432e-008,1.0969
2.86798e-008,1.0975
2.87165e-008,1.0956
2.87532e-008,1.0916
2.87899e-008,1.0868
2.88266e-008,1.0828
2.88632e-008,1.0811
2.88999e-008,1.0822
2.89366e-008,1.0854
2.89733e-008,1.0895
2.90099e-008,1.0935
2.90466e-008,1.0961
2.90833e-008,1.0962
2.91199e-008,1.0938
2.91566e-008,1.0900
2.91933e-008,1.0866
2.92300e-008,1.0853
2.92666e-008,1.0864
2.93033e-008,1.0892
2.93400e-008,1.0925
2.93767e-008,1.0950
2.94133e-008,1.0960
2.94500e-008,1.0952
2.94867e-008,1.0931
2.95234e-008,1.0908
2.95601e-008,1.0897
2.95967e-008,1.0903
2.96334e-008,1.0931
2.96701e-008,1.0970
2.97068e-008,1.0974
2.97434e-008,1.0853
2.97801e-008,1.0486
2.98168e-008,0.9803
2.98534e-008,0.8853
2.98901e-008,0.7754
2.99268e-008,0.6651
2.99635e-008,0.5707
3.00002e-008,0.5049
3.00368e-008,0.4709
3.00735e-008,0.4619
3.01102e-008,0.4662
3.01469e-008,0.4720
3.01835e-008,0.4715
3.02202e-008,0.4631
3.02569e-008,0.4501
3.02935e-008,0.4373
3.03302e-008,0.4286
3.03669e-008,0.4257
3.04036e-008,0.4277
3.04403e-008,0.4318
3.04769e-008,0.4355
3.05136e-008,0.4365
3.05503e-008,0.4341
3.05869e-008,0.4312
3.06236e-008,0.4351
3.06603e-008,0.4583
3.06970e-008,0.5124
3.07336e-008,0.5993
3.07703e-008,0.7064
3.08070e-008,0.8119
3.08437e-008,0.8978
3.08804e-008,0.9528
3.09170e-008,0.9729
3.09537e-008,0.9640
3.09904e-008,0.9422
3.10270e-008,0.9242
3.10637e-008,0.9206
3.11004e-008,0.9328
3.11371e-008,0.9545
3.11738e-008,0.9763
3.12104e-008,0.9905
3.12471e-008,0.9942
3.12838e-008,0.9887
3.13205e-008,0.9782
3.13571e-008,0.9682
3.13938e-008,0.9626
3.14305e-008,0.9639
3.14671e-008,0.9723
3.15038e-008,0.9870
3.15405e-008,1.0049
3.15772e-008,1.0187
3.16139e-008,1.0169
3.16505e-008,0.9858
3.16872e-008,0.9198
3.17239e-008,0.8276
3.17605e-008,0.7251
3.17972e-008,0.6274
3.18339e-008,0.5490
3.18706e-008,0.5001
3.19072e-008,0.4797
3.19439e-008,0.4774
3.19806e-008,0.4794
3.20173e-008,0.4760
3.20540e-008,0.4645
3.20906e-008,0.4489
3.21273e-008,0.4358
3.21640e-008,0.4297
3.22006e-008,0.4315
3.22373e-008,0.4389
3.22740e-008,0.4477
3.23107e-008,0.4536
3.23474e-008,0.4541
3.23840e-008,0.4488
3.24207e-008,0.4390
3.24574e-008,0.4286
3.24941e-008,0.4251
3.25307e-008,0.4400
3.25674e-008,0.4850
3.26041e-008,0.5643
3.26407e-008,0.6678
3.26774e-008,0.7740
3.27141e-008,0.8644
3.27508e-008,0.9265
3.27875e-008,0.9550
3.28241e-008,0.9540
3.28608e-008,0.9384
3.28975e-008,0.9250
3.29341e-008,0.9247
3.29708e-008,0.9391
3.30075e-008,0.9615
3.30442e-008,0.9823
3.30808e-008,0.9940
3.31175e-008,0.9944
3.31542e-008,0.9861
3.31909e-008,0.9744
3.32276e-008,0.9649
3.32642e-008,0.9613
3.33009e-008,0.9647
3.33376e-008,0.9741
3.33742e-008,0.9872
3.34109e-008,1.0011
3.34476e-008,1.0128
3.34843e-008,1.0202
3.35210e-008,1.0235
3.35576e-008,1.0252
3.35943e-008,1.0284
3.36310e-008,1.0364
3.36677e-008,1.0505
3.37043e-008,1.0693
3.37410e-008,1.0888
3.37777e-008,1.1044
3.38143e-008,1.1123
3.38510e-008,1.1109
3.38877e-008,1.1019
3.39244e-008,1.0898
3.39611e-008,1.0805
3.39977e-008,1.0781
3.40344e-008,1.0832
3.40711e-008,1.0930
3.41077e-008,1.1033
3.41444e-008,1.1104
3.41811e-008,1.1125
3.42178e-008,1.1094
3.42545e-008,1.1028
3.42911e-008,1.0955
3.43278e-008,1.0899
3.43645e-008,1.0875
3.44012e-008,1.0883
3.44378e-008,1.0909
3.44745e-008,1.0938
3.45112e-008,1.0955
3.45478e-008,1.0953
3.45845e-008,1.0931
3.46212e-008,1.0899
3.46579e-008,1.0867
3.46946e-008,1.0850
3.47312e-008,1.0858
3.47679e-008,1.0891
3.48046e-008,1.0939
3.48412e-008,1.0982
3.48779e-008,1.1007
3.49146e-008,1.1003
3.49513e-008,1.0975
3.49879e-008,1.0934
3.50246e-008,1.0897
3.50613e-008,1.0878
3.50980e-008,1.0883
3.51347e-008,1.0907
3.51713e-008,1.0941
3.52080e-008,1.0972
3.52447e-008,1.0993
3.52813e-008,1.1004
3.53180e-008,1.0988
3.53547e-008,1.0895
3.53914e-008,1.0632
3.54281e-008,1.0100
3.54647e-008,0.9292
3.55014e-008,0.8285
3.55381e-008,0.7197
3.55748e-008,0.6175
3.56114e-008,0.5369
3.56481e-008,0.4858
3.56848e-008,0.4626
3.57214e-008,0.4589
3.57581e-008,0.4636
3.57948e-008,0.4674
3.58315e-008,0.4652
3.58682e-008,0.4572
3.59048e-008,0.4465
3.59415e-008,0.4365
3.59782e-008,0.4301
3.60148e-008,0.4277
3.60515e-008,0.4283
3.60882e-008,0.4302
3.61249e-008,0.4319
3.61615e-008,0.4320
3.61982e-008,0.4308
3.62349e-008,0.4326
3.62716e-008,0.4468
3.63083e-008,0.4858
3.63449e-008,0.5571
3.63816e-008,0.6556
3.64183e-008,0.7628
3.64549e-008,0.8588
3.64916e-008,0.9295
3.65283e-008,0.9672
3.65650e-008,0.9719
3.66017e-008,0.9551
3.66383e-008,0.9339
3.66750e-008,0.9225
3.67117e-008,0.9266
3.67484e-008,0.9435
3.67850e-008,0.9651
3.68217e-008,0.9828
3.68584e-008,0.9918
3.68950e-008,0.9913
3.69317e-008,0.9838
3.69684e-008,0.9741
3.70051e-008,0.9665
3.70418e-008,0.9640
3.70784e-008,0.9680
3.71151e-008,0.9779
3.71518e-008,0.9920
3.71884e-008,1.0070
3.72251e-008,1.0199
3.72618e-008,1.0288
3.72985e-008,1.0341
3.73351e-008,1.0378
3.73718e-008,1.0434
3.74085e-008,1.0533
3.74452e-008,1.0678
3.74819e-008,1.0844
3.75185e-008,1.0996
3.75552e-008,1.1099
