.HEADER
..NAMES
Time,V U2.B8
.DATA
3.46404e-008,1.0408
3.46789e-008,1.0825
3.47175e-008,1.1291
3.47561e-008,1.1626
3.47946e-008,1.1673
3.48332e-008,1.1316
3.48718e-008,1.0447
3.49104e-008,0.9219
3.49490e-008,0.7981
3.49875e-008,0.6841
3.50261e-008,0.5849
3.50647e-008,0.5099
3.51032e-008,0.4560
3.51418e-008,0.4153
3.51804e-008,0.3851
3.52190e-008,0.3693
3.52575e-008,0.3810
3.52961e-008,0.4344
3.53347e-008,0.5301
3.53733e-008,0.6522
3.54119e-008,0.7703
3.54504e-008,0.8640
3.54890e-008,0.9332
3.55276e-008,0.9857
3.55661e-008,1.0288
3.56047e-008,1.0661
3.56433e-008,1.0964
3.56819e-008,1.1193
3.57205e-008,1.1359
3.57590e-008,1.1459
3.57976e-008,1.1512
3.58362e-008,1.1570
3.58747e-008,1.1646
3.59133e-008,1.1716
3.59519e-008,1.1752
3.59905e-008,1.1746
3.60290e-008,1.1720
3.60676e-008,1.1710
3.61062e-008,1.1718
3.61448e-008,1.1732
3.61834e-008,1.1749
3.62219e-008,1.1764
3.62605e-008,1.1771
3.62991e-008,1.1768
3.63376e-008,1.1761
3.63762e-008,1.1761
3.64148e-008,1.1772
3.64534e-008,1.1783
3.64920e-008,1.1784
3.65305e-008,1.1779
3.65691e-008,1.1775
3.66077e-008,1.1775
3.66462e-008,1.1778
3.66848e-008,1.1780
3.67234e-008,1.1782
3.67620e-008,1.1783
3.68006e-008,1.1783
3.68391e-008,1.1781
3.68777e-008,1.1778
3.69163e-008,1.1778
3.69549e-008,1.1781
3.69934e-008,1.1783
3.70320e-008,1.1782
3.70706e-008,1.1781
3.71091e-008,1.1780
3.71477e-008,1.1780
3.71863e-008,1.1781
3.72249e-008,1.1781
3.72635e-008,1.1781
3.73020e-008,1.1782
3.73406e-008,1.1782
3.73792e-008,1.1781
3.74177e-008,1.1780
3.74563e-008,1.1781
3.74949e-008,1.1781
3.75335e-008,1.1782
3.75721e-008,1.1781
3.76106e-008,1.1781
3.76492e-008,1.1781
3.76878e-008,1.1781
3.77263e-008,1.1781
3.77649e-008,1.1781
3.78035e-008,1.1781
3.78421e-008,1.1781
3.78806e-008,1.1781
3.79192e-008,1.1781
3.79578e-008,1.1786
3.79964e-008,1.1813
3.80350e-008,1.1841
3.80735e-008,1.1768
3.81121e-008,1.1402
3.81507e-008,1.0572
3.81892e-008,0.9357
3.82278e-008,0.8061
3.82664e-008,0.6893
3.83050e-008,0.5925
3.83436e-008,0.5177
3.83821e-008,0.4633
3.84207e-008,0.4253
3.84593e-008,0.3990
3.84978e-008,0.3759
3.85364e-008,0.3549
3.85750e-008,0.3414
3.86136e-008,0.3354
3.86521e-008,0.3306
3.86907e-008,0.3246
3.87293e-008,0.3189
3.87679e-008,0.3163
3.88065e-008,0.3177
3.88450e-008,0.3203
3.88836e-008,0.3218
3.89222e-008,0.3230
3.89607e-008,0.3244
3.89993e-008,0.3243
3.90379e-008,0.3225
3.90765e-008,0.3206
3.91151e-008,0.3203
3.91536e-008,0.3213
3.91922e-008,0.3218
3.92308e-008,0.3210
3.92693e-008,0.3200
3.93079e-008,0.3200
3.93465e-008,0.3204
3.93851e-008,0.3204
3.94237e-008,0.3201
3.94622e-008,0.3200
3.95008e-008,0.3201
3.95394e-008,0.3201
3.95780e-008,0.3197
3.96165e-008,0.3194
3.96551e-008,0.3196
3.96937e-008,0.3201
3.97322e-008,0.3201
3.97708e-008,0.3198
3.98094e-008,0.3197
3.98480e-008,0.3209
3.98866e-008,0.3269
3.99251e-008,0.3463
3.99637e-008,0.3933
4.00023e-008,0.4793
4.00408e-008,0.5999
4.00794e-008,0.7294
4.01180e-008,0.8356
4.01566e-008,0.9086
4.01952e-008,0.9610
4.02337e-008,1.0047
4.02723e-008,1.0439
4.03109e-008,1.0779
4.03494e-008,1.1047
4.03880e-008,1.1249
4.04266e-008,1.1397
4.04652e-008,1.1476
4.05037e-008,1.1517
4.05423e-008,1.1582
4.05809e-008,1.1671
4.06195e-008,1.1736
4.06581e-008,1.1748
4.06966e-008,1.1722
4.07352e-008,1.1698
4.07738e-008,1.1715
4.08123e-008,1.1776
4.08509e-008,1.1825
4.08895e-008,1.1752
4.09281e-008,1.1370
4.09667e-008,1.0507
4.10052e-008,0.9262
4.10438e-008,0.7961
4.10824e-008,0.6813
4.11209e-008,0.5876
4.11595e-008,0.5152
