.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
3.00002e-008,1.0089
3.00368e-008,1.0194
3.00735e-008,1.0140
3.01102e-008,0.9931
3.01469e-008,0.9566
3.01835e-008,0.9043
3.02202e-008,0.8377
3.02569e-008,0.7596
3.02935e-008,0.6743
3.03302e-008,0.5871
3.03669e-008,0.5053
3.04036e-008,0.4367
3.04403e-008,0.3871
3.04769e-008,0.3592
3.05136e-008,0.3544
3.05503e-008,0.3723
3.05869e-008,0.4105
3.06236e-008,0.4649
3.06603e-008,0.5315
3.06970e-008,0.6069
3.07336e-008,0.6870
3.07703e-008,0.7668
3.08070e-008,0.8409
3.08437e-008,0.9055
3.08804e-008,0.9576
3.09170e-008,0.9947
3.09537e-008,1.0150
3.09904e-008,1.0187
3.10270e-008,1.0069
3.10637e-008,0.9795
3.11004e-008,0.9363
3.11371e-008,0.8778
3.11738e-008,0.8059
3.12104e-008,0.7241
3.12471e-008,0.6372
3.12838e-008,0.5513
3.13205e-008,0.4741
3.13571e-008,0.4131
3.13938e-008,0.3725
3.14305e-008,0.3544
3.14671e-008,0.3594
3.15038e-008,0.3863
3.15405e-008,0.4319
3.15772e-008,0.4919
3.16139e-008,0.5626
3.16505e-008,0.6405
3.16872e-008,0.7212
3.17239e-008,0.7990
3.17605e-008,0.8695
3.17972e-008,0.9290
3.18339e-008,0.9750
3.18706e-008,1.0051
3.19072e-008,1.0183
3.19439e-008,1.0154
3.19806e-008,0.9971
3.20173e-008,0.9631
3.20540e-008,0.9133
3.20906e-008,0.8488
3.21273e-008,0.7721
3.21640e-008,0.6875
3.22006e-008,0.6001
3.22373e-008,0.5169
3.22740e-008,0.4459
3.23107e-008,0.3933
3.23474e-008,0.3621
3.23840e-008,0.3538
3.24207e-008,0.3685
3.24574e-008,0.4038
3.24941e-008,0.4560
3.25307e-008,0.5209
3.25674e-008,0.5951
3.26041e-008,0.6749
3.26407e-008,0.7552
3.26774e-008,0.8306
3.27141e-008,0.8970
3.27508e-008,0.9514
3.27875e-008,0.9910
3.28241e-008,1.0138
3.28608e-008,1.0198
