.HEADER
..NAMES
Time,V U3.P2
.DATA
3.08804e-008,1.0460
3.09170e-008,1.0440
3.09537e-008,1.0295
3.09904e-008,0.9958
3.10270e-008,0.9381
3.10637e-008,0.8549
3.11004e-008,0.7529
3.11371e-008,0.6474
3.11738e-008,0.5555
3.12104e-008,0.4883
3.12471e-008,0.4500
3.12838e-008,0.4397
3.13205e-008,0.4505
3.13571e-008,0.4704
3.13938e-008,0.4866
3.14305e-008,0.4894
3.14671e-008,0.4752
3.15038e-008,0.4471
3.15405e-008,0.4135
3.15772e-008,0.3828
3.16139e-008,0.3607
3.16505e-008,0.3504
3.16872e-008,0.3516
3.17239e-008,0.3608
3.17605e-008,0.3731
3.17972e-008,0.3867
3.18339e-008,0.4044
3.18706e-008,0.4319
3.19072e-008,0.4738
3.19439e-008,0.5328
3.19806e-008,0.6099
3.20173e-008,0.7015
3.20540e-008,0.7964
3.20906e-008,0.8790
3.21273e-008,0.9384
3.21640e-008,0.9710
3.22006e-008,0.9788
3.22373e-008,0.9677
3.22740e-008,0.9484
3.23107e-008,0.9330
3.23474e-008,0.9309
3.23840e-008,0.9456
3.24207e-008,0.9742
3.24574e-008,1.0086
3.24941e-008,1.0398
3.25307e-008,1.0614
3.25674e-008,1.0707
3.26041e-008,1.0683
3.26407e-008,1.0582
3.26774e-008,1.0472
3.27141e-008,1.0419
3.27508e-008,1.0453
3.27875e-008,1.0563
3.28241e-008,1.0716
3.28608e-008,1.0868
3.28975e-008,1.0975
3.29341e-008,1.1009
3.29708e-008,1.0970
3.30075e-008,1.0888
3.30442e-008,1.0806
3.30808e-008,1.0760
3.31175e-008,1.0772
3.31542e-008,1.0836
3.31909e-008,1.0930
3.32276e-008,1.1022
3.32642e-008,1.1084
3.33009e-008,1.1099
3.33376e-008,1.1066
3.33742e-008,1.1005
3.34109e-008,1.0944
3.34476e-008,1.0906
3.34843e-008,1.0904
3.35210e-008,1.0937
3.35576e-008,1.0989
3.35943e-008,1.1039
3.36310e-008,1.1065
3.36677e-008,1.1057
3.37043e-008,1.1017
3.37410e-008,1.0957
3.37777e-008,1.0895
3.38143e-008,1.0848
3.38510e-008,1.0826
3.38877e-008,1.0832
3.39244e-008,1.0859
3.39611e-008,1.0894
3.39977e-008,1.0924
3.40344e-008,1.0938
3.40711e-008,1.0935
3.41077e-008,1.0920
3.41444e-008,1.0901
3.41811e-008,1.0887
3.42178e-008,1.0883
3.42545e-008,1.0887
3.42911e-008,1.0897
3.43278e-008,1.0907
3.43645e-008,1.0913
3.44012e-008,1.0910
3.44378e-008,1.0901
3.44745e-008,1.0888
3.45112e-008,1.0877
3.45478e-008,1.0874
3.45845e-008,1.0879
3.46212e-008,1.0890
3.46579e-008,1.0901
3.46946e-008,1.0908
3.47312e-008,1.0908
3.47679e-008,1.0903
3.48046e-008,1.0894
3.48412e-008,1.0884
3.48779e-008,1.0877
3.49146e-008,1.0876
3.49513e-008,1.0880
3.49879e-008,1.0888
3.50246e-008,1.0896
3.50613e-008,1.0901
3.50980e-008,1.0900
3.51347e-008,1.0895
3.51713e-008,1.0887
3.52080e-008,1.0881
3.52447e-008,1.0878
3.52813e-008,1.0879
3.53180e-008,1.0884
3.53547e-008,1.0892
3.53914e-008,1.0899
3.54281e-008,1.0906
3.54647e-008,1.0912
3.55014e-008,1.0915
3.55381e-008,1.0903
3.55748e-008,1.0841
3.56114e-008,1.0680
3.56481e-008,1.0375
3.56848e-008,0.9901
3.57214e-008,0.9245
3.57581e-008,0.8417
3.57948e-008,0.7477
3.58315e-008,0.6535
3.58682e-008,0.5705
3.59048e-008,0.5064
3.59415e-008,0.4653
3.59782e-008,0.4472
3.60148e-008,0.4475
3.60515e-008,0.4574
3.60882e-008,0.4672
3.61249e-008,0.4693
3.61615e-008,0.4592
3.61982e-008,0.4379
3.62349e-008,0.4104
3.62716e-008,0.3825
3.63083e-008,0.3597
3.63449e-008,0.3456
3.63816e-008,0.3414
3.64183e-008,0.3448
3.64549e-008,0.3511
3.64916e-008,0.3559
3.65283e-008,0.3563
3.65650e-008,0.3516
3.66017e-008,0.3430
3.66383e-008,0.3334
3.66750e-008,0.3262
3.67117e-008,0.3237
3.67484e-008,0.3262
3.67850e-008,0.3320
3.68217e-008,0.3382
3.68584e-008,0.3418
3.68950e-008,0.3412
3.69317e-008,0.3361
3.69684e-008,0.3279
3.70051e-008,0.3191
3.70418e-008,0.3123
3.70784e-008,0.3095
3.71151e-008,0.3112
3.71518e-008,0.3161
3.71884e-008,0.3220
3.72251e-008,0.3269
3.72618e-008,0.3289
3.72985e-008,0.3280
3.73351e-008,0.3256
3.73718e-008,0.3258
3.74085e-008,0.3342
