.HEADER
..NAMES
Time,V U5.K1
.DATA
3.22373e-008,0.3524
3.22740e-008,0.3510
3.23107e-008,0.3412
3.23474e-008,0.3269
3.23840e-008,0.3129
3.24207e-008,0.3041
3.24574e-008,0.3058
3.24941e-008,0.3235
3.25307e-008,0.3645
3.25674e-008,0.4345
3.26041e-008,0.5304
3.26407e-008,0.6422
3.26774e-008,0.7523
3.27141e-008,0.8449
3.27508e-008,0.9094
3.27875e-008,0.9407
3.28241e-008,0.9433
3.28608e-008,0.9313
3.28975e-008,0.9199
3.29341e-008,0.9179
3.29708e-008,0.9279
3.30075e-008,0.9467
3.30442e-008,0.9674
3.30808e-008,0.9839
3.31175e-008,0.9936
3.31542e-008,0.9964
3.31909e-008,0.9947
3.32276e-008,0.9912
3.32642e-008,0.9879
3.33009e-008,0.9864
3.33376e-008,0.9884
3.33742e-008,0.9954
3.34109e-008,1.0068
3.34476e-008,1.0210
3.34843e-008,1.0357
3.35210e-008,1.0482
3.35576e-008,1.0564
3.35943e-008,1.0605
3.36310e-008,1.0627
3.36677e-008,1.0663
3.37043e-008,1.0734
3.37410e-008,1.0845
3.37777e-008,1.0977
3.38143e-008,1.1097
3.38510e-008,1.1166
3.38877e-008,1.1162
3.39244e-008,1.1091
3.39611e-008,1.0981
3.39977e-008,1.0876
3.40344e-008,1.0811
3.40711e-008,1.0803
3.41077e-008,1.0850
3.41444e-008,1.0933
3.41811e-008,1.1022
3.42178e-008,1.1091
3.42545e-008,1.1126
3.42911e-008,1.1121
3.43278e-008,1.1088
3.43645e-008,1.1034
3.44012e-008,1.0931
3.44378e-008,1.0712
3.44745e-008,1.0268
3.45112e-008,0.9538
3.45478e-008,0.8571
3.45845e-008,0.7451
3.46212e-008,0.6309
3.46579e-008,0.5336
3.46946e-008,0.4686
3.47312e-008,0.4391
3.47679e-008,0.4391
3.48046e-008,0.4574
3.48412e-008,0.4789
3.48779e-008,0.4917
3.49146e-008,0.4911
3.49513e-008,0.4781
3.49879e-008,0.4577
3.50246e-008,0.4368
3.50613e-008,0.4210
3.50980e-008,0.4125
3.51347e-008,0.4120
3.51713e-008,0.4186
3.52080e-008,0.4282
3.52447e-008,0.4359
3.52813e-008,0.4380
3.53180e-008,0.4324
3.53547e-008,0.4187
3.53914e-008,0.3994
3.54281e-008,0.3796
3.54647e-008,0.3638
3.55014e-008,0.3543
3.55381e-008,0.3509
3.55748e-008,0.3508
3.56114e-008,0.3500
3.56481e-008,0.3451
3.56848e-008,0.3351
3.57214e-008,0.3218
3.57581e-008,0.3094
3.57948e-008,0.3021
3.58315e-008,0.3025
3.58682e-008,0.3100
3.59048e-008,0.3220
3.59415e-008,0.3343
3.59782e-008,0.3429
3.60148e-008,0.3450
3.60515e-008,0.3406
3.60882e-008,0.3313
3.61249e-008,0.3201
3.61615e-008,0.3109
3.61982e-008,0.3083
3.62349e-008,0.3182
3.62716e-008,0.3482
3.63083e-008,0.4072
3.63449e-008,0.4956
3.63816e-008,0.6059
3.64183e-008,0.7216
3.64549e-008,0.8242
3.64916e-008,0.9006
3.65283e-008,0.9425
3.65650e-008,0.9509
3.66017e-008,0.9381
3.66383e-008,0.9212
3.66750e-008,0.9125
3.67117e-008,0.9174
3.67484e-008,0.9347
3.67850e-008,0.9580
3.68217e-008,0.9796
3.68584e-008,0.9946
3.68950e-008,1.0013
3.69317e-008,1.0008
3.69684e-008,0.9960
3.70051e-008,0.9898
3.70418e-008,0.9853
3.70784e-008,0.9849
3.71151e-008,0.9910
3.71518e-008,1.0047
3.71884e-008,1.0222
3.72251e-008,1.0342
3.72618e-008,1.0255
3.72985e-008,0.9791
3.73351e-008,0.8926
3.73718e-008,0.7793
3.74085e-008,0.6556
3.74452e-008,0.5422
3.74819e-008,0.4634
3.75185e-008,0.4304
3.75552e-008,0.4361
3.75919e-008,0.4640
3.76285e-008,0.4946
3.76652e-008,0.5108
3.77019e-008,0.5063
3.77386e-008,0.4849
3.77753e-008,0.4559
3.78119e-008,0.4294
3.78486e-008,0.4135
3.78853e-008,0.4104
3.79220e-008,0.4173
3.79586e-008,0.4305
3.79953e-008,0.4454
3.80320e-008,0.4554
3.80686e-008,0.4560
3.81053e-008,0.4494
3.81420e-008,0.4435
3.81787e-008,0.4534
3.82154e-008,0.4953
3.82520e-008,0.5766
3.82887e-008,0.6876
3.83254e-008,0.8074
3.83620e-008,0.9156
3.83987e-008,0.9895
3.84354e-008,1.0151
3.84721e-008,0.9972
3.85088e-008,0.9556
3.85454e-008,0.9126
3.85821e-008,0.8874
3.86188e-008,0.8893
3.86555e-008,0.9150
3.86921e-008,0.9529
3.87288e-008,0.9904
3.87655e-008,1.0169
3.88021e-008,1.0269
3.88388e-008,1.0213
3.88755e-008,1.0046
3.89122e-008,0.9829
3.89489e-008,0.9638
3.89855e-008,0.9555
3.90222e-008,0.9622
3.90589e-008,0.9827
3.90955e-008,1.0131
3.91322e-008,1.0462
