.HEADER
..NAMES
Time,V U5.G2
.DATA
3.27888e-008,0.3218
3.28273e-008,0.3218
3.28659e-008,0.3228
3.29045e-008,0.3292
3.29430e-008,0.3491
3.29816e-008,0.3972
3.30202e-008,0.4824
3.30588e-008,0.5966
3.30974e-008,0.7170
3.31359e-008,0.8124
3.31745e-008,0.8900
3.32131e-008,0.9576
3.32516e-008,1.0133
3.32902e-008,1.0537
3.33288e-008,1.0812
3.33674e-008,1.1017
3.34060e-008,1.1169
3.34445e-008,1.1282
3.34831e-008,1.1362
3.35217e-008,1.1428
3.35603e-008,1.1505
3.35988e-008,1.1597
3.36374e-008,1.1691
3.36760e-008,1.1754
3.37145e-008,1.1755
3.37531e-008,1.1732
3.37917e-008,1.1728
3.38303e-008,1.1737
3.38689e-008,1.1738
3.39074e-008,1.1733
3.39460e-008,1.1734
3.39846e-008,1.1740
3.40231e-008,1.1746
3.40617e-008,1.1749
3.41003e-008,1.1752
3.41389e-008,1.1758
3.41775e-008,1.1765
3.42160e-008,1.1772
3.42546e-008,1.1773
3.42932e-008,1.1766
3.43318e-008,1.1758
3.43703e-008,1.1758
3.44089e-008,1.1764
3.44475e-008,1.1767
3.44860e-008,1.1765
3.45246e-008,1.1766
3.45632e-008,1.1767
3.46018e-008,1.1768
3.46404e-008,1.1768
3.46789e-008,1.1767
3.47175e-008,1.1768
3.47561e-008,1.1769
3.47946e-008,1.1770
3.48332e-008,1.1770
3.48718e-008,1.1768
3.49104e-008,1.1767
3.49490e-008,1.1768
3.49875e-008,1.1770
3.50261e-008,1.1771
3.50647e-008,1.1770
3.51032e-008,1.1770
3.51418e-008,1.1770
3.51804e-008,1.1771
3.52190e-008,1.1789
3.52575e-008,1.1830
3.52961e-008,1.1807
3.53347e-008,1.1570
3.53733e-008,1.0923
3.54119e-008,0.9870
3.54504e-008,0.8726
3.54890e-008,0.7623
3.55276e-008,0.6555
3.55661e-008,0.5619
3.56047e-008,0.4899
3.56433e-008,0.4408
3.56819e-008,0.4026
3.57205e-008,0.3736
3.57590e-008,0.3770
3.57976e-008,0.4105
3.58362e-008,0.4807
3.58747e-008,0.5829
3.59133e-008,0.6975
3.59519e-008,0.7903
3.59905e-008,0.8661
3.60290e-008,0.9368
3.60676e-008,0.9985
3.61062e-008,1.0439
3.61448e-008,1.0833
3.61834e-008,1.1299
3.62219e-008,1.1483
3.62605e-008,1.1471
3.62991e-008,1.1132
3.63376e-008,1.0365
3.63762e-008,0.9315
3.64148e-008,0.8213
3.64534e-008,0.7116
3.64920e-008,0.6103
3.65305e-008,0.5248
3.65691e-008,0.4620
3.66077e-008,0.4186
3.66462e-008,0.3830
3.66848e-008,0.3734
3.67234e-008,0.3944
3.67620e-008,0.4528
3.68006e-008,0.5432
3.68391e-008,0.6550
3.68777e-008,0.7578
3.69163e-008,0.8397
3.69549e-008,0.9128
3.69934e-008,0.9775
3.70320e-008,1.0285
3.70706e-008,1.0665
3.71091e-008,1.1133
3.71477e-008,1.1436
3.71863e-008,1.1483
3.72249e-008,1.1282
3.72635e-008,1.0653
3.73020e-008,0.9664
3.73406e-008,0.8566
3.73792e-008,0.7459
3.74177e-008,0.6406
3.74563e-008,0.5495
3.74949e-008,0.4798
3.75335e-008,0.4316
3.75721e-008,0.3922
3.76106e-008,0.3726
3.76492e-008,0.3839
3.76878e-008,0.4300
3.77263e-008,0.5117
3.77649e-008,0.6188
3.78035e-008,0.7281
3.78421e-008,0.8150
3.78806e-008,0.8903
3.79192e-008,0.9580
3.79578e-008,1.0139
3.79964e-008,1.0538
3.80350e-008,1.0820
3.80735e-008,1.1043
3.81121e-008,1.1218
3.81507e-008,1.1329
3.81892e-008,1.1400
3.82278e-008,1.1473
3.82664e-008,1.1557
3.83050e-008,1.1641
3.83436e-008,1.1717
3.83821e-008,1.1763
3.84207e-008,1.1757
3.84593e-008,1.1741
3.84978e-008,1.1769
3.85364e-008,1.1833
3.85750e-008,1.1811
3.86136e-008,1.1589
3.86521e-008,1.0984
3.86907e-008,0.9965
3.87293e-008,0.8820
3.87679e-008,0.7714
3.88065e-008,0.6643
3.88450e-008,0.5698
3.88836e-008,0.4960
3.89222e-008,0.4452
3.89607e-008,0.4105
3.89993e-008,0.3847
3.90379e-008,0.3661
3.90765e-008,0.3553
3.91151e-008,0.3501
3.91536e-008,0.3462
3.91922e-008,0.3418
3.92308e-008,0.3351
3.92693e-008,0.3260
3.93079e-008,0.3197
3.93465e-008,0.3182
3.93851e-008,0.3182
3.94237e-008,0.3185
3.94622e-008,0.3199
3.95008e-008,0.3226
3.95394e-008,0.3248
3.95780e-008,0.3252
3.96165e-008,0.3246
3.96551e-008,0.3243
3.96937e-008,0.3245
3.97322e-008,0.3242
3.97708e-008,0.3234
3.98094e-008,0.3227
3.98480e-008,0.3219
3.98866e-008,0.3216
3.99251e-008,0.3221
3.99637e-008,0.3227
4.00023e-008,0.3227
4.00408e-008,0.3226
4.00794e-008,0.3228
4.01180e-008,0.3228
4.01566e-008,0.3225
4.01952e-008,0.3221
4.02337e-008,0.3220
4.02723e-008,0.3222
4.03109e-008,0.3222
4.03494e-008,0.3221
4.03880e-008,0.3220
4.04266e-008,0.3220
4.04652e-008,0.3220
4.05037e-008,0.3221
4.05423e-008,0.3222
4.05809e-008,0.3221
4.06195e-008,0.3220
4.06581e-008,0.3220
4.06966e-008,0.3220
4.07352e-008,0.3220
4.07738e-008,0.3219
4.08123e-008,0.3220
4.08509e-008,0.3241
4.08895e-008,0.3335
4.09281e-008,0.3605
4.09667e-008,0.4200
4.10052e-008,0.5156
4.10438e-008,0.6352
4.10824e-008,0.7499
4.11209e-008,0.8377
4.11595e-008,0.9122
