.HEADER
..NAMES
Time,V U2.L3
.DATA
2.83131e-008,0.3305
2.83498e-008,0.3304
2.83865e-008,0.3303
2.84231e-008,0.3303
2.84598e-008,0.3302
2.84965e-008,0.3302
2.85331e-008,0.3301
2.85698e-008,0.3301
2.86065e-008,0.3301
2.86432e-008,0.3300
2.86798e-008,0.3301
2.87165e-008,0.3300
2.87532e-008,0.3300
2.87899e-008,0.3299
2.88266e-008,0.3297
2.88632e-008,0.3295
2.88999e-008,0.3294
2.89366e-008,0.3294
2.89733e-008,0.3302
2.90099e-008,0.3331
2.90466e-008,0.3405
2.90833e-008,0.3560
2.91199e-008,0.3832
2.91566e-008,0.4252
2.91933e-008,0.4831
2.92300e-008,0.5569
2.92666e-008,0.6440
2.93033e-008,0.7382
2.93400e-008,0.8310
2.93767e-008,0.9135
2.94133e-008,0.9788
2.94500e-008,1.0231
2.94867e-008,1.0466
2.95234e-008,1.0526
2.95601e-008,1.0463
2.95967e-008,1.0347
2.96334e-008,1.0251
2.96701e-008,1.0226
2.97068e-008,1.0288
2.97434e-008,1.0418
2.97801e-008,1.0574
2.98168e-008,1.0716
2.98534e-008,1.0818
2.98901e-008,1.0873
2.99268e-008,1.0882
2.99635e-008,1.0851
3.00002e-008,1.0781
3.00368e-008,1.0663
3.00735e-008,1.0470
3.01102e-008,1.0173
3.01469e-008,0.9724
3.01835e-008,0.9076
3.02202e-008,0.8223
3.02569e-008,0.7220
3.02935e-008,0.6161
3.03302e-008,0.5164
3.03669e-008,0.4337
3.04036e-008,0.3751
3.04403e-008,0.3433
3.04769e-008,0.3372
3.05136e-008,0.3511
3.05503e-008,0.3752
3.05869e-008,0.3981
3.06236e-008,0.4108
3.06603e-008,0.4096
3.06970e-008,0.3964
3.07336e-008,0.3769
3.07703e-008,0.3569
3.08070e-008,0.3406
3.08437e-008,0.3311
3.08804e-008,0.3307
3.09170e-008,0.3408
3.09537e-008,0.3627
3.09904e-008,0.3961
3.10270e-008,0.4405
3.10637e-008,0.4964
3.11004e-008,0.5659
3.11371e-008,0.6504
3.11738e-008,0.7458
3.12104e-008,0.8429
3.12471e-008,0.9309
3.12838e-008,1.0006
3.13205e-008,1.0467
3.13571e-008,1.0687
3.13938e-008,1.0691
3.14305e-008,1.0531
3.14671e-008,1.0293
3.15038e-008,1.0081
3.15405e-008,0.9985
3.15772e-008,1.0040
3.16139e-008,1.0213
3.16505e-008,1.0437
