.HEADER
..NAMES
Time,V U3.L2
.DATA
2.10515e-008,0.9669
2.10881e-008,0.9644
2.11248e-008,0.9775
2.11615e-008,1.0047
2.11982e-008,1.0408
2.12348e-008,1.0777
2.12715e-008,1.1063
2.13082e-008,1.1199
2.13448e-008,1.1166
2.13815e-008,1.0999
2.14182e-008,1.0771
2.14549e-008,1.0571
2.14915e-008,1.0463
2.15282e-008,1.0473
2.15649e-008,1.0585
2.16016e-008,1.0753
2.16383e-008,1.0921
2.16749e-008,1.1041
2.17116e-008,1.1087
2.17483e-008,1.1058
2.17850e-008,1.0972
2.18216e-008,1.0866
2.18583e-008,1.0784
2.18950e-008,1.0756
2.19316e-008,1.0790
2.19683e-008,1.0875
2.20050e-008,1.0978
2.20417e-008,1.1063
2.20783e-008,1.1102
2.21150e-008,1.1089
2.21517e-008,1.1035
2.21884e-008,1.0966
2.22251e-008,1.0908
2.22617e-008,1.0877
2.22984e-008,1.0879
2.23351e-008,1.0906
2.23718e-008,1.0937
2.24084e-008,1.0930
2.24451e-008,1.0827
2.24818e-008,1.0568
2.25184e-008,1.0119
2.25551e-008,0.9475
2.25918e-008,0.8658
2.26285e-008,0.7720
2.26651e-008,0.6749
2.27018e-008,0.5844
2.27385e-008,0.5086
2.27752e-008,0.4540
2.28119e-008,0.4235
2.28485e-008,0.4152
2.28852e-008,0.4225
2.29219e-008,0.4362
2.29586e-008,0.4467
2.29952e-008,0.4467
2.30319e-008,0.4333
2.30686e-008,0.4081
2.31052e-008,0.3759
2.31419e-008,0.3436
2.31786e-008,0.3183
2.32153e-008,0.3047
2.32519e-008,0.3044
2.32886e-008,0.3154
2.33253e-008,0.3322
2.33620e-008,0.3482
2.33987e-008,0.3575
2.34353e-008,0.3574
2.34720e-008,0.3480
2.35087e-008,0.3327
2.35454e-008,0.3168
2.35820e-008,0.3050
2.36187e-008,0.3006
2.36554e-008,0.3039
2.36920e-008,0.3128
2.37287e-008,0.3239
2.37654e-008,0.3331
2.38021e-008,0.3368
2.38387e-008,0.3337
2.38754e-008,0.3250
2.39121e-008,0.3136
2.39488e-008,0.3033
2.39855e-008,0.2976
2.40221e-008,0.2979
2.40588e-008,0.3041
2.40955e-008,0.3139
2.41322e-008,0.3241
2.41688e-008,0.3315
2.42055e-008,0.3345
2.42422e-008,0.3329
2.42788e-008,0.3280
2.43155e-008,0.3222
2.43522e-008,0.3180
2.43889e-008,0.3171
2.44255e-008,0.3200
2.44622e-008,0.3259
2.44989e-008,0.3330
2.45356e-008,0.3388
2.45723e-008,0.3415
2.46089e-008,0.3402
2.46456e-008,0.3355
2.46823e-008,0.3288
2.47190e-008,0.3226
2.47556e-008,0.3186
2.47923e-008,0.3179
2.48290e-008,0.3206
2.48657e-008,0.3256
2.49023e-008,0.3312
2.49390e-008,0.3359
2.49757e-008,0.3384
2.50123e-008,0.3380
2.50490e-008,0.3351
2.50857e-008,0.3309
2.51224e-008,0.3275
2.51590e-008,0.3278
2.51957e-008,0.3362
2.52324e-008,0.3574
2.52691e-008,0.3950
2.53058e-008,0.4499
2.53424e-008,0.5202
2.53791e-008,0.6023
2.54158e-008,0.6910
2.54525e-008,0.7787
2.54891e-008,0.8567
2.55258e-008,0.9178
2.55625e-008,0.9586
2.55991e-008,0.9790
2.56358e-008,0.9830
2.56725e-008,0.9780
2.57092e-008,0.9727
2.57458e-008,0.9737
2.57825e-008,0.9846
2.58192e-008,1.0052
2.58559e-008,1.0322
2.58926e-008,1.0607
2.59292e-008,1.0854
2.59659e-008,1.1015
2.60026e-008,1.1065
2.60393e-008,1.1011
2.60759e-008,1.0890
2.61126e-008,1.0756
2.61493e-008,1.0660
2.61859e-008,1.0639
2.62226e-008,1.0696
2.62593e-008,1.0807
2.62960e-008,1.0937
2.63326e-008,1.1047
2.63693e-008,1.1113
2.64060e-008,1.1124
2.64427e-008,1.1088
2.64794e-008,1.1024
2.65160e-008,1.0958
2.65527e-008,1.0914
2.65894e-008,1.0908
2.66261e-008,1.0944
2.66627e-008,1.1009
2.66994e-008,1.1079
2.67361e-008,1.1128
2.67727e-008,1.1140
2.68094e-008,1.1115
2.68461e-008,1.1065
2.68828e-008,1.1009
2.69194e-008,1.0965
2.69561e-008,1.0944
2.69928e-008,1.0949
2.70295e-008,1.0970
2.70662e-008,1.0985
2.71028e-008,1.0949
2.71395e-008,1.0801
2.71762e-008,1.0488
2.72129e-008,0.9983
2.72495e-008,0.9290
2.72862e-008,0.8429
2.73229e-008,0.7464
2.73595e-008,0.6492
2.73962e-008,0.5610
2.74329e-008,0.4897
2.74696e-008,0.4412
2.75062e-008,0.4173
2.75429e-008,0.4142
2.75796e-008,0.4240
2.76163e-008,0.4371
2.76530e-008,0.4444
2.76896e-008,0.4400
2.77263e-008,0.4227
2.77630e-008,0.3949
2.77997e-008,0.3623
2.78363e-008,0.3319
2.78730e-008,0.3103
2.79097e-008,0.3013
2.79463e-008,0.3052
2.79830e-008,0.3188
2.80197e-008,0.3364
2.80564e-008,0.3515
2.80930e-008,0.3593
2.81297e-008,0.3580
2.81664e-008,0.3487
2.82031e-008,0.3354
2.82398e-008,0.3224
2.82764e-008,0.3138
2.83131e-008,0.3114
2.83498e-008,0.3150
2.83865e-008,0.3224
2.84231e-008,0.3304
2.84598e-008,0.3358
2.84965e-008,0.3364
2.85331e-008,0.3318
2.85698e-008,0.3235
2.86065e-008,0.3142
2.86432e-008,0.3071
2.86798e-008,0.3045
2.87165e-008,0.3071
2.87532e-008,0.3135
2.87899e-008,0.3216
2.88266e-008,0.3287
2.88632e-008,0.3335
2.88999e-008,0.3370
2.89366e-008,0.3428
2.89733e-008,0.3571
2.90099e-008,0.3860
2.90466e-008,0.4333
2.90833e-008,0.4996
2.91199e-008,0.5819
2.91566e-008,0.6745
2.91933e-008,0.7683
2.92300e-008,0.8525
2.92666e-008,0.9177
2.93033e-008,0.9595
2.93400e-008,0.9780
2.93767e-008,0.9781
2.94133e-008,0.9687
2.94500e-008,0.9600
2.94867e-008,0.9598
2.95234e-008,0.9718
2.95601e-008,0.9958
2.95967e-008,1.0273
2.96334e-008,1.0601
2.96701e-008,1.0878
2.97068e-008,1.1052
2.97434e-008,1.1099
2.97801e-008,1.1030
2.98168e-008,1.0893
2.98534e-008,1.0745
2.98901e-008,1.0625
2.99268e-008,1.0527
2.99635e-008,1.0392
3.00002e-008,1.0146
3.00368e-008,0.9734
3.00735e-008,0.9115
3.01102e-008,0.8278
3.01469e-008,0.7282
3.01835e-008,0.6246
3.02202e-008,0.5298
3.02569e-008,0.4554
3.02935e-008,0.4102
3.03302e-008,0.3965
3.03669e-008,0.4085
3.04036e-008,0.4346
3.04403e-008,0.4608
3.04769e-008,0.4746
3.05136e-008,0.4692
3.05503e-008,0.4445
3.05869e-008,0.4059
3.06236e-008,0.3626
3.06603e-008,0.3250
3.06970e-008,0.3014
3.07336e-008,0.2958
3.07703e-008,0.3066
3.08070e-008,0.3277
3.08437e-008,0.3501
3.08804e-008,0.3653
3.09170e-008,0.3683
3.09537e-008,0.3583
3.09904e-008,0.3391
3.10270e-008,0.3172
3.10637e-008,0.2998
3.11004e-008,0.2917
3.11371e-008,0.2944
3.11738e-008,0.3057
3.12104e-008,0.3213
3.12471e-008,0.3357
3.12838e-008,0.3439
3.13205e-008,0.3431
3.13571e-008,0.3337
3.13938e-008,0.3191
3.14305e-008,0.3041
3.14671e-008,0.2935
3.15038e-008,0.2903
3.15405e-008,0.2953
3.15772e-008,0.3063
3.16139e-008,0.3197
3.16505e-008,0.3316
3.16872e-008,0.3398
3.17239e-008,0.3452
3.17605e-008,0.3523
3.17972e-008,0.3687
3.18339e-008,0.4011
3.18706e-008,0.4534
3.19072e-008,0.5257
3.19439e-008,0.6148
3.19806e-008,0.7131
3.20173e-008,0.8098
3.20540e-008,0.8927
3.20906e-008,0.9527
3.21273e-008,0.9862
3.21640e-008,0.9949
3.22006e-008,0.9858
3.22373e-008,0.9703
3.22740e-008,0.9596
3.23107e-008,0.9614
3.23474e-008,0.9783
3.23840e-008,1.0080
3.24207e-008,1.0444
3.24574e-008,1.0801
3.24941e-008,1.1075
3.25307e-008,1.1213
3.25674e-008,1.1197
3.26041e-008,1.1056
3.26407e-008,1.0852
3.26774e-008,1.0659
3.27141e-008,1.0540
3.27508e-008,1.0524
3.27875e-008,1.0604
3.28241e-008,1.0741
3.28608e-008,1.0885
3.28975e-008,1.0989
3.29341e-008,1.1030
3.29708e-008,1.1005
3.30075e-008,1.0935
3.30442e-008,1.0849
3.30808e-008,1.0783
3.31175e-008,1.0764
3.31542e-008,1.0802
3.31909e-008,1.0885
3.32276e-008,1.0986
3.32642e-008,1.1073
3.33009e-008,1.1118
3.33376e-008,1.1107
3.33742e-008,1.1048
3.34109e-008,1.0964
3.34476e-008,1.0886
3.34843e-008,1.0837
3.35210e-008,1.0829
3.35576e-008,1.0858
3.35943e-008,1.0908
3.36310e-008,1.0961
3.36677e-008,1.1000
3.37043e-008,1.1014
3.37410e-008,1.0998
3.37777e-008,1.0959
3.38143e-008,1.0912
3.38510e-008,1.0876
3.38877e-008,1.0865
3.39244e-008,1.0885
3.39611e-008,1.0928
3.39977e-008,1.0980
3.40344e-008,1.1022
3.40711e-008,1.1039
3.41077e-008,1.1029
3.41444e-008,1.0998
3.41811e-008,1.0955
3.42178e-008,1.0913
3.42545e-008,1.0880
