.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
3.29341e-008,0.5740
3.29708e-008,0.4801
3.30075e-008,0.3585
3.30442e-008,0.2144
3.30808e-008,0.0548
3.31175e-008,-0.1104
3.31542e-008,-0.2702
3.31909e-008,-0.4134
3.32276e-008,-0.5294
3.32642e-008,-0.6107
3.33009e-008,-0.6533
3.33376e-008,-0.6564
3.33742e-008,-0.6218
3.34109e-008,-0.5527
3.34476e-008,-0.4526
3.34843e-008,-0.3261
3.35210e-008,-0.1786
3.35576e-008,-0.0175
3.35943e-008,0.1470
3.36310e-008,0.3040
3.36677e-008,0.4421
3.37043e-008,0.5514
3.37410e-008,0.6252
3.37777e-008,0.6600
3.38143e-008,0.6555
3.38510e-008,0.6137
3.38877e-008,0.5379
3.39244e-008,0.4318
3.39611e-008,0.2999
3.39977e-008,0.1482
3.40344e-008,-0.0150
3.40711e-008,-0.1792
3.41077e-008,-0.3334
3.41444e-008,-0.4661
3.41811e-008,-0.5680
3.42178e-008,-0.6332
3.42545e-008,-0.6590
3.42911e-008,-0.6459
3.43278e-008,-0.5964
3.43645e-008,-0.5137
3.44012e-008,-0.4019
3.44378e-008,-0.2658
3.44745e-008,-0.1115
3.45112e-008,0.0523
3.45478e-008,0.2150
3.45845e-008,0.3654
3.46212e-008,0.4923
3.46579e-008,0.5872
3.46946e-008,0.6448
3.47312e-008,0.6628
3.47679e-008,0.6422
3.48046e-008,0.5857
3.48412e-008,0.4965
3.48779e-008,0.3788
3.49146e-008,0.2376
3.49513e-008,0.0798
3.49879e-008,-0.0852
3.50246e-008,-0.2465
3.50613e-008,-0.3929
3.50980e-008,-0.5135
3.51347e-008,-0.6003
3.51713e-008,-0.6490
3.52080e-008,-0.6581
3.52447e-008,-0.6293
3.52813e-008,-0.5653
3.53180e-008,-0.4698
3.53547e-008,-0.3470
3.53914e-008,-0.2023
3.54281e-008,-0.0427
3.54647e-008,0.1220
3.55014e-008,0.2808
3.55381e-008,0.4224
3.55748e-008,0.5366
3.56114e-008,0.6160
3.56481e-008,0.6568
3.56848e-008,0.6583
3.57214e-008,0.6222
3.57581e-008,0.5514
3.57948e-008,0.4497
3.58315e-008,0.3215
3.58682e-008,0.1724
3.59048e-008,0.0102
3.59415e-008,-0.1546
3.59782e-008,-0.3109
3.60148e-008,-0.4475
3.60515e-008,-0.5545
3.60882e-008,-0.6255
3.61249e-008,-0.6573
3.61615e-008,-0.6501
3.61982e-008,-0.6060
3.62349e-008,-0.5283
3.62716e-008,-0.4207
3.63083e-008,-0.2879
3.63449e-008,-0.1357
3.63816e-008,0.0275
3.64183e-008,0.1913
3.64549e-008,0.3445
3.64916e-008,0.4757
3.65283e-008,0.5759
3.65650e-008,0.6391
3.66017e-008,0.6628
3.66383e-008,0.6477
3.66750e-008,0.5962
3.67117e-008,0.5116
3.67484e-008,0.3979
3.67850e-008,0.2600
3.68217e-008,0.1043
3.68584e-008,-0.0604
3.68950e-008,-0.2231
3.69317e-008,-0.3726
3.69684e-008,-0.4978
3.70051e-008,-0.5901
3.70418e-008,-0.6447
3.70784e-008,-0.6596
3.71151e-008,-0.6362
3.71518e-008,-0.5771
3.71884e-008,-0.4860
3.72251e-008,-0.3670
3.72618e-008,-0.2252
3.72985e-008,-0.0673
3.73351e-008,0.0972
3.73718e-008,0.2577
3.74085e-008,0.4028
3.74452e-008,0.5217
3.74819e-008,0.6068
3.75185e-008,0.6536
3.75552e-008,0.6609
3.75919e-008,0.6302
