.HEADER
..NAMES
Time,V U2.T8
.DATA
2.27018e-008,0.3409
2.27385e-008,0.3493
2.27752e-008,0.3525
2.28119e-008,0.3498
2.28485e-008,0.3424
2.28852e-008,0.3327
2.29219e-008,0.3233
2.29586e-008,0.3161
2.29952e-008,0.3119
2.30319e-008,0.3109
2.30686e-008,0.3124
2.31052e-008,0.3153
2.31419e-008,0.3184
2.31786e-008,0.3211
2.32153e-008,0.3226
2.32519e-008,0.3225
2.32886e-008,0.3212
2.33253e-008,0.3195
2.33620e-008,0.3184
2.33987e-008,0.3186
2.34353e-008,0.3208
2.34720e-008,0.3247
2.35087e-008,0.3296
2.35454e-008,0.3343
2.35820e-008,0.3376
2.36187e-008,0.3389
2.36554e-008,0.3380
2.36920e-008,0.3357
2.37287e-008,0.3325
2.37654e-008,0.3294
2.38021e-008,0.3269
2.38387e-008,0.3256
2.38754e-008,0.3255
2.39121e-008,0.3264
2.39488e-008,0.3279
2.39855e-008,0.3296
2.40221e-008,0.3309
2.40588e-008,0.3312
2.40955e-008,0.3306
2.41322e-008,0.3292
2.41688e-008,0.3276
2.42055e-008,0.3265
2.42422e-008,0.3264
2.42788e-008,0.3281
2.43155e-008,0.3328
2.43522e-008,0.3426
2.43889e-008,0.3600
2.44255e-008,0.3865
2.44622e-008,0.4231
2.44989e-008,0.4706
2.45356e-008,0.5303
2.45723e-008,0.6029
2.46089e-008,0.6852
2.46456e-008,0.7706
2.46823e-008,0.8527
2.47190e-008,0.9270
2.47556e-008,0.9894
2.47923e-008,1.0358
2.48290e-008,1.0636
2.48657e-008,1.0741
2.49023e-008,1.0707
2.49390e-008,1.0586
2.49757e-008,1.0431
2.50123e-008,1.0297
2.50490e-008,1.0224
2.50857e-008,1.0238
2.51224e-008,1.0337
2.51590e-008,1.0500
2.51957e-008,1.0690
2.52324e-008,1.0871
2.52691e-008,1.1001
2.53058e-008,1.1035
2.53424e-008,1.0930
2.53791e-008,1.0671
2.54158e-008,1.0276
2.54525e-008,0.9757
2.54891e-008,0.9102
2.55258e-008,0.8307
2.55625e-008,0.7425
2.55991e-008,0.6538
2.56358e-008,0.5700
2.56725e-008,0.4936
2.57092e-008,0.4285
2.57458e-008,0.3795
2.57825e-008,0.3491
2.58192e-008,0.3368
2.58559e-008,0.3398
2.58926e-008,0.3539
2.59292e-008,0.3734
2.59659e-008,0.3925
2.60026e-008,0.4059
2.60393e-008,0.4101
2.60759e-008,0.4039
2.61126e-008,0.3890
2.61493e-008,0.3686
2.61859e-008,0.3464
2.62226e-008,0.3267
2.62593e-008,0.3134
2.62960e-008,0.3077
2.63326e-008,0.3089
2.63693e-008,0.3156
2.64060e-008,0.3261
2.64427e-008,0.3376
2.64794e-008,0.3471
2.65160e-008,0.3519
2.65527e-008,0.3510
2.65894e-008,0.3449
2.66261e-008,0.3357
2.66627e-008,0.3261
2.66994e-008,0.3181
2.67361e-008,0.3131
2.67727e-008,0.3111
2.68094e-008,0.3119
2.68461e-008,0.3144
2.68828e-008,0.3174
2.69194e-008,0.3202
2.69561e-008,0.3221
2.69928e-008,0.3225
2.70295e-008,0.3217
2.70662e-008,0.3206
2.71028e-008,0.3212
2.71395e-008,0.3264
2.71762e-008,0.3397
2.72129e-008,0.3641
2.72495e-008,0.4006
2.72862e-008,0.4485
2.73229e-008,0.5074
2.73595e-008,0.5776
2.73962e-008,0.6572
2.74329e-008,0.7412
2.74696e-008,0.8225
2.75062e-008,0.8965
2.75429e-008,0.9600
2.75796e-008,1.0101
2.76163e-008,1.0439
2.76530e-008,1.0612
2.76896e-008,1.0646
2.77263e-008,1.0586
2.77630e-008,1.0476
2.77997e-008,1.0360
2.78363e-008,1.0279
2.78730e-008,1.0259
2.79097e-008,1.0314
2.79463e-008,1.0436
2.79830e-008,1.0601
2.80197e-008,1.0776
2.80564e-008,1.0931
2.80930e-008,1.1024
2.81297e-008,1.1013
2.81664e-008,1.0861
2.82031e-008,1.0563
2.82398e-008,1.0138
2.82764e-008,0.9589
2.83131e-008,0.8898
2.83498e-008,0.8074
2.83865e-008,0.7185
2.84231e-008,0.6312
