.HEADER
..NAMES
Time,V U3.N8
.DATA
3.46212e-008,1.0916
3.46579e-008,1.0922
3.46946e-008,1.0925
3.47312e-008,1.0924
3.47679e-008,1.0921
3.48046e-008,1.0915
3.48412e-008,1.0909
3.48779e-008,1.0904
3.49146e-008,1.0902
3.49513e-008,1.0903
3.49879e-008,1.0905
3.50246e-008,1.0909
3.50613e-008,1.0912
3.50980e-008,1.0915
3.51347e-008,1.0915
3.51713e-008,1.0915
3.52080e-008,1.0913
3.52447e-008,1.0911
3.52813e-008,1.0909
3.53180e-008,1.0907
3.53547e-008,1.0907
3.53914e-008,1.0909
3.54281e-008,1.0914
3.54647e-008,1.0924
3.55014e-008,1.0930
3.55381e-008,1.0911
3.55748e-008,1.0822
3.56114e-008,1.0611
3.56481e-008,1.0233
3.56848e-008,0.9666
3.57214e-008,0.8908
3.57581e-008,0.7994
3.57948e-008,0.7013
3.58315e-008,0.6083
3.58682e-008,0.5313
3.59048e-008,0.4767
3.59415e-008,0.4469
3.59782e-008,0.4392
3.60148e-008,0.4463
3.60515e-008,0.4582
3.60882e-008,0.4656
3.61249e-008,0.4621
3.61615e-008,0.4462
3.61982e-008,0.4209
3.62349e-008,0.3921
3.62716e-008,0.3658
3.63083e-008,0.3468
3.63449e-008,0.3376
3.63816e-008,0.3380
3.64183e-008,0.3460
3.64549e-008,0.3608
3.64916e-008,0.3839
3.65283e-008,0.4191
3.65650e-008,0.4694
3.66017e-008,0.5359
3.66383e-008,0.6176
3.66750e-008,0.7099
3.67117e-008,0.8030
3.67484e-008,0.8835
3.67850e-008,0.9409
3.68217e-008,0.9719
3.68584e-008,0.9790
3.68950e-008,0.9687
3.69317e-008,0.9510
3.69684e-008,0.9371
3.70051e-008,0.9361
3.70418e-008,0.9512
3.70784e-008,0.9792
3.71151e-008,1.0127
3.71518e-008,1.0433
3.71884e-008,1.0648
3.72251e-008,1.0746
3.72618e-008,1.0733
3.72985e-008,1.0650
3.73351e-008,1.0562
3.73718e-008,1.0523
3.74085e-008,1.0538
3.74452e-008,1.0554
3.74819e-008,1.0480
3.75185e-008,1.0230
3.75552e-008,0.9744
3.75919e-008,0.8998
3.76285e-008,0.8029
3.76652e-008,0.6955
3.77019e-008,0.5946
3.77386e-008,0.5143
3.77753e-008,0.4622
3.78119e-008,0.4395
3.78486e-008,0.4415
3.78853e-008,0.4577
3.79220e-008,0.4753
3.79586e-008,0.4835
3.79953e-008,0.4763
3.80320e-008,0.4546
3.80686e-008,0.4244
3.81053e-008,0.3934
3.81420e-008,0.3684
3.81787e-008,0.3534
3.82154e-008,0.3494
3.82520e-008,0.3534
3.82887e-008,0.3598
3.83254e-008,0.3631
3.83620e-008,0.3604
3.83987e-008,0.3518
3.84354e-008,0.3398
3.84721e-008,0.3279
3.85088e-008,0.3201
3.85454e-008,0.3187
3.85821e-008,0.3235
3.86188e-008,0.3318
3.86555e-008,0.3398
3.86921e-008,0.3442
3.87288e-008,0.3433
3.87655e-008,0.3375
3.88021e-008,0.3287
3.88388e-008,0.3197
3.88755e-008,0.3131
3.89122e-008,0.3107
3.89489e-008,0.3126
3.89855e-008,0.3171
3.90222e-008,0.3222
3.90589e-008,0.3257
3.90955e-008,0.3265
3.91322e-008,0.3247
