.HEADER
..NAMES
Time,V U5.B8
.DATA
4.02337e-008,1.1177
4.02723e-008,1.1329
4.03109e-008,1.1410
4.03494e-008,1.1458
4.03880e-008,1.1528
4.04266e-008,1.1628
4.04652e-008,1.1720
4.05037e-008,1.1748
4.05423e-008,1.1716
4.05809e-008,1.1689
4.06195e-008,1.1702
4.06581e-008,1.1754
4.06966e-008,1.1802
4.07352e-008,1.1766
4.07738e-008,1.1473
4.08123e-008,1.0719
4.08509e-008,0.9518
4.08895e-008,0.8210
4.09281e-008,0.7054
4.09667e-008,0.6076
4.10052e-008,0.5260
4.10438e-008,0.4665
4.10824e-008,0.4284
4.11209e-008,0.3965
4.11595e-008,0.3728
