.HEADER
..NAMES
Time,V U3.K3
.DATA
3.05136e-008,0.4475
3.05503e-008,0.4242
3.05869e-008,0.3990
3.06236e-008,0.3778
3.06603e-008,0.3641
3.06970e-008,0.3584
3.07336e-008,0.3583
3.07703e-008,0.3603
3.08070e-008,0.3607
3.08437e-008,0.3577
3.08804e-008,0.3511
3.09170e-008,0.3426
3.09537e-008,0.3346
3.09904e-008,0.3297
3.10270e-008,0.3288
3.10637e-008,0.3317
3.11004e-008,0.3363
3.11371e-008,0.3403
3.11738e-008,0.3416
3.12104e-008,0.3395
3.12471e-008,0.3345
3.12838e-008,0.3283
3.13205e-008,0.3231
3.13571e-008,0.3204
3.13938e-008,0.3206
3.14305e-008,0.3229
3.14671e-008,0.3258
3.15038e-008,0.3278
3.15405e-008,0.3278
3.15772e-008,0.3260
3.16139e-008,0.3231
3.16505e-008,0.3206
3.16872e-008,0.3197
3.17239e-008,0.3220
3.17605e-008,0.3296
3.17972e-008,0.3465
3.18339e-008,0.3780
3.18706e-008,0.4289
3.19072e-008,0.5005
3.19439e-008,0.5888
3.19806e-008,0.6847
3.20173e-008,0.7762
3.20540e-008,0.8518
3.20906e-008,0.9046
3.21273e-008,0.9332
3.21640e-008,0.9428
3.22006e-008,0.9421
3.22373e-008,0.9410
3.22740e-008,0.9469
3.23107e-008,0.9620
3.23474e-008,0.9845
3.23840e-008,1.0096
3.24207e-008,1.0318
3.24574e-008,1.0473
3.24941e-008,1.0553
3.25307e-008,1.0574
3.25674e-008,1.0569
3.26041e-008,1.0569
3.26407e-008,1.0598
3.26774e-008,1.0658
3.27141e-008,1.0741
3.27508e-008,1.0827
3.27875e-008,1.0892
3.28241e-008,1.0921
3.28608e-008,1.0911
3.28975e-008,1.0875
3.29341e-008,1.0834
3.29708e-008,1.0811
3.30075e-008,1.0820
3.30442e-008,1.0859
3.30808e-008,1.0917
3.31175e-008,1.0973
3.31542e-008,1.1011
3.31909e-008,1.1020
3.32276e-008,1.1005
3.32642e-008,1.0976
3.33009e-008,1.0952
3.33376e-008,1.0945
3.33742e-008,1.0958
3.34109e-008,1.0985
3.34476e-008,1.1013
3.34843e-008,1.1031
3.35210e-008,1.1032
3.35576e-008,1.1017
3.35943e-008,1.0992
3.36310e-008,1.0967
3.36677e-008,1.0947
3.37043e-008,1.0933
3.37410e-008,1.0925
3.37777e-008,1.0918
3.38143e-008,1.0911
3.38510e-008,1.0904
3.38877e-008,1.0897
3.39244e-008,1.0892
3.39611e-008,1.0891
3.39977e-008,1.0895
3.40344e-008,1.0903
3.40711e-008,1.0912
3.41077e-008,1.0919
3.41444e-008,1.0921
3.41811e-008,1.0919
3.42178e-008,1.0913
3.42545e-008,1.0905
3.42911e-008,1.0898
3.43278e-008,1.0894
3.43645e-008,1.0894
3.44012e-008,1.0898
3.44378e-008,1.0905
3.44745e-008,1.0911
3.45112e-008,1.0913
3.45478e-008,1.0912
3.45845e-008,1.0907
3.46212e-008,1.0900
3.46579e-008,1.0896
3.46946e-008,1.0896
3.47312e-008,1.0899
3.47679e-008,1.0905
3.48046e-008,1.0911
3.48412e-008,1.0913
3.48779e-008,1.0912
3.49146e-008,1.0907
3.49513e-008,1.0901
3.49879e-008,1.0897
3.50246e-008,1.0896
3.50613e-008,1.0898
3.50980e-008,1.0902
3.51347e-008,1.0907
3.51713e-008,1.0910
3.52080e-008,1.0910
3.52447e-008,1.0908
3.52813e-008,1.0905
3.53180e-008,1.0902
3.53547e-008,1.0901
3.53914e-008,1.0902
3.54281e-008,1.0904
3.54647e-008,1.0907
3.55014e-008,1.0909
3.55381e-008,1.0910
3.55748e-008,1.0910
3.56114e-008,1.0909
3.56481e-008,1.0907
3.56848e-008,1.0906
3.57214e-008,1.0905
3.57581e-008,1.0905
3.57948e-008,1.0906
3.58315e-008,1.0907
3.58682e-008,1.0908
3.59048e-008,1.0909
3.59415e-008,1.0908
3.59782e-008,1.0907
3.60148e-008,1.0906
3.60515e-008,1.0906
3.60882e-008,1.0906
3.61249e-008,1.0906
3.61615e-008,1.0908
3.61982e-008,1.0909
3.62349e-008,1.0909
3.62716e-008,1.0908
3.63083e-008,1.0908
3.63449e-008,1.0907
3.63816e-008,1.0906
3.64183e-008,1.0906
3.64549e-008,1.0907
3.64916e-008,1.0907
3.65283e-008,1.0908
3.65650e-008,1.0908
3.66017e-008,1.0908
3.66383e-008,1.0907
3.66750e-008,1.0907
3.67117e-008,1.0907
3.67484e-008,1.0907
3.67850e-008,1.0907
3.68217e-008,1.0907
3.68584e-008,1.0908
3.68950e-008,1.0908
3.69317e-008,1.0908
3.69684e-008,1.0907
3.70051e-008,1.0907
3.70418e-008,1.0907
3.70784e-008,1.0907
3.71151e-008,1.0907
3.71518e-008,1.0907
3.71884e-008,1.0907
3.72251e-008,1.0907
3.72618e-008,1.0908
3.72985e-008,1.0910
3.73351e-008,1.0915
3.73718e-008,1.0925
3.74085e-008,1.0931
3.74452e-008,1.0907
3.74819e-008,1.0798
3.75185e-008,1.0537
3.75552e-008,1.0063
3.75919e-008,0.9353
3.76285e-008,0.8440
3.76652e-008,0.7416
3.77019e-008,0.6415
3.77386e-008,0.5565
3.77753e-008,0.4959
3.78119e-008,0.4629
3.78486e-008,0.4534
3.78853e-008,0.4577
3.79220e-008,0.4651
3.79586e-008,0.4664
3.79953e-008,0.4572
3.80320e-008,0.4380
3.80686e-008,0.4136
3.81053e-008,0.3900
3.81420e-008,0.3719
3.81787e-008,0.3617
3.82154e-008,0.3585
3.82520e-008,0.3595
3.82887e-008,0.3617
3.83254e-008,0.3643
3.83620e-008,0.3703
3.83987e-008,0.3864
3.84354e-008,0.4211
3.84721e-008,0.4803
3.85088e-008,0.5635
3.85454e-008,0.6630
3.85821e-008,0.7652
3.86188e-008,0.8544
3.86555e-008,0.9188
3.86921e-008,0.9534
3.87288e-008,0.9619
3.87655e-008,0.9538
3.88021e-008,0.9421
3.88388e-008,0.9381
3.88755e-008,0.9472
3.89122e-008,0.9684
3.89489e-008,0.9963
3.89855e-008,1.0229
3.90222e-008,1.0420
3.90589e-008,1.0510
3.90955e-008,1.0515
3.91322e-008,1.0477
