.HEADER
..NAMES
Time,V U3.A7
.DATA
3.66077e-008,0.3210
3.66462e-008,0.3211
3.66848e-008,0.3240
3.67234e-008,0.3364
3.67620e-008,0.3709
3.68006e-008,0.4419
3.68391e-008,0.5480
3.68777e-008,0.6727
3.69163e-008,0.7820
3.69549e-008,0.8627
3.69934e-008,0.9330
3.70320e-008,0.9939
3.70706e-008,1.0422
3.71091e-008,1.0764
3.71477e-008,1.1205
3.71863e-008,1.1542
3.72249e-008,1.1539
3.72635e-008,1.1388
3.73020e-008,1.0817
3.73406e-008,0.9783
3.73792e-008,0.8555
3.74177e-008,0.7357
3.74563e-008,0.6267
3.74949e-008,0.5384
3.75335e-008,0.4721
3.75721e-008,0.4247
3.76106e-008,0.3881
3.76492e-008,0.3668
3.76878e-008,0.3759
3.77263e-008,0.4155
3.77649e-008,0.4923
3.78035e-008,0.5994
3.78421e-008,0.7183
3.78806e-008,0.8156
3.79192e-008,0.8979
3.79578e-008,0.9686
3.79964e-008,1.0260
3.80350e-008,1.0673
3.80735e-008,1.1062
3.81121e-008,1.1490
3.81507e-008,1.1571
3.81892e-008,1.1490
3.82278e-008,1.1059
3.82664e-008,1.0151
3.83050e-008,0.8976
3.83436e-008,0.7783
3.83821e-008,0.6637
3.84207e-008,0.5664
3.84593e-008,0.4921
3.84978e-008,0.4387
3.85364e-008,0.4006
3.85750e-008,0.3710
3.86136e-008,0.3699
3.86521e-008,0.3992
3.86907e-008,0.4645
3.87293e-008,0.5627
3.87679e-008,0.6825
3.88065e-008,0.7881
3.88450e-008,0.8730
3.88836e-008,0.9472
3.89222e-008,1.0090
3.89607e-008,1.0557
3.89993e-008,1.0867
3.90379e-008,1.1068
3.90765e-008,1.1215
3.91151e-008,1.1345
3.91536e-008,1.1460
3.91922e-008,1.1571
3.92308e-008,1.1671
3.92693e-008,1.1712
3.93079e-008,1.1703
3.93465e-008,1.1702
3.93851e-008,1.1717
3.94237e-008,1.1729
3.94622e-008,1.1728
3.95008e-008,1.1727
3.95394e-008,1.1731
3.95780e-008,1.1741
3.96165e-008,1.1753
3.96551e-008,1.1763
3.96937e-008,1.1772
3.97322e-008,1.1772
3.97708e-008,1.1766
3.98094e-008,1.1766
3.98480e-008,1.1771
3.98866e-008,1.1776
3.99251e-008,1.1777
3.99637e-008,1.1803
4.00023e-008,1.1844
4.00408e-008,1.1788
4.00794e-008,1.1462
4.01180e-008,1.0672
4.01566e-008,0.9521
4.01952e-008,0.8369
4.02337e-008,0.7273
4.02723e-008,0.6234
4.03109e-008,0.5355
4.03494e-008,0.4699
4.03880e-008,0.4252
4.04266e-008,0.3946
4.04652e-008,0.3740
4.05037e-008,0.3601
4.05423e-008,0.3497
4.05809e-008,0.3376
4.06195e-008,0.3254
4.06581e-008,0.3197
4.06966e-008,0.3190
4.07352e-008,0.3186
4.07738e-008,0.3186
4.08123e-008,0.3201
4.08509e-008,0.3224
4.08895e-008,0.3238
4.09281e-008,0.3241
4.09667e-008,0.3239
4.10052e-008,0.3235
4.10438e-008,0.3223
4.10824e-008,0.3208
4.11209e-008,0.3207
4.11595e-008,0.3216
