.HEADER
..NAMES
Time,V U3.G2
.DATA
2.54981e-008,1.1346
2.55367e-008,1.1459
2.55752e-008,1.1535
2.56138e-008,1.1610
2.56524e-008,1.1669
2.56909e-008,1.1685
2.57295e-008,1.1672
2.57681e-008,1.1664
2.58067e-008,1.1681
2.58452e-008,1.1715
2.58838e-008,1.1762
2.59224e-008,1.1807
2.59610e-008,1.1794
2.59995e-008,1.1577
2.60381e-008,1.0961
2.60767e-008,0.9932
2.61153e-008,0.8738
2.61539e-008,0.7591
2.61924e-008,0.6559
2.62310e-008,0.5667
2.62696e-008,0.4945
2.63082e-008,0.4415
2.63467e-008,0.4008
2.63853e-008,0.3725
2.64239e-008,0.3663
2.64625e-008,0.3989
2.65010e-008,0.4736
2.65396e-008,0.5850
2.65782e-008,0.7086
2.66167e-008,0.8156
2.66553e-008,0.8985
2.66939e-008,0.9630
2.67325e-008,1.0144
2.67710e-008,1.0580
2.68096e-008,1.1014
2.68482e-008,1.1414
2.68868e-008,1.1682
2.69254e-008,1.1644
2.69639e-008,1.1236
2.70025e-008,1.0336
2.70411e-008,0.9129
2.70797e-008,0.7904
2.71182e-008,0.6771
2.71568e-008,0.5822
2.71954e-008,0.5083
2.72340e-008,0.4509
2.72725e-008,0.4078
2.73111e-008,0.3769
2.73497e-008,0.3623
2.73882e-008,0.3810
2.74268e-008,0.4398
2.74654e-008,0.5404
2.75040e-008,0.6662
2.75425e-008,0.7834
2.75811e-008,0.8745
2.76197e-008,0.9440
2.76583e-008,0.9993
2.76968e-008,1.0456
2.77354e-008,1.0828
2.77740e-008,1.1084
2.78126e-008,1.1266
2.78512e-008,1.1409
2.78897e-008,1.1508
2.79283e-008,1.1580
2.79669e-008,1.1648
2.80055e-008,1.1692
2.80440e-008,1.1701
2.80826e-008,1.1686
2.81212e-008,1.1672
2.81598e-008,1.1684
2.81983e-008,1.1714
2.82369e-008,1.1733
2.82755e-008,1.1739
2.83140e-008,1.1745
2.83526e-008,1.1750
2.83912e-008,1.1754
2.84298e-008,1.1758
2.84683e-008,1.1763
2.85069e-008,1.1770
2.85455e-008,1.1775
2.85841e-008,1.1773
2.86226e-008,1.1772
2.86612e-008,1.1778
2.86998e-008,1.1802
2.87384e-008,1.1834
2.87770e-008,1.1809
2.88155e-008,1.1576
2.88541e-008,1.0945
2.88927e-008,0.9905
2.89313e-008,0.8700
2.89698e-008,0.7548
2.90084e-008,0.6518
2.90470e-008,0.5635
2.90855e-008,0.4922
2.91241e-008,0.4399
2.91627e-008,0.4047
2.92013e-008,0.3786
2.92398e-008,0.3574
2.92784e-008,0.3434
2.93170e-008,0.3346
2.93556e-008,0.3271
2.93941e-008,0.3212
2.94327e-008,0.3190
2.94713e-008,0.3209
2.95099e-008,0.3244
2.95485e-008,0.3259
2.95870e-008,0.3256
2.96256e-008,0.3259
2.96642e-008,0.3263
2.97028e-008,0.3255
2.97413e-008,0.3243
2.97799e-008,0.3238
2.98185e-008,0.3239
2.98570e-008,0.3238
2.98956e-008,0.3232
2.99342e-008,0.3225
2.99728e-008,0.3226
3.00113e-008,0.3226
3.00499e-008,0.3220
3.00885e-008,0.3221
3.01271e-008,0.3263
3.01657e-008,0.3418
3.02042e-008,0.3808
3.02428e-008,0.4550
3.02814e-008,0.5634
3.03199e-008,0.6862
3.03585e-008,0.7935
3.03971e-008,0.8734
3.04357e-008,0.9367
3.04743e-008,0.9920
3.05128e-008,1.0399
3.05514e-008,1.0836
3.05900e-008,1.1283
3.06285e-008,1.1611
3.06671e-008,1.1650
3.07057e-008,1.1359
3.07443e-008,1.0562
3.07829e-008,0.9416
3.08214e-008,0.8205
3.08600e-008,0.7046
3.08986e-008,0.6045
3.09372e-008,0.5261
3.09757e-008,0.4646
3.10143e-008,0.4202
3.10529e-008,0.3912
3.10914e-008,0.3675
3.11300e-008,0.3488
3.11686e-008,0.3374
3.12072e-008,0.3282
3.12458e-008,0.3215
3.12843e-008,0.3188
3.13229e-008,0.3187
3.13615e-008,0.3212
3.14000e-008,0.3246
3.14386e-008,0.3256
3.14772e-008,0.3255
3.15158e-008,0.3259
3.15544e-008,0.3254
3.15929e-008,0.3243
3.16315e-008,0.3237
3.16701e-008,0.3234
3.17087e-008,0.3233
3.17472e-008,0.3233
3.17858e-008,0.3227
3.18244e-008,0.3222
3.18629e-008,0.3222
3.19015e-008,0.3220
3.19401e-008,0.3214
3.19787e-008,0.3227
3.20173e-008,0.3299
3.20558e-008,0.3522
3.20944e-008,0.4036
3.21330e-008,0.4913
3.21715e-008,0.6085
3.22101e-008,0.7284
3.22487e-008,0.8257
3.22873e-008,0.8977
3.23259e-008,0.9577
3.23644e-008,1.0105
3.24030e-008,1.0547
3.24416e-008,1.0882
3.24801e-008,1.1112
3.25187e-008,1.1287
3.25573e-008,1.1420
3.25959e-008,1.1507
3.26344e-008,1.1579
3.26730e-008,1.1648
3.27116e-008,1.1682
3.27502e-008,1.1678
3.27888e-008,1.1664
3.28273e-008,1.1669
3.28659e-008,1.1699
3.29045e-008,1.1743
3.29430e-008,1.1790
3.29816e-008,1.1812
3.30202e-008,1.1691
3.30588e-008,1.1242
3.30974e-008,1.0350
3.31359e-008,0.9183
3.31745e-008,0.8004
3.32131e-008,0.6928
3.32516e-008,0.5978
3.32902e-008,0.5191
3.33288e-008,0.4587
3.33674e-008,0.4175
3.34060e-008,0.3888
3.34445e-008,0.3650
3.34831e-008,0.3477
3.35217e-008,0.3375
3.35603e-008,0.3295
3.35988e-008,0.3227
3.36374e-008,0.3190
3.36760e-008,0.3194
3.37145e-008,0.3227
3.37531e-008,0.3252
3.37917e-008,0.3252
3.38303e-008,0.3252
3.38689e-008,0.3259
3.39074e-008,0.3256
3.39460e-008,0.3244
3.39846e-008,0.3236
3.40231e-008,0.3235
3.40617e-008,0.3236
3.41003e-008,0.3232
3.41389e-008,0.3224
3.41775e-008,0.3222
3.42160e-008,0.3224
3.42546e-008,0.3220
3.42932e-008,0.3214
3.43318e-008,0.3234
3.43703e-008,0.3330
3.44089e-008,0.3603
3.44475e-008,0.4189
3.44860e-008,0.5138
3.45246e-008,0.6345
3.45632e-008,0.7512
3.46018e-008,0.8424
3.46404e-008,0.9110
3.46789e-008,0.9692
3.47175e-008,1.0206
3.47561e-008,1.0637
3.47946e-008,1.1107
3.48332e-008,1.1493
3.48718e-008,1.1670
3.49104e-008,1.1540
3.49490e-008,1.0952
3.49875e-008,0.9927
3.50261e-008,0.8712
3.50647e-008,0.7523
3.51032e-008,0.6443
3.51418e-008,0.5567
3.51804e-008,0.4886
3.52190e-008,0.4366
3.52575e-008,0.4022
3.52961e-008,0.3771
3.53347e-008,0.3556
3.53733e-008,0.3414
3.54119e-008,0.3319
3.54504e-008,0.3237
3.54890e-008,0.3194
3.55276e-008,0.3184
3.55661e-008,0.3196
3.56047e-008,0.3232
3.56433e-008,0.3254
3.56819e-008,0.3253
3.57205e-008,0.3262
3.57590e-008,0.3308
3.57976e-008,0.3469
3.58362e-008,0.3893
3.58747e-008,0.4681
3.59133e-008,0.5799
3.59519e-008,0.7023
3.59905e-008,0.8059
3.60290e-008,0.8822
3.60676e-008,0.9440
3.61062e-008,0.9982
3.61448e-008,1.0444
3.61834e-008,1.0806
3.62219e-008,1.1059
3.62605e-008,1.1246
3.62991e-008,1.1391
3.63376e-008,1.1488
3.63762e-008,1.1561
3.64148e-008,1.1634
3.64534e-008,1.1679
3.64920e-008,1.1681
3.65305e-008,1.1666
3.65691e-008,1.1666
3.66077e-008,1.1691
3.66462e-008,1.1730
3.66848e-008,1.1779
3.67234e-008,1.1814
3.67620e-008,1.1747
3.68006e-008,1.1406
3.68391e-008,1.0625
3.68777e-008,0.9501
3.69163e-008,0.8309
3.69549e-008,0.7202
3.69934e-008,0.6214
3.70320e-008,0.5383
3.70706e-008,0.4728
3.71091e-008,0.4269
3.71477e-008,0.3958
3.71863e-008,0.3709
3.72249e-008,0.3515
3.72635e-008,0.3398
3.73020e-008,0.3316
3.73406e-008,0.3243
3.73792e-008,0.3196
3.74177e-008,0.3189
3.74563e-008,0.3218
3.74949e-008,0.3248
3.75335e-008,0.3253
3.75721e-008,0.3251
3.76106e-008,0.3272
3.76492e-008,0.3353
3.76878e-008,0.3592
3.77263e-008,0.4140
3.77649e-008,0.5061
3.78035e-008,0.6258
3.78421e-008,0.7436
3.78806e-008,0.8365
3.79192e-008,0.9061
3.79578e-008,0.9650
3.79964e-008,1.0166
3.80350e-008,1.0591
3.80735e-008,1.0910
3.81121e-008,1.1135
3.81507e-008,1.1307
3.81892e-008,1.1433
3.82278e-008,1.1515
3.82664e-008,1.1590
3.83050e-008,1.1658
3.83436e-008,1.1685
3.83821e-008,1.1676
3.84207e-008,1.1664
3.84593e-008,1.1674
3.84978e-008,1.1706
3.85364e-008,1.1749
3.85750e-008,1.1796
3.86136e-008,1.1811
3.86521e-008,1.1667
3.86907e-008,1.1172
3.87293e-008,1.0239
