.HEADER
..NAMES
Time,V U1.AD25
.DATA
3.46404e-008,1.0862
3.46789e-008,0.9503
3.47175e-008,0.7994
3.47561e-008,0.6541
3.47946e-008,0.5259
3.48332e-008,0.4259
3.48718e-008,0.3596
3.49104e-008,0.3234
3.49490e-008,0.2956
3.49875e-008,0.2806
3.50261e-008,0.2947
3.50647e-008,0.3428
3.51032e-008,0.4347
3.51418e-008,0.5697
3.51804e-008,0.7264
3.52190e-008,0.8633
3.52575e-008,0.9815
3.52961e-008,1.0788
3.53347e-008,1.1482
3.53733e-008,1.1905
3.54119e-008,1.2200
3.54504e-008,1.2613
3.54890e-008,1.2689
3.55276e-008,1.2529
3.55661e-008,1.1994
3.56047e-008,1.0857
3.56433e-008,0.9264
3.56819e-008,0.7534
3.57205e-008,0.5861
3.57590e-008,0.4458
3.57976e-008,0.3497
3.58362e-008,0.3005
3.58747e-008,0.2814
3.59133e-008,0.2734
3.59519e-008,0.2688
3.59905e-008,0.2666
3.60290e-008,0.2627
3.60676e-008,0.2599
3.61062e-008,0.2632
3.61448e-008,0.2734
3.61834e-008,0.2910
3.62219e-008,0.3133
3.62605e-008,0.3341
3.62991e-008,0.3495
3.63376e-008,0.3573
3.63762e-008,0.3609
3.64148e-008,0.3718
3.64534e-008,0.4072
3.64920e-008,0.4874
3.65305e-008,0.6114
3.65691e-008,0.7635
3.66077e-008,0.8925
3.66462e-008,0.9858
3.66848e-008,1.0535
3.67234e-008,1.1035
3.67620e-008,1.1392
3.68006e-008,1.1639
3.68391e-008,1.2113
3.68777e-008,1.2378
3.69163e-008,1.2400
3.69549e-008,1.2115
3.69934e-008,1.1272
3.70320e-008,0.9849
3.70706e-008,0.8180
3.71091e-008,0.6475
3.71477e-008,0.4951
3.71863e-008,0.3803
3.72249e-008,0.3143
3.72635e-008,0.2869
3.73020e-008,0.2666
3.73406e-008,0.2636
3.73792e-008,0.2869
3.74177e-008,0.3443
3.74563e-008,0.4416
3.74949e-008,0.5844
3.75335e-008,0.7424
3.75721e-008,0.8787
3.76106e-008,0.9940
3.76492e-008,1.0864
3.76878e-008,1.1531
3.77263e-008,1.1946
3.77649e-008,1.2341
3.78035e-008,1.2669
3.78421e-008,1.2703
3.78806e-008,1.2484
3.79192e-008,1.1823
3.79578e-008,1.0558
3.79964e-008,0.8921
3.80350e-008,0.7183
3.80735e-008,0.5554
3.81121e-008,0.4233
3.81507e-008,0.3368
3.81892e-008,0.2948
3.82278e-008,0.2786
3.82664e-008,0.2721
3.83050e-008,0.2686
3.83436e-008,0.2663
3.83821e-008,0.2617
3.84207e-008,0.2600
3.84593e-008,0.2647
3.84978e-008,0.2762
3.85364e-008,0.2953
3.85750e-008,0.3179
3.86136e-008,0.3380
3.86521e-008,0.3520
3.86907e-008,0.3581
3.87293e-008,0.3570
3.87679e-008,0.3504
3.88065e-008,0.3403
3.88450e-008,0.3302
3.88836e-008,0.3229
3.89222e-008,0.3188
3.89607e-008,0.3163
3.89993e-008,0.3150
3.90379e-008,0.3154
3.90765e-008,0.3166
3.91151e-008,0.3178
3.91536e-008,0.3183
3.91922e-008,0.3176
3.92308e-008,0.3163
3.92693e-008,0.3148
3.93079e-008,0.3135
3.93465e-008,0.3128
3.93851e-008,0.3125
3.94237e-008,0.3128
3.94622e-008,0.3135
3.95008e-008,0.3142
3.95394e-008,0.3146
3.95780e-008,0.3147
3.96165e-008,0.3149
3.96551e-008,0.3150
3.96937e-008,0.3148
3.97322e-008,0.3146
3.97708e-008,0.3143
3.98094e-008,0.3142
3.98480e-008,0.3142
3.98866e-008,0.3142
3.99251e-008,0.3144
3.99637e-008,0.3145
4.00023e-008,0.3146
4.00408e-008,0.3146
4.00794e-008,0.3146
4.01180e-008,0.3168
4.01566e-008,0.3271
4.01952e-008,0.3593
4.02337e-008,0.4331
4.02723e-008,0.5538
4.03109e-008,0.7088
4.03494e-008,0.8545
4.03880e-008,0.9611
4.04266e-008,1.0365
4.04652e-008,1.0901
4.05037e-008,1.1279
4.05423e-008,1.1538
4.05809e-008,1.1968
4.06195e-008,1.2317
4.06581e-008,1.2410
4.06966e-008,1.2242
4.07352e-008,1.1580
4.07738e-008,1.0307
4.08123e-008,0.8684
4.08509e-008,0.6971
4.08895e-008,0.5360
4.09281e-008,0.4072
4.09667e-008,0.3270
4.10052e-008,0.2910
4.10438e-008,0.2728
4.10824e-008,0.2615
4.11209e-008,0.2778
4.11595e-008,0.3255
