.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
3.10914e-008,0.8237
3.11300e-008,0.6584
3.11686e-008,0.4088
3.12072e-008,0.1166
3.12458e-008,-0.1882
3.12843e-008,-0.4421
3.13229e-008,-0.6153
3.13615e-008,-0.7260
3.14000e-008,-0.7809
3.14386e-008,-0.8181
3.14772e-008,-0.8203
3.15158e-008,-0.7903
3.15544e-008,-0.7262
3.15929e-008,-0.5835
3.16315e-008,-0.3934
3.16701e-008,-0.1677
3.17087e-008,0.0759
3.17472e-008,0.2923
3.17858e-008,0.4734
3.18244e-008,0.6235
3.18629e-008,0.7257
3.19015e-008,0.8153
3.19401e-008,0.8785
3.19787e-008,0.8819
3.20173e-008,0.8525
3.20558e-008,0.7216
3.20944e-008,0.4943
3.21330e-008,0.2121
3.21715e-008,-0.0934
3.22101e-008,-0.3720
3.22487e-008,-0.5673
3.22873e-008,-0.6980
3.23259e-008,-0.7677
3.23644e-008,-0.8040
3.24030e-008,-0.8240
3.24416e-008,-0.7944
3.24801e-008,-0.7542
3.25187e-008,-0.6353
3.25573e-008,-0.4578
3.25959e-008,-0.2413
3.26344e-008,-0.0013
3.26730e-008,0.2304
3.27116e-008,0.4172
3.27502e-008,0.5812
3.27888e-008,0.6976
3.28273e-008,0.7775
3.28659e-008,0.8664
3.29045e-008,0.8852
3.29430e-008,0.8708
3.29816e-008,0.7756
3.30202e-008,0.5747
3.30588e-008,0.3048
3.30974e-008,0.0035
3.31359e-008,-0.2921
3.31745e-008,-0.5132
3.32131e-008,-0.6635
3.32516e-008,-0.7513
3.32902e-008,-0.7931
3.33288e-008,-0.8237
3.33674e-008,-0.8089
3.34060e-008,-0.7748
3.34445e-008,-0.6815
3.34831e-008,-0.5183
3.35217e-008,-0.3130
3.35603e-008,-0.0790
3.35988e-008,0.1621
3.36374e-008,0.3605
3.36760e-008,0.5334
3.37145e-008,0.6658
3.37531e-008,0.7552
3.37917e-008,0.8480
3.38303e-008,0.8853
3.38689e-008,0.8811
3.39074e-008,0.8181
3.39460e-008,0.6476
3.39846e-008,0.3946
3.40231e-008,0.1007
3.40617e-008,-0.2033
3.41003e-008,-0.4526
3.41389e-008,-0.6225
3.41775e-008,-0.7299
3.42160e-008,-0.7831
3.42546e-008,-0.8185
3.42932e-008,-0.8187
3.43318e-008,-0.7869
3.43703e-008,-0.7204
3.44089e-008,-0.5747
3.44475e-008,-0.3822
3.44860e-008,-0.1554
3.45246e-008,0.0884
3.45632e-008,0.3022
3.46018e-008,0.4815
3.46404e-008,0.6298
3.46789e-008,0.7299
3.47175e-008,0.8182
3.47561e-008,0.8794
3.47946e-008,0.8806
3.48332e-008,0.8482
3.48718e-008,0.7122
3.49104e-008,0.4806
3.49490e-008,0.1970
3.49875e-008,-0.1087
3.50261e-008,-0.3843
3.50647e-008,-0.5753
3.51032e-008,-0.7028
3.51418e-008,-0.7700
3.51804e-008,-0.8077
3.52190e-008,-0.8242
3.52575e-008,-0.7918
3.52961e-008,-0.7509
3.53347e-008,-0.6271
3.53733e-008,-0.4480
3.54119e-008,-0.2297
3.54504e-008,0.0111
3.54890e-008,0.2405
3.55276e-008,0.4266
3.55661e-008,0.5886
3.56047e-008,0.7024
3.56433e-008,0.7812
3.56819e-008,0.8680
3.57205e-008,0.8844
3.57590e-008,0.8679
3.57976e-008,0.7675
3.58362e-008,0.5618
3.58747e-008,0.2901
3.59133e-008,-0.0121
3.59519e-008,-0.3058
3.59905e-008,-0.5225
3.60290e-008,-0.6693
3.60676e-008,-0.7542
3.61062e-008,-0.7942
3.61448e-008,-0.8248
3.61834e-008,-0.8072
3.62219e-008,-0.7735
3.62605e-008,-0.6744
3.62991e-008,-0.5090
3.63376e-008,-0.3018
3.63762e-008,-0.0667
3.64148e-008,0.1733
3.64534e-008,0.3698
3.64920e-008,0.5419
3.65305e-008,0.6712
3.65691e-008,0.7590
3.66077e-008,0.8503
3.66462e-008,0.8852
3.66848e-008,0.8790
3.67234e-008,0.8118
3.67620e-008,0.6359
3.68006e-008,0.3802
3.68391e-008,0.0852
3.68777e-008,-0.2182
3.69163e-008,-0.4631
3.69549e-008,-0.6294
3.69934e-008,-0.7337
3.70320e-008,-0.7846
3.70706e-008,-0.8206
3.71091e-008,-0.8178
3.71477e-008,-0.7879
3.71863e-008,-0.7148
3.72249e-008,-0.5658
3.72635e-008,-0.3715
3.73020e-008,-0.1433
3.73406e-008,0.1004
3.73792e-008,0.3116
3.74177e-008,0.4907
3.74563e-008,0.6360
3.74949e-008,0.7341
3.75335e-008,0.8252
3.75721e-008,0.8809
3.76106e-008,0.8825
3.76492e-008,0.8443
3.76878e-008,0.7020
3.77263e-008,0.4671
3.77649e-008,0.1813
3.78035e-008,-0.1244
3.78421e-008,-0.3958
3.78806e-008,-0.5836
3.79192e-008,-0.7078
3.79578e-008,-0.7723
3.79964e-008,-0.8087
3.80350e-008,-0.8233
3.80735e-008,-0.7888
3.81121e-008,-0.7459
3.81507e-008,-0.6191
3.81892e-008,-0.4374
3.82278e-008,-0.2178
3.82664e-008,0.0238
3.83050e-008,0.2513
3.83436e-008,0.4352
3.83821e-008,0.5954
3.84207e-008,0.7070
3.84593e-008,0.7908
3.84978e-008,0.8711
3.85364e-008,0.8841
3.85750e-008,0.8659
3.86136e-008,0.7595
3.86521e-008,0.5493
3.86907e-008,0.2751
3.87293e-008,-0.0279
3.87679e-008,-0.3190
3.88065e-008,-0.5316
3.88450e-008,-0.6753
3.88836e-008,-0.7573
3.89222e-008,-0.7959
3.89607e-008,-0.8243
3.89993e-008,-0.8048
3.90379e-008,-0.7691
3.90765e-008,-0.6674
3.91151e-008,-0.4992
3.91536e-008,-0.2901
3.91922e-008,-0.0540
3.92308e-008,0.1849
3.92693e-008,0.3789
3.93079e-008,0.5493
3.93465e-008,0.6765
3.93851e-008,0.7625
3.94237e-008,0.8548
3.94622e-008,0.8858
3.95008e-008,0.8786
3.95394e-008,0.8056
