.HEADER
..NAMES
Time,V U1.AE10
.DATA
3.83050e-008,0.2877
3.83436e-008,0.2849
3.83821e-008,0.2896
3.84207e-008,0.3049
3.84593e-008,0.3269
3.84978e-008,0.3458
3.85364e-008,0.3568
3.85750e-008,0.3604
3.86136e-008,0.3577
3.86521e-008,0.3500
3.86907e-008,0.3400
3.87293e-008,0.3352
3.87679e-008,0.3477
3.88065e-008,0.3942
3.88450e-008,0.4897
3.88836e-008,0.6285
3.89222e-008,0.7859
3.89607e-008,0.9089
3.89993e-008,0.9945
3.90379e-008,1.0547
3.90765e-008,1.0997
3.91151e-008,1.1334
3.91536e-008,1.1584
3.91922e-008,1.2113
3.92308e-008,1.2302
3.92693e-008,1.2214
3.93079e-008,1.1697
3.93465e-008,1.0486
3.93851e-008,0.8748
3.94237e-008,0.7033
3.94622e-008,0.5570
3.95008e-008,0.4479
3.95394e-008,0.3737
3.95780e-008,0.3283
3.96165e-008,0.3053
3.96551e-008,0.2782
3.96937e-008,0.2734
3.97322e-008,0.3016
3.97708e-008,0.3768
3.98094e-008,0.5080
3.98480e-008,0.6904
3.98866e-008,0.8684
3.99251e-008,1.0025
3.99637e-008,1.0910
4.00023e-008,1.1439
4.00408e-008,1.1722
4.00794e-008,1.1858
4.01180e-008,1.1931
4.01566e-008,1.1974
4.01952e-008,1.1975
4.02337e-008,1.1920
4.02723e-008,1.1808
4.03109e-008,1.1652
4.03494e-008,1.1487
4.03880e-008,1.1391
4.04266e-008,1.1393
4.04652e-008,1.1459
4.05037e-008,1.1543
4.05423e-008,1.1625
4.05809e-008,1.1736
4.06195e-008,1.1850
4.06581e-008,1.1870
4.06966e-008,1.1632
4.07352e-008,1.0860
4.07738e-008,0.9521
4.08123e-008,0.8024
4.08509e-008,0.6609
4.08895e-008,0.5377
4.09281e-008,0.4409
4.09667e-008,0.3729
4.10052e-008,0.3319
4.10438e-008,0.3031
4.10824e-008,0.2831
4.11209e-008,0.2953
4.11595e-008,0.3453
