.HEADER
..NAMES
Time,V U1.AA15
.DATA
2.79830e-008,1.1910
2.80197e-008,1.1953
2.80564e-008,1.1970
2.80930e-008,1.1955
2.81297e-008,1.1919
2.81664e-008,1.1887
2.82031e-008,1.1865
2.82398e-008,1.1812
2.82764e-008,1.1691
2.83131e-008,1.1460
2.83498e-008,1.1072
2.83865e-008,1.0448
2.84231e-008,0.9422
2.84598e-008,0.8093
2.84965e-008,0.6724
2.85331e-008,0.5441
2.85698e-008,0.4350
2.86065e-008,0.3535
2.86432e-008,0.3016
2.86798e-008,0.2729
2.87165e-008,0.2605
2.87532e-008,0.2553
2.87899e-008,0.2514
2.88266e-008,0.2451
2.88632e-008,0.2363
2.88999e-008,0.2270
2.89366e-008,0.2190
2.89733e-008,0.2144
2.90099e-008,0.2142
2.90466e-008,0.2173
2.90833e-008,0.2213
2.91199e-008,0.2233
2.91566e-008,0.2239
2.91933e-008,0.2281
2.92300e-008,0.2503
2.92666e-008,0.3044
2.93033e-008,0.4062
2.93400e-008,0.5520
2.93767e-008,0.7163
2.94133e-008,0.8572
2.94500e-008,0.9486
2.94867e-008,1.0089
2.95234e-008,1.0554
2.95601e-008,1.0952
2.95967e-008,1.1280
2.96334e-008,1.1505
2.96701e-008,1.1633
2.97068e-008,1.1700
2.97434e-008,1.1746
2.97801e-008,1.1792
2.98168e-008,1.1847
2.98534e-008,1.1907
2.98901e-008,1.1956
2.99268e-008,1.1978
2.99635e-008,1.1964
3.00002e-008,1.1924
3.00368e-008,1.1885
3.00735e-008,1.1858
3.01102e-008,1.1811
3.01469e-008,1.1675
3.01835e-008,1.1416
3.02202e-008,1.1092
3.02569e-008,1.0823
3.02935e-008,1.0698
3.03302e-008,1.0687
3.03669e-008,1.0688
3.04036e-008,1.0620
3.04403e-008,1.0477
3.04769e-008,1.0319
3.05136e-008,1.0212
3.05503e-008,1.0186
3.05869e-008,1.0230
3.06236e-008,1.0300
3.06603e-008,1.0350
3.06970e-008,1.0353
3.07336e-008,1.0310
3.07703e-008,1.0245
3.08070e-008,1.0186
3.08437e-008,1.0154
3.08804e-008,1.0158
3.09170e-008,1.0187
3.09537e-008,1.0208
3.09904e-008,1.0196
3.10270e-008,1.0159
3.10637e-008,1.0136
3.11004e-008,1.0167
3.11371e-008,1.0256
3.11738e-008,1.0374
3.12104e-008,1.0487
3.12471e-008,1.0583
3.12838e-008,1.0670
3.13205e-008,1.0756
3.13571e-008,1.0835
3.13938e-008,1.0889
3.14305e-008,1.0906
3.14671e-008,1.0891
3.15038e-008,1.0860
3.15405e-008,1.0838
3.15772e-008,1.0838
3.16139e-008,1.0862
3.16505e-008,1.0898
3.16872e-008,1.0930
3.17239e-008,1.0946
3.17605e-008,1.0942
3.17972e-008,1.0922
3.18339e-008,1.0897
3.18706e-008,1.0887
3.19072e-008,1.0903
3.19439e-008,1.0940
3.19806e-008,1.0977
3.20173e-008,1.0996
3.20540e-008,1.0990
3.20906e-008,1.0972
3.21273e-008,1.0956
3.21640e-008,1.0950
3.22006e-008,1.0952
3.22373e-008,1.0957
3.22740e-008,1.0962
3.23107e-008,1.0967
3.23474e-008,1.0972
3.23840e-008,1.0978
3.24207e-008,1.0983
3.24574e-008,1.0983
3.24941e-008,1.0978
3.25307e-008,1.0971
3.25674e-008,1.0966
3.26041e-008,1.0965
3.26407e-008,1.0968
3.26774e-008,1.0976
3.27141e-008,1.0984
3.27508e-008,1.0990
3.27875e-008,1.0990
3.28241e-008,1.0982
3.28608e-008,1.0968
3.28975e-008,1.0966
3.29341e-008,1.0977
3.29708e-008,1.1025
3.30075e-008,1.1060
3.30442e-008,1.0967
3.30808e-008,1.0570
3.31175e-008,0.9661
3.31542e-008,0.8379
3.31909e-008,0.7037
3.32276e-008,0.5846
3.32642e-008,0.4926
3.33009e-008,0.4283
3.33376e-008,0.3864
3.33742e-008,0.3586
3.34109e-008,0.3392
3.34476e-008,0.3255
3.34843e-008,0.3157
3.35210e-008,0.3087
3.35576e-008,0.3039
3.35943e-008,0.3005
3.36310e-008,0.2979
3.36677e-008,0.2959
3.37043e-008,0.2948
3.37410e-008,0.2951
3.37777e-008,0.2971
3.38143e-008,0.3005
3.38510e-008,0.3048
3.38877e-008,0.3117
3.39244e-008,0.3244
3.39611e-008,0.3450
3.39977e-008,0.3700
3.40344e-008,0.3913
3.40711e-008,0.4024
3.41077e-008,0.4019
3.41444e-008,0.3947
3.41811e-008,0.3879
3.42178e-008,0.3867
3.42545e-008,0.3912
3.42911e-008,0.3984
3.43278e-008,0.4041
3.43645e-008,0.4058
3.44012e-008,0.4033
3.44378e-008,0.3991
3.44745e-008,0.3957
3.45112e-008,0.3949
3.45478e-008,0.3970
3.45845e-008,0.4009
3.46212e-008,0.4049
3.46579e-008,0.4072
3.46946e-008,0.4073
3.47312e-008,0.4063
3.47679e-008,0.4058
3.48046e-008,0.4074
3.48412e-008,0.4149
3.48779e-008,0.4359
3.49146e-008,0.4865
3.49513e-008,0.5788
3.49879e-008,0.6949
3.50246e-008,0.8145
3.50613e-008,0.8985
3.50980e-008,0.9516
3.51347e-008,0.9876
3.51713e-008,1.0170
3.52080e-008,1.0439
3.52447e-008,1.0676
3.52813e-008,1.0873
3.53180e-008,1.1023
3.53547e-008,1.1123
3.53914e-008,1.1179
3.54281e-008,1.1203
3.54647e-008,1.1207
3.55014e-008,1.1204
3.55381e-008,1.1203
3.55748e-008,1.1201
3.56114e-008,1.1190
3.56481e-008,1.1163
3.56848e-008,1.1116
3.57214e-008,1.1024
3.57581e-008,1.0882
3.57948e-008,1.0712
3.58315e-008,1.0478
3.58682e-008,1.0099
3.59048e-008,0.9384
3.59415e-008,0.8233
3.59782e-008,0.6912
3.60148e-008,0.5668
3.60515e-008,0.4594
3.60882e-008,0.3747
3.61249e-008,0.3153
3.61615e-008,0.2782
3.61982e-008,0.2577
3.62349e-008,0.2471
3.62716e-008,0.2410
3.63083e-008,0.2358
3.63449e-008,0.2297
3.63816e-008,0.2230
3.64183e-008,0.2168
3.64549e-008,0.2118
3.64916e-008,0.2090
3.65283e-008,0.2089
3.65650e-008,0.2114
3.66017e-008,0.2154
3.66383e-008,0.2201
3.66750e-008,0.2266
3.67117e-008,0.2414
3.67484e-008,0.2781
3.67850e-008,0.3503
3.68217e-008,0.4705
3.68584e-008,0.6230
3.68950e-008,0.7797
3.69317e-008,0.8963
3.69684e-008,0.9720
3.70051e-008,1.0261
3.70418e-008,1.0711
3.70784e-008,1.1098
3.71151e-008,1.1390
3.71518e-008,1.1577
3.71884e-008,1.1678
3.72251e-008,1.1732
3.72618e-008,1.1775
3.72985e-008,1.1826
3.73351e-008,1.1883
3.73718e-008,1.1941
3.74085e-008,1.1986
3.74452e-008,1.2001
3.74819e-008,1.1979
3.75185e-008,1.1938
3.75552e-008,1.1901
3.75919e-008,1.1865
3.76285e-008,1.1785
3.76652e-008,1.1634
3.77019e-008,1.1365
3.77386e-008,1.0936
3.77753e-008,1.0235
3.78119e-008,0.9114
3.78486e-008,0.7749
3.78853e-008,0.6376
3.79220e-008,0.5123
3.79586e-008,0.4100
3.79953e-008,0.3374
3.80320e-008,0.2930
3.80686e-008,0.2706
3.81053e-008,0.2606
3.81420e-008,0.2557
3.81787e-008,0.2504
3.82154e-008,0.2427
3.82520e-008,0.2333
3.82887e-008,0.2243
3.83254e-008,0.2175
3.83620e-008,0.2144
3.83987e-008,0.2153
3.84354e-008,0.2189
3.84721e-008,0.2222
3.85088e-008,0.2234
3.85454e-008,0.2243
3.85821e-008,0.2318
3.86188e-008,0.2520
3.86555e-008,0.2853
3.86921e-008,0.3229
3.87288e-008,0.3531
3.87655e-008,0.3702
3.88021e-008,0.3757
3.88388e-008,0.3761
3.88755e-008,0.3771
3.89122e-008,0.3812
3.89489e-008,0.3869
3.89855e-008,0.3918
3.90222e-008,0.3940
3.90589e-008,0.3933
3.90955e-008,0.3913
3.91322e-008,0.3900
