.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
3.29816e-008,1.0803
3.30202e-008,0.9269
3.30588e-008,0.7524
3.30974e-008,0.6105
3.31359e-008,0.5069
3.31745e-008,0.4418
3.32131e-008,0.3978
3.32516e-008,0.3687
3.32902e-008,0.3484
3.33288e-008,0.3221
3.33674e-008,0.3352
3.34060e-008,0.3860
3.34445e-008,0.4921
3.34831e-008,0.6604
3.35217e-008,0.8472
3.35603e-008,0.9807
3.35988e-008,1.0550
3.36374e-008,1.0893
3.36760e-008,1.1070
3.37145e-008,1.1250
3.37531e-008,1.1405
3.37917e-008,1.1827
3.38303e-008,1.1905
3.38689e-008,1.1709
3.39074e-008,1.1140
3.39460e-008,0.9810
3.39846e-008,0.8052
3.40231e-008,0.6516
3.40617e-008,0.5350
3.41003e-008,0.4594
3.41389e-008,0.4100
3.41775e-008,0.3765
3.42160e-008,0.3542
3.42546e-008,0.3264
3.42932e-008,0.3270
3.43318e-008,0.3653
3.43703e-008,0.4512
3.44089e-008,0.6026
3.44475e-008,0.7905
3.44860e-008,0.9459
3.45246e-008,1.0367
3.45632e-008,1.0813
3.46018e-008,1.1017
3.46404e-008,1.1191
3.46789e-008,1.1362
3.47175e-008,1.1668
3.47561e-008,1.1906
3.47946e-008,1.1795
3.48332e-008,1.1390
3.48718e-008,1.0311
3.49104e-008,0.8609
3.49490e-008,0.6958
3.49875e-008,0.5674
3.50261e-008,0.4796
3.50647e-008,0.4239
3.51032e-008,0.3856
3.51418e-008,0.3608
3.51804e-008,0.3364
3.52190e-008,0.3221
3.52575e-008,0.3490
3.52961e-008,0.4173
3.53347e-008,0.5482
3.53733e-008,0.7299
3.54119e-008,0.9046
3.54504e-008,1.0138
3.54890e-008,1.0711
3.55276e-008,1.0965
3.55661e-008,1.1134
3.56047e-008,1.1316
3.56433e-008,1.1442
3.56819e-008,1.1884
3.57205e-008,1.1859
3.57590e-008,1.1564
3.57976e-008,1.0743
3.58362e-008,0.9176
3.58747e-008,0.7440
3.59133e-008,0.6041
3.59519e-008,0.5029
3.59905e-008,0.4392
3.60290e-008,0.3960
3.60676e-008,0.3674
3.61062e-008,0.3478
3.61448e-008,0.3212
3.61834e-008,0.3366
3.62219e-008,0.3898
3.62605e-008,0.4994
3.62991e-008,0.6698
3.63376e-008,0.8557
3.63762e-008,0.9857
3.64148e-008,1.0576
3.64534e-008,1.0904
3.64920e-008,1.1078
3.65305e-008,1.1259
3.65691e-008,1.1412
3.66077e-008,1.1826
3.66462e-008,1.1897
3.66848e-008,1.1691
3.67234e-008,1.1093
3.67620e-008,0.9725
3.68006e-008,0.7962
3.68391e-008,0.6446
3.68777e-008,0.5301
3.69163e-008,0.4565
3.69549e-008,0.4080
3.69934e-008,0.3751
3.70320e-008,0.3534
3.70706e-008,0.3244
3.71091e-008,0.3277
3.71477e-008,0.3682
3.71863e-008,0.4573
3.72249e-008,0.6117
3.72635e-008,0.7999
3.73020e-008,0.9519
3.73406e-008,1.0400
3.73792e-008,1.0828
3.74177e-008,1.1026
3.74563e-008,1.1201
3.74949e-008,1.1370
3.75335e-008,1.1718
3.75721e-008,1.1912
3.76106e-008,1.1784
3.76492e-008,1.1355
3.76878e-008,1.0230
3.77263e-008,0.8517
3.77649e-008,0.6885
3.78035e-008,0.5619
3.78421e-008,0.4762
3.78806e-008,0.4213
3.79192e-008,0.3839
3.79578e-008,0.3597
3.79964e-008,0.3358
3.80350e-008,0.3231
3.80735e-008,0.3515
3.81121e-008,0.4222
3.81507e-008,0.5565
3.81892e-008,0.7398
3.82278e-008,0.9119
3.82664e-008,1.0179
3.83050e-008,1.0730
3.83436e-008,1.0973
3.83821e-008,1.1143
3.84207e-008,1.1323
3.84593e-008,1.1521
3.84978e-008,1.1900
3.85364e-008,1.1853
3.85750e-008,1.1541
3.86136e-008,1.0676
3.86521e-008,0.9086
3.86907e-008,0.7361
3.87293e-008,0.5979
3.87679e-008,0.4988
3.88065e-008,0.4364
3.88450e-008,0.3942
3.88836e-008,0.3661
3.89222e-008,0.3467
3.89607e-008,0.3216
3.89993e-008,0.3386
3.90379e-008,0.3939
3.90765e-008,0.5068
3.91151e-008,0.6796
3.91536e-008,0.8641
3.91922e-008,0.9906
3.92308e-008,1.0601
3.92693e-008,1.0914
3.93079e-008,1.1087
3.93465e-008,1.1267
3.93851e-008,1.1416
3.94237e-008,1.1852
3.94622e-008,1.1896
3.95008e-008,1.1674
3.95394e-008,1.1040
3.95780e-008,0.9638
3.96165e-008,0.7878
3.96551e-008,0.6379
3.96937e-008,0.5254
3.97322e-008,0.4534
3.97708e-008,0.4060
3.98094e-008,0.3739
3.98480e-008,0.3523
3.98866e-008,0.3244
3.99251e-008,0.3292
3.99637e-008,0.3714
4.00023e-008,0.4636
4.00408e-008,0.6211
4.00794e-008,0.8094
4.01180e-008,0.9578
4.01566e-008,1.0432
4.01952e-008,1.0841
4.02337e-008,1.1034
4.02723e-008,1.1211
4.03109e-008,1.1376
4.03494e-008,1.1758
4.03880e-008,1.1916
4.04266e-008,1.1772
4.04652e-008,1.1318
4.05037e-008,1.0150
4.05423e-008,0.8428
4.05809e-008,0.6813
4.06195e-008,0.5565
4.06581e-008,0.4728
4.06966e-008,0.4189
4.07352e-008,0.3825
4.07738e-008,0.3586
4.08123e-008,0.3322
4.08509e-008,0.3233
4.08895e-008,0.3539
4.09281e-008,0.4274
4.09667e-008,0.5655
4.10052e-008,0.7500
4.10438e-008,0.9187
4.10824e-008,1.0218
