.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
2.67325e-008,-0.7263
2.67710e-008,-0.7532
2.68096e-008,-0.7554
2.68482e-008,-0.7105
2.68868e-008,-0.5960
2.69254e-008,-0.4091
2.69639e-008,-0.1807
2.70025e-008,0.0528
2.70411e-008,0.2569
2.70797e-008,0.4207
2.71182e-008,0.5637
2.71568e-008,0.6743
2.71954e-008,0.7365
2.72340e-008,0.8028
2.72725e-008,0.8144
2.73111e-008,0.7825
2.73497e-008,0.6856
2.73882e-008,0.4883
2.74268e-008,0.2300
2.74654e-008,-0.0482
2.75040e-008,-0.3044
2.75425e-008,-0.4873
2.75811e-008,-0.6118
2.76197e-008,-0.6871
2.76583e-008,-0.7203
2.76968e-008,-0.7505
2.77354e-008,-0.7519
2.77740e-008,-0.7315
2.78126e-008,-0.6414
2.78512e-008,-0.4737
2.78897e-008,-0.2562
2.79283e-008,-0.0194
2.79669e-008,0.1973
2.80055e-008,0.3719
2.80440e-008,0.5210
2.80826e-008,0.6445
2.81212e-008,0.7215
2.81598e-008,0.7905
2.81983e-008,0.8110
2.82369e-008,0.7983
2.82755e-008,0.7268
2.83140e-008,0.5603
2.83526e-008,0.3158
2.83912e-008,0.0405
2.84298e-008,-0.2309
2.84683e-008,-0.4367
2.85069e-008,-0.5782
2.85455e-008,-0.6686
2.85841e-008,-0.7127
2.86226e-008,-0.7432
2.86612e-008,-0.7520
2.86998e-008,-0.7468
2.87384e-008,-0.6785
2.87770e-008,-0.5339
2.88155e-008,-0.3300
2.88541e-008,-0.0933
2.88927e-008,0.1333
2.89313e-008,0.3205
2.89698e-008,0.4757
2.90084e-008,0.6094
2.90470e-008,0.7023
2.90855e-008,0.7649
2.91241e-008,0.8091
2.91627e-008,0.8080
2.92013e-008,0.7567
2.92398e-008,0.6244
2.92784e-008,0.3977
2.93170e-008,0.1287
2.93556e-008,-0.1494
2.93941e-008,-0.3800
2.94327e-008,-0.5387
2.94713e-008,-0.6449
2.95099e-008,-0.7030
2.95485e-008,-0.7310
2.95870e-008,-0.7539
2.96256e-008,-0.7564
2.96642e-008,-0.7074
2.97028e-008,-0.5882
2.97413e-008,-0.3991
2.97799e-008,-0.1682
2.98185e-008,0.0645
2.98570e-008,0.2658
2.98956e-008,0.4285
2.99342e-008,0.5704
2.99728e-008,0.6788
3.00113e-008,0.7387
3.00499e-008,0.8031
3.00885e-008,0.8129
3.01271e-008,0.7788
3.01657e-008,0.6779
3.02042e-008,0.4759
3.02428e-008,0.2160
3.02814e-008,-0.0625
3.03199e-008,-0.3157
3.03585e-008,-0.4949
3.03971e-008,-0.6168
3.04357e-008,-0.6896
3.04743e-008,-0.7212
3.05128e-008,-0.7519
3.05514e-008,-0.7569
3.05900e-008,-0.7295
3.06285e-008,-0.6350
3.06671e-008,-0.4637
3.07057e-008,-0.2440
3.07443e-008,-0.0072
3.07829e-008,0.2072
3.08214e-008,0.3797
3.08600e-008,0.5282
3.08986e-008,0.6498
3.09372e-008,0.7242
3.09757e-008,0.7914
3.10143e-008,0.8101
3.10529e-008,0.7954
3.10914e-008,0.7206
3.11300e-008,0.5491
3.11686e-008,0.3018
3.12072e-008,0.0262
3.12458e-008,-0.2434
3.12843e-008,-0.4454
3.13229e-008,-0.5838
3.13615e-008,-0.6721
3.14000e-008,-0.7141
3.14386e-008,-0.7458
3.14772e-008,-0.7518
3.15158e-008,-0.7456
3.15544e-008,-0.6737
3.15929e-008,-0.5248
3.16315e-008,-0.3187
3.16701e-008,-0.0809
3.17087e-008,0.1440
3.17472e-008,0.3287
