.HEADER
..NAMES
Time,V U1.AA9
.DATA
3.58747e-008,1.1679
3.59133e-008,1.1786
3.59519e-008,1.1840
3.59905e-008,1.1729
3.60290e-008,1.1203
3.60676e-008,1.0055
3.61062e-008,0.8575
3.61448e-008,0.7177
3.61834e-008,0.5975
3.62219e-008,0.5026
3.62605e-008,0.4252
3.62991e-008,0.3702
3.63376e-008,0.3364
3.63762e-008,0.3144
3.64148e-008,0.3040
3.64534e-008,0.3054
3.64920e-008,0.3172
3.65305e-008,0.3380
3.65691e-008,0.3608
3.66077e-008,0.3771
3.66462e-008,0.3835
3.66848e-008,0.3795
3.67234e-008,0.3684
3.67620e-008,0.3552
3.68006e-008,0.3429
3.68391e-008,0.3335
3.68777e-008,0.3276
3.69163e-008,0.3248
3.69549e-008,0.3235
3.69934e-008,0.3222
3.70320e-008,0.3205
3.70706e-008,0.3181
3.71091e-008,0.3158
3.71477e-008,0.3139
3.71863e-008,0.3134
3.72249e-008,0.3139
3.72635e-008,0.3149
3.73020e-008,0.3156
3.73406e-008,0.3161
3.73792e-008,0.3163
3.74177e-008,0.3162
3.74563e-008,0.3159
3.74949e-008,0.3157
3.75335e-008,0.3156
3.75721e-008,0.3156
3.76106e-008,0.3158
3.76492e-008,0.3160
3.76878e-008,0.3160
3.77263e-008,0.3160
3.77649e-008,0.3172
3.78035e-008,0.3250
3.78421e-008,0.3514
3.78806e-008,0.4159
3.79192e-008,0.5283
3.79578e-008,0.6768
3.79964e-008,0.8231
3.80350e-008,0.9234
3.80735e-008,0.9889
3.81121e-008,1.0372
3.81507e-008,1.0834
3.81892e-008,1.1247
3.82278e-008,1.1667
3.82664e-008,1.2098
3.83050e-008,1.2117
3.83436e-008,1.1783
3.83821e-008,1.0823
3.84207e-008,0.9237
3.84593e-008,0.7520
3.84978e-008,0.6068
3.85364e-008,0.5066
3.85750e-008,0.4392
3.86136e-008,0.3816
3.86521e-008,0.3403
3.86907e-008,0.3123
3.87293e-008,0.2921
3.87679e-008,0.2874
3.88065e-008,0.2967
3.88450e-008,0.3169
3.88836e-008,0.3452
3.89222e-008,0.3709
3.89607e-008,0.3856
3.89993e-008,0.3880
3.90379e-008,0.3790
3.90765e-008,0.3639
3.91151e-008,0.3494
3.91536e-008,0.3381
3.91922e-008,0.3305
3.92308e-008,0.3268
