.HEADER
..NAMES
Time,V U1.W25
.DATA
2.72725e-008,0.3170
2.73111e-008,0.3173
2.73497e-008,0.3164
2.73882e-008,0.3151
2.74268e-008,0.3141
2.74654e-008,0.3171
2.75040e-008,0.3312
2.75425e-008,0.3720
2.75811e-008,0.4587
2.76197e-008,0.5905
2.76583e-008,0.7491
2.76968e-008,0.8813
2.77354e-008,0.9717
2.77740e-008,1.0300
2.78126e-008,1.0696
2.78512e-008,1.0993
2.78897e-008,1.1279
2.79283e-008,1.1530
2.79669e-008,1.1699
2.80055e-008,1.1787
2.80440e-008,1.1809
2.80826e-008,1.1782
2.81212e-008,1.1702
2.81598e-008,1.1598
2.81983e-008,1.1490
2.82369e-008,1.1426
2.82755e-008,1.1441
2.83140e-008,1.1517
2.83526e-008,1.1605
2.83912e-008,1.1721
2.84298e-008,1.1844
2.84683e-008,1.1866
2.85069e-008,1.1593
2.85455e-008,1.0747
2.85841e-008,0.9354
2.86226e-008,0.7852
2.86612e-008,0.6437
2.86998e-008,0.5239
2.87384e-008,0.4381
2.87770e-008,0.3860
2.88155e-008,0.3542
2.88541e-008,0.3335
2.88927e-008,0.3194
2.89313e-008,0.3083
2.89698e-008,0.2996
2.90084e-008,0.2958
2.90470e-008,0.2996
2.90855e-008,0.3106
2.91241e-008,0.3275
2.91627e-008,0.3449
2.92013e-008,0.3560
2.92398e-008,0.3584
2.92784e-008,0.3555
2.93170e-008,0.3492
2.93556e-008,0.3388
2.93941e-008,0.3279
2.94327e-008,0.3210
2.94713e-008,0.3185
2.95099e-008,0.3170
2.95485e-008,0.3158
2.95870e-008,0.3162
2.96256e-008,0.3171
2.96642e-008,0.3172
2.97028e-008,0.3160
2.97413e-008,0.3148
2.97799e-008,0.3138
2.98185e-008,0.3187
2.98570e-008,0.3368
2.98956e-008,0.3860
2.99342e-008,0.4828
2.99728e-008,0.6224
3.00113e-008,0.7804
3.00499e-008,0.9034
3.00885e-008,0.9862
3.01271e-008,1.0393
3.01657e-008,1.0763
3.02042e-008,1.1050
3.02428e-008,1.1335
3.02814e-008,1.1572
3.03199e-008,1.1724
3.03585e-008,1.1795
3.03971e-008,1.1807
3.04357e-008,1.1769
3.04743e-008,1.1682
3.05128e-008,1.1574
3.05514e-008,1.1470
3.05900e-008,1.1422
3.06285e-008,1.1453
3.06671e-008,1.1536
3.07057e-008,1.1621
3.07443e-008,1.1688
3.07829e-008,1.1750
3.08214e-008,1.1792
3.08600e-008,1.1805
3.08986e-008,1.1803
3.09372e-008,1.1809
3.09757e-008,1.1820
3.10143e-008,1.1824
3.10529e-008,1.1822
3.10914e-008,1.1826
3.11300e-008,1.1840
3.11686e-008,1.1850
3.12072e-008,1.1855
3.12458e-008,1.1854
3.12843e-008,1.1853
3.13229e-008,1.1850
3.13615e-008,1.1847
3.14000e-008,1.1843
3.14386e-008,1.1842
3.14772e-008,1.1845
3.15158e-008,1.1848
3.15544e-008,1.1847
3.15929e-008,1.1844
3.16315e-008,1.1846
3.16701e-008,1.1871
3.17087e-008,1.1922
3.17472e-008,1.1914
3.17858e-008,1.1669
3.18244e-008,1.0903
3.18629e-008,0.9565
3.19015e-008,0.8050
3.19401e-008,0.6612
3.19787e-008,0.5384
3.20173e-008,0.4487
3.20558e-008,0.3917
3.20944e-008,0.3568
3.21330e-008,0.3345
3.21715e-008,0.3199
3.22101e-008,0.3088
3.22487e-008,0.3002
3.22873e-008,0.2959
3.23259e-008,0.2990
3.23644e-008,0.3091
3.24030e-008,0.3254
3.24416e-008,0.3427
3.24801e-008,0.3547
3.25187e-008,0.3582
3.25573e-008,0.3559
3.25959e-008,0.3497
3.26344e-008,0.3396
3.26730e-008,0.3288
3.27116e-008,0.3214
3.27502e-008,0.3185
3.27888e-008,0.3169
3.28273e-008,0.3157
3.28659e-008,0.3159
3.29045e-008,0.3167
3.29430e-008,0.3169
3.29816e-008,0.3159
3.30202e-008,0.3147
3.30588e-008,0.3138
3.30974e-008,0.3176
3.31359e-008,0.3335
3.31745e-008,0.3782
3.32131e-008,0.4699
3.32516e-008,0.6055
3.32902e-008,0.7642
3.33288e-008,0.8918
3.33674e-008,0.9786
3.34060e-008,1.0343
3.34445e-008,1.0725
3.34831e-008,1.1017
3.35217e-008,1.1304
3.35603e-008,1.1904
3.35988e-008,1.2181
3.36374e-008,1.2166
3.36760e-008,1.1768
3.37145e-008,1.0734
3.37531e-008,0.9067
3.37917e-008,0.7373
3.38303e-008,0.5824
3.38689e-008,0.4592
3.39074e-008,0.3827
3.39460e-008,0.3452
3.39846e-008,0.3273
3.40231e-008,0.3140
3.40617e-008,0.3065
3.41003e-008,0.2983
3.41389e-008,0.2897
3.41775e-008,0.2872
3.42160e-008,0.2963
3.42546e-008,0.3126
