.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
3.25187e-008,1.1115
3.25573e-008,1.0929
3.25959e-008,1.0613
3.26344e-008,0.9792
3.26730e-008,0.8625
3.27116e-008,0.7471
3.27502e-008,0.6183
3.27888e-008,0.5095
3.28273e-008,0.4229
3.28659e-008,0.3643
3.29045e-008,0.3469
3.29430e-008,0.3412
3.29816e-008,0.3708
3.30202e-008,0.4342
3.30588e-008,0.5199
3.30974e-008,0.6339
3.31359e-008,0.7693
3.31745e-008,0.8777
3.32131e-008,0.9635
3.32516e-008,1.0324
3.32902e-008,1.0804
3.33288e-008,1.1078
3.33674e-008,1.1115
3.34060e-008,1.1211
3.34445e-008,1.1178
3.34831e-008,1.0984
3.35217e-008,1.0757
3.35603e-008,1.0112
3.35988e-008,0.8995
3.36374e-008,0.7854
3.36760e-008,0.6582
3.37145e-008,0.5411
3.37531e-008,0.4479
3.37917e-008,0.3785
3.38303e-008,0.3483
3.38689e-008,0.3406
3.39074e-008,0.3564
3.39460e-008,0.4122
3.39846e-008,0.4900
3.40231e-008,0.5946
3.40617e-008,0.7265
3.41003e-008,0.8475
3.41389e-008,0.9378
3.41775e-008,1.0130
3.42160e-008,1.0673
3.42546e-008,1.1014
3.42932e-008,1.1130
3.43318e-008,1.1155
3.43703e-008,1.1223
3.44089e-008,1.1039
3.44475e-008,1.0856
3.44860e-008,1.0378
3.45246e-008,0.9373
3.45632e-008,0.8215
3.46018e-008,0.6993
3.46404e-008,0.5750
3.46789e-008,0.4754
3.47175e-008,0.3969
3.47561e-008,0.3532
3.47946e-008,0.3472
3.48332e-008,0.3471
3.48718e-008,0.3919
3.49104e-008,0.4630
3.49490e-008,0.5584
3.49875e-008,0.6825
3.50261e-008,0.8143
3.50647e-008,0.9103
3.51032e-008,0.9913
3.51418e-008,1.0522
3.51804e-008,1.0930
3.52190e-008,1.1123
3.52575e-008,1.1067
3.52961e-008,1.1241
3.53347e-008,1.1103
3.53733e-008,1.0923
3.54119e-008,1.0586
3.54504e-008,0.9738
3.54890e-008,0.8570
3.55276e-008,0.7401
3.55661e-008,0.6117
3.56047e-008,0.5047
3.56433e-008,0.4189
3.56819e-008,0.3624
3.57205e-008,0.3471
3.57590e-008,0.3422
3.57976e-008,0.3736
3.58362e-008,0.4382
3.58747e-008,0.5250
3.59133e-008,0.6405
3.59519e-008,0.7761
3.59905e-008,0.8822
3.60290e-008,0.9674
3.60676e-008,1.0353
3.61062e-008,1.0823
3.61448e-008,1.1087
3.61834e-008,1.1112
3.62219e-008,1.1232
3.62605e-008,1.1167
3.62991e-008,1.0977
3.63376e-008,1.0739
3.63762e-008,1.0065
3.64148e-008,0.8937
3.64534e-008,0.7792
3.64920e-008,0.6511
3.65305e-008,0.5359
3.65691e-008,0.4437
3.66077e-008,0.3759
3.66462e-008,0.3480
3.66848e-008,0.3413
3.67234e-008,0.3586
3.67620e-008,0.4159
3.68006e-008,0.4947
3.68391e-008,0.6009
3.68777e-008,0.7336
3.69163e-008,0.8525
3.69549e-008,0.9418
3.69934e-008,1.0162
3.70320e-008,1.0695
3.70706e-008,1.1027
3.71091e-008,1.1131
3.71477e-008,1.1191
3.71863e-008,1.1220
3.72249e-008,1.1030
3.72635e-008,1.0845
3.73020e-008,1.0340
3.73406e-008,0.9314
3.73792e-008,0.8159
3.74177e-008,0.6920
3.74563e-008,0.5692
3.74949e-008,0.4709
3.75335e-008,0.3937
3.75721e-008,0.3524
3.76106e-008,0.3446
3.76492e-008,0.3480
3.76878e-008,0.3953
3.77263e-008,0.4670
3.77649e-008,0.5640
3.78035e-008,0.6896
3.78421e-008,0.8198
3.78806e-008,0.9150
3.79192e-008,0.9950
3.79578e-008,1.0548
3.79964e-008,1.0947
3.80350e-008,1.1126
3.80735e-008,1.1057
3.81121e-008,1.1233
3.81507e-008,1.1094
3.81892e-008,1.0910
3.82278e-008,1.0555
3.82664e-008,0.9680
3.83050e-008,0.8509
3.83436e-008,0.7341
3.83821e-008,0.6058
3.84207e-008,0.4998
3.84593e-008,0.4152
3.84978e-008,0.3605
3.85364e-008,0.3470
3.85750e-008,0.3422
3.86136e-008,0.3763
3.86521e-008,0.4419
3.86907e-008,0.5302
3.87293e-008,0.6471
3.87679e-008,0.7825
3.88065e-008,0.8871
3.88450e-008,0.9716
3.88836e-008,1.0382
3.89222e-008,1.0842
3.89607e-008,1.1092
3.89993e-008,1.1104
3.90379e-008,1.1222
3.90765e-008,1.1159
3.91151e-008,1.0967
3.91536e-008,1.0716
3.91922e-008,1.0014
3.92308e-008,0.8873
3.92693e-008,0.7733
3.93079e-008,0.6450
3.93465e-008,0.5306
3.93851e-008,0.4397
3.94237e-008,0.3734
3.94622e-008,0.3474
3.95008e-008,0.3403
3.95394e-008,0.3607
3.95780e-008,0.4192
3.96165e-008,0.4994
3.96551e-008,0.6071
3.96937e-008,0.7406
3.97322e-008,0.8575
3.97708e-008,0.9463
3.98094e-008,1.0195
3.98480e-008,1.0718
3.98866e-008,1.1037
3.99251e-008,1.1127
3.99637e-008,1.1180
4.00023e-008,1.1212
4.00408e-008,1.1020
4.00794e-008,1.0828
4.01180e-008,1.0297
4.01566e-008,0.9251
