.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
3.10914e-008,0.7376
3.11300e-008,0.5811
3.11686e-008,0.3344
3.12072e-008,0.0441
3.12458e-008,-0.2504
3.12843e-008,-0.4844
3.13229e-008,-0.6307
3.13615e-008,-0.7145
3.14000e-008,-0.7525
3.14386e-008,-0.7751
3.14772e-008,-0.7678
3.15158e-008,-0.7362
3.15544e-008,-0.6623
3.15929e-008,-0.5100
3.16315e-008,-0.3049
3.16701e-008,-0.0738
3.17087e-008,0.1686
3.17472e-008,0.3671
3.17858e-008,0.5039
3.18244e-008,0.6188
3.18629e-008,0.6954
3.19015e-008,0.7545
3.19401e-008,0.8051
3.19787e-008,0.8071
3.20173e-008,0.7662
3.20558e-008,0.6421
3.20944e-008,0.4196
3.21330e-008,0.1384
3.21715e-008,-0.1604
3.22101e-008,-0.4213
3.22487e-008,-0.5920
3.22873e-008,-0.6935
3.23259e-008,-0.7446
3.23644e-008,-0.7646
3.24030e-008,-0.7743
3.24416e-008,-0.7379
3.24801e-008,-0.6930
3.25187e-008,-0.5675
3.25573e-008,-0.3730
3.25959e-008,-0.1482
3.26344e-008,0.0931
3.26730e-008,0.3130
3.27116e-008,0.4632
3.27502e-008,0.5848
3.27888e-008,0.6763
3.28273e-008,0.7251
3.28659e-008,0.7948
3.29045e-008,0.8098
3.29430e-008,0.7879
3.29816e-008,0.6927
3.30202e-008,0.4992
3.30588e-008,0.2311
3.30974e-008,-0.0673
3.31359e-008,-0.3481
3.31745e-008,-0.5460
3.32131e-008,-0.6677
3.32516e-008,-0.7333
3.32902e-008,-0.7584
3.33288e-008,-0.7771
3.33674e-008,-0.7542
3.34060e-008,-0.7170
3.34445e-008,-0.6157
3.34831e-008,-0.4386
3.35217e-008,-0.2216
3.35603e-008,0.0157
3.35988e-008,0.2502
3.36374e-008,0.4214
3.36760e-008,0.5483
3.37145e-008,0.6519
3.37531e-008,0.7133
3.37917e-008,0.7805
3.38303e-008,0.8107
3.38689e-008,0.8022
3.39074e-008,0.7325
3.39460e-008,0.5702
3.39846e-008,0.3209
3.40231e-008,0.0283
3.40617e-008,-0.2653
3.41003e-008,-0.4933
3.41389e-008,-0.6361
3.41775e-008,-0.7177
3.42160e-008,-0.7535
3.42546e-008,-0.7750
3.42932e-008,-0.7661
3.43318e-008,-0.7319
3.43703e-008,-0.6557
3.44089e-008,-0.5011
3.44475e-008,-0.2932
3.44860e-008,-0.0613
3.45246e-008,0.1804
3.45632e-008,0.3756
3.46018e-008,0.5099
3.46404e-008,0.6231
3.46789e-008,0.6983
3.47175e-008,0.7565
3.47561e-008,0.8054
3.47946e-008,0.8052
3.48332e-008,0.7617
3.48718e-008,0.6330
3.49104e-008,0.4063
3.49490e-008,0.1235
3.49875e-008,-0.1751
3.50261e-008,-0.4325
3.50647e-008,-0.5984
3.51032e-008,-0.6969
3.51418e-008,-0.7459
3.51804e-008,-0.7680
3.52190e-008,-0.7741
3.52575e-008,-0.7350
3.52961e-008,-0.6892
3.53347e-008,-0.5584
3.53733e-008,-0.3623
3.54119e-008,-0.1368
3.54504e-008,0.1054
3.54890e-008,0.3224
3.55276e-008,0.4697
3.55661e-008,0.5909
3.56047e-008,0.6798
3.56433e-008,0.7267
3.56819e-008,0.7961
3.57205e-008,0.8091
3.57590e-008,0.7840
3.57976e-008,0.6853
3.58362e-008,0.4865
3.58747e-008,0.2160
3.59133e-008,-0.0819
3.59519e-008,-0.3604
3.59905e-008,-0.5543
3.60290e-008,-0.6720
3.60676e-008,-0.7353
3.61062e-008,-0.7590
3.61448e-008,-0.7774
3.61834e-008,-0.7522
3.62219e-008,-0.7155
3.62605e-008,-0.6085
3.62991e-008,-0.4278
3.63376e-008,-0.2104
3.63762e-008,0.0283
3.64148e-008,0.2609
3.64534e-008,0.4278
3.64920e-008,0.5551
3.65305e-008,0.6565
3.65691e-008,0.7148
3.66077e-008,0.7818
3.66462e-008,0.8108
3.66848e-008,0.7992
3.67234e-008,0.7264
3.67620e-008,0.5592
3.68006e-008,0.3059
3.68391e-008,0.0131
3.68777e-008,-0.2786
3.69163e-008,-0.5029
3.69549e-008,-0.6417
3.69934e-008,-0.7203
3.70320e-008,-0.7544
3.70706e-008,-0.7765
3.71091e-008,-0.7646
3.71477e-008,-0.7330
3.71863e-008,-0.6505
3.72249e-008,-0.4904
3.72635e-008,-0.2823
3.73020e-008,-0.0490
3.73406e-008,0.1921
3.73792e-008,0.3829
3.74177e-008,0.5166
3.74563e-008,0.6287
3.74949e-008,0.7006
3.75335e-008,0.7622
3.75721e-008,0.8071
3.76106e-008,0.8066
3.76492e-008,0.7577
3.76878e-008,0.6233
3.77263e-008,0.3926
3.77649e-008,0.1079
3.78035e-008,-0.1900
3.78421e-008,-0.4429
